21-48-01.005000,----------
21-48-12.059000,[R]: 1 
21-48-12.061000,S 1 	RSSI: 44
21-48-12.068000,[R]: 2 
21-48-12.073000,[R]: 50 
21-48-12.085000,[R]: 1 
21-48-12.088000,S 1 	RSSI: 44
21-48-12.189000,[R]: 2 
21-48-12.196000,[R]: 50 
21-48-12.436000,[R]: 1 
21-48-12.440000,S 1 	RSSI: 44
21-48-12.442000,[R]: 2 
21-48-12.443000,[R]: 50 
21-48-12.446000,[R]: 1 
21-48-12.461000,S 1 	RSSI: 44
21-48-12.463000,[R]: 2 
21-48-12.468000,[R]: 50 
21-48-12.476000,[R]: 20 
21-48-12.477000,[R]: 1 
21-48-12.477000,S 1 	RSSI: 44
21-48-12.478000,[R]: 2 
21-48-12.479000,[R]: 50 
21-48-12.481000,[R]: 1 
21-48-12.482000,S 1 	RSSI: 44
21-48-12.483000,[R]: 2 
21-48-12.484000,[R]: 50 
21-48-12.486000,[R]: 1 
21-48-12.486000,S 1 	RSSI: 44
21-48-12.487000,[R]: 2 
21-48-12.487000,[R]: 50 
21-48-12.488000,[R]: 1 
21-48-12.489000,S 1 	RSSI: 44
21-48-12.490000,[R]: 2 
21-48-12.490000,[R]: 50 
21-48-12.491000,[R]: 1 
21-48-12.492000,S 1 	RSSI: 44
21-48-12.492000,[R]: 2 
21-48-12.493000,[R]: 50 
21-48-12.498000,[R]: 1 
21-48-12.498000,S 1 	RSSI: 44
21-48-12.499000,[R]: 2 
21-48-12.499000,[R]: 50 
21-48-12.500000,[R]: 20 
21-48-12.501000,[R]: 1 
21-48-12.502000,S 1 	RSSI: 44
21-48-12.502000,[R]: 2 
21-48-12.503000,[R]: 50 
21-48-12.504000,[R]: 1 
21-48-12.509000,S 1 	RSSI: 44
21-48-12.510000,[R]: 2 
21-48-12.510000,[R]: 50 
21-48-12.511000,[R]: 1 
21-48-12.512000,S 1 	RSSI: 44
21-48-12.513000,[R]: 2 
21-48-12.513000,[R]: 50 
21-48-12.514000,[R]: 1 
21-48-12.514000,S 1 	RSSI: 44
21-48-12.515000,[R]: 2 
21-48-12.521000,[R]: 50 
21-48-12.524000,[R]: 1 
21-48-12.524000,S 1 	RSSI: 44
21-48-12.525000,[R]: 2 
21-48-12.526000,[R]: 50 
21-48-12.526000,[R]: 1 
21-48-12.527000,S 1 	RSSI: 44
21-48-12.528000,[R]: 2 
21-48-12.528000,[R]: 50 
21-48-12.529000,[R]: 20 
21-48-12.532000,[R]: 1 
21-48-12.534000,S 1 	RSSI: 44
21-48-12.536000,[R]: 2 
21-48-12.547000,[R]: 50 
21-48-12.548000,[R]: 1 
21-48-12.551000,S 1 	RSSI: 44
21-48-12.552000,[R]: 2 
21-48-12.553000,[R]: 50 
21-48-12.553000,[R]: 1 
21-48-12.558000,S 1 	RSSI: 44
21-48-12.559000,[R]: 2 
21-48-12.560000,[R]: 50 
21-48-12.560000,[R]: 1 
21-48-12.561000,S 1 	RSSI: 44
21-48-12.562000,[R]: 2 
21-48-12.563000,[R]: 50 
21-48-12.564000,[R]: 1 
21-48-12.565000,S 1 	RSSI: 44
21-48-12.565000,[R]: 2 
21-48-12.569000,[R]: 50 
21-48-12.569000,[R]: 1 
21-48-12.575000,[R]: 2 
21-48-12.579000,[R]: 50 
21-48-12.579000,[R]: 20 
21-48-12.583000,[R]: 1 
21-48-12.584000,S 1 	RSSI: 44
21-48-12.585000,[R]: 2 
21-48-12.586000,[R]: 50 
21-48-12.586000,[R]: 1 
21-48-12.586000,S 1 	RSSI: 44
21-48-12.598000,[R]: 2 
21-48-12.598000,[R]: 50 
21-48-12.599000,[R]: 1 
21-48-12.600000,S 1 	RSSI: 44
21-48-12.600000,[R]: 2 
21-48-12.601000,[R]: 50 
21-48-12.603000,[R]: 1 
21-48-12.606000,S 1 	RSSI: 44
21-48-12.612000,[R]: 2 
21-48-12.613000,[R]: 50 
21-48-12.613000,[R]: 1 
21-48-12.614000,S 1 	RSSI: 44
21-48-12.614000,[R]: 2 
21-48-12.615000,[R]: 50 
21-48-12.616000,[R]: 1 
21-48-12.616000,S 1 	RSSI: 44
21-48-12.618000,[R]: 2 
21-48-12.619000,[R]: 50 
21-48-12.620000,[R]: 20 
21-48-12.620000,[R]: 1 
21-48-12.621000,S 1 	RSSI: 44
21-48-12.623000,[R]: 2 
21-48-12.624000,[R]: 50 
21-48-12.625000,[R]: 1 
21-48-12.626000,S 1 	RSSI: 44
21-48-12.626000,[R]: 2 
21-48-12.628000,[R]: 50 
21-48-12.629000,[R]: 1 
21-48-12.629000,S 1 	RSSI: 44
21-48-12.630000,[R]: 2 
21-48-12.630000,[R]: 50 
21-48-12.631000,[R]: 1 
21-48-12.634000,S 1 	RSSI: 44
21-48-12.635000,[R]: 2 
21-48-12.635000,[R]: 50 
21-48-12.636000,[R]: 1 
21-48-12.636000,S 1 	RSSI: 44
21-48-12.649000,[R]: 2 
21-48-12.650000,[R]: 50 
21-48-12.651000,[R]: 1 
21-48-12.652000,S 1 	RSSI: 44
21-48-12.653000,[R]: 2 
21-48-12.653000,[R]: 50 
21-48-12.655000,[R]: 20 
21-48-12.658000,[R]: 1 
21-48-12.658000,S 1 	RSSI: 44
21-48-12.659000,[R]: 2 
21-48-12.686000,[R]: 50 
21-48-12.686000,[R]: 1 
21-48-12.686000,S 1 	RSSI: 44
21-48-12.687000,[R]: 2 
21-48-12.695000,[R]: 50 
21-48-12.696000,[R]: 1 
21-48-12.696000,S 1 	RSSI: 44
21-48-12.697000,[R]: 2 
21-48-12.697000,[R]: 50 
21-48-12.698000,[R]: 1 
21-48-12.699000,S 1 	RSSI: 44
21-48-12.699000,[R]: 2 
21-48-12.699000,[R]: 50 
21-48-12.700000,[R]: 1 
21-48-12.700000,S 1 	RSSI: 44
21-48-12.701000,[R]: 2 
21-48-12.702000,[R]: 50 
21-48-12.703000,[R]: 1 
21-48-12.703000,S 1 	RSSI: 44
21-48-12.709000,[R]: 2 
21-48-12.714000,[R]: 50 
21-48-12.715000,[R]: 1 
21-48-12.716000,S 1 	RSSI: 44
21-48-12.751000,[R]: 2 
21-48-12.752000,[R]: 50 
21-48-12.752000,[R]: 1 
21-48-12.753000,S 1 	RSSI: 44
21-48-12.754000,[R]: 2 
21-48-12.756000,[R]: 50 
21-48-12.757000,[R]: 1 
21-48-12.757000,S 1 	RSSI: 44
21-48-12.758000,[R]: 2 
21-48-12.758000,[R]: 50 
