23-06-21.272000,[R]: 50 
23-06-21.283000,[R]: 50 
23-06-21.295000,[R]: 50 
23-06-21.333000,[R]: 0 
23-06-21.340000,[R]: 50 
23-06-21.341000,[R]: 0 
23-06-21.342000,[R]: 50 
23-06-21.353000,[R]: 50 
23-06-21.353000,[R]: 50 
23-06-21.354000,[R]: 50 
23-06-21.354000,[R]: 0 
23-06-21.354000,[R]: 50 
23-06-21.362000,[R]: 50 
23-06-21.373000,[R]: 50 
23-06-21.376000,[R]: 0 
23-06-21.384000,[R]: 50 
23-06-21.385000,[R]: 0 
23-06-21.391000,[R]: 50 
23-06-21.402000,[R]: 50 
23-06-21.412000,[R]: 50 
23-06-21.415000,[R]: 0 
23-06-21.423000,[R]: 50 
23-06-21.424000,[R]: 0 
23-06-21.431000,[R]: 50 
23-06-21.442000,[R]: 50 
23-06-21.452000,[R]: 50 
23-06-21.456000,[R]: 0 
23-06-21.464000,[R]: 50 
23-06-21.465000,[R]: 0 
23-06-21.471000,[R]: 50 
23-06-21.483000,[R]: 50 
23-06-21.494000,[R]: 50 
23-06-21.496000,[R]: 0 
23-06-21.504000,[R]: 50 
23-06-21.506000,[R]: 0 
23-06-21.512000,[R]: 50 
23-06-21.522000,[R]: 50 
23-06-21.533000,[R]: 50 
23-06-21.537000,[R]: 0 
23-06-21.543000,[R]: 50 
23-06-21.555000,[R]: 50 
23-06-21.566000,[R]: 50 
23-06-21.577000,[R]: 50 
23-06-21.577000,[R]: 0 
23-06-21.580000,S 1 	RSSI: 54
23-06-21.584000,[R]: 50 
23-06-21.595000,[R]: 50 
23-06-21.605000,[R]: 50 
23-06-21.607000,[R]: 0 
23-06-21.616000,[R]: 50 
23-06-21.619000,[R]: 0 
23-06-21.623000,[R]: 50 
23-06-21.634000,[R]: 50 
23-06-21.645000,[R]: 50 
23-06-21.647000,[R]: 0 
23-06-21.656000,[R]: 50 
23-06-21.661000,[R]: 0 
23-06-21.663000,[R]: 50 
23-06-21.674000,[R]: 50 
23-06-21.684000,[R]: 50 
23-06-21.688000,[R]: 0 
23-06-21.696000,[R]: 50 
23-06-21.697000,[R]: 0 
23-06-21.703000,[R]: 50 
23-06-21.714000,[R]: 50 
23-06-21.724000,[R]: 50 
23-06-21.728000,[R]: 0 
23-06-21.735000,[R]: 50 
23-06-21.736000,[R]: 0 
23-06-21.744000,[R]: 50 
23-06-21.755000,[R]: 50 
23-06-21.765000,[R]: 50 
23-06-21.768000,[R]: 0 
23-06-21.777000,[R]: 50 
23-06-21.778000,[R]: 0 
23-06-21.783000,[R]: 50 
23-06-21.794000,[R]: 50 
23-06-21.804000,[R]: 50 
23-06-21.807000,[R]: 0 
23-06-21.815000,[R]: 50 
23-06-21.819000,[R]: 0 
23-06-21.823000,[R]: 50 
23-06-21.834000,[R]: 50 
23-06-21.845000,[R]: 50 
23-06-21.848000,[R]: 0 
23-06-21.856000,[R]: 50 
23-06-21.857000,[R]: 0 
23-06-21.863000,[R]: 50 
23-06-21.874000,[R]: 50 
23-06-21.885000,[R]: 50 
23-06-21.888000,[R]: 0 
23-06-21.896000,[R]: 50 
23-06-21.897000,[R]: 0 
23-06-21.904000,[R]: 50 
23-06-21.915000,[R]: 50 
23-06-21.925000,[R]: 50 
23-06-21.928000,[R]: 0 
23-06-21.936000,[R]: 50 
23-06-21.936000,[R]: 0 
23-06-21.943000,[R]: 50 
23-06-21.954000,[R]: 50 
23-06-21.964000,[R]: 50 
23-06-21.967000,[R]: 0 
23-06-21.975000,[R]: 50 
23-06-21.977000,[R]: 0 
23-06-21.983000,[R]: 50 
23-06-21.994000,[R]: 50 
23-06-22.004000,[R]: 50 
23-06-22.007000,[R]: 0 
23-06-22.016000,[R]: 50 
23-06-22.026000,[R]: 50 
23-06-22.037000,[R]: 50 
23-06-22.048000,[R]: 50 
23-06-22.049000,[R]: 0 
23-06-22.052000,S 1 	RSSI: 53
23-06-22.056000,[R]: 50 
23-06-22.066000,[R]: 50 
23-06-22.077000,[R]: 50 
23-06-22.080000,[R]: 0 
23-06-22.088000,[R]: 50 
23-06-22.096000,[R]: 0 
23-06-22.097000,[R]: 50 
23-06-22.107000,[R]: 50 
23-06-22.118000,[R]: 50 
23-06-22.120000,[R]: 0 
23-06-22.128000,[R]: 50 
23-06-22.133000,[R]: 0 
23-06-22.136000,[R]: 50 
23-06-22.147000,[R]: 50 
23-06-22.157000,[R]: 50 
23-06-22.160000,[R]: 0 
23-06-22.168000,[R]: 50 
23-06-22.179000,[R]: 50 
23-06-22.190000,[R]: 50 
23-06-22.201000,[R]: 50 
23-06-22.201000,[R]: 0 
23-06-22.204000,S 1 	RSSI: 53
23-06-22.208000,[R]: 50 
23-06-22.219000,[R]: 50 
23-06-22.230000,[R]: 50 
23-06-22.232000,[R]: 0 
23-06-22.241000,[R]: 50 
23-06-22.244000,[R]: 0 
23-06-22.245000,S 1 	RSSI: 53
23-06-22.248000,[R]: 50 
23-06-22.259000,[R]: 50 
23-06-22.269000,[R]: 50 
23-06-22.272000,[R]: 0 
23-06-22.280000,[R]: 50 
23-06-22.281000,[R]: 0 
23-06-22.288000,[R]: 50 
23-06-22.298000,[R]: 50 
23-06-22.308000,[R]: 50 
23-06-22.311000,[R]: 0 
23-06-22.319000,[R]: 50 
23-06-22.320000,[R]: 0 
23-06-22.327000,[R]: 50 
23-06-22.337000,[R]: 50 
23-06-22.348000,[R]: 50 
23-06-22.351000,[R]: 0 
23-06-22.359000,[R]: 50 
23-06-22.360000,[R]: 0 
23-06-22.370000,[R]: 50 
23-06-22.377000,[R]: 50 
23-06-22.388000,[R]: 50 
23-06-22.393000,[R]: 0 
23-06-22.399000,[R]: 50 
23-06-22.402000,[R]: 0 
23-06-22.407000,[R]: 50 
23-06-22.419000,[R]: 50 
23-06-22.428000,[R]: 50 
23-06-22.432000,[R]: 0 
23-06-22.439000,[R]: 50 
23-06-22.440000,[R]: 0 
23-06-22.447000,[R]: 50 
23-06-22.458000,[R]: 50 
23-06-22.469000,[R]: 50 
23-06-22.472000,[R]: 0 
23-06-22.480000,[R]: 50 
23-06-22.480000,[R]: 0 
23-06-22.488000,[R]: 50 
23-06-22.498000,[R]: 50 
23-06-22.509000,[R]: 50 
23-06-22.512000,[R]: 0 
23-06-22.520000,[R]: 50 
23-06-22.521000,[R]: 0 
23-06-22.528000,[R]: 50 
23-06-22.538000,[R]: 50 
23-06-22.549000,[R]: 50 
23-06-22.552000,[R]: 0 
23-06-22.560000,[R]: 50 
23-06-22.615000,[R]: 0 
23-06-22.615000,[R]: 50 
23-06-22.615000,[R]: 50 
23-06-22.620000,[R]: 50 
23-06-22.621000,[R]: 0 
23-06-22.621000,[R]: 50 
23-06-22.621000,[R]: 0 
23-06-22.622000,[R]: 50 
23-06-22.623000,[R]: 50 
23-06-22.629000,[R]: 50 
23-06-22.634000,[R]: 0 
23-06-22.640000,[R]: 50 
23-06-22.641000,[R]: 0 
23-06-22.648000,[R]: 50 
23-06-22.658000,[R]: 50 
23-06-22.669000,[R]: 50 
23-06-22.672000,[R]: 0 
23-06-22.680000,[R]: 50 
23-06-22.681000,[R]: 0 
23-06-22.687000,[R]: 50 
23-06-22.697000,[R]: 50 
23-06-22.708000,[R]: 50 
23-06-22.714000,[R]: 0 
23-06-22.719000,[R]: 50 
23-06-22.723000,[R]: 0 
23-06-22.727000,[R]: 50 
23-06-22.737000,[R]: 50 
23-06-22.748000,[R]: 50 
23-06-22.751000,[R]: 0 
23-06-22.759000,[R]: 50 
23-06-22.761000,[R]: 0 
23-06-22.767000,[R]: 50 
23-06-22.777000,[R]: 50 
23-06-22.788000,[R]: 50 
23-06-22.791000,[R]: 0 
23-06-22.799000,[R]: 50 
23-06-22.800000,[R]: 0 
23-06-22.807000,[R]: 50 
23-06-22.818000,[R]: 50 
23-06-22.829000,[R]: 50 
23-06-22.831000,[R]: 0 
23-06-22.840000,[R]: 50 
23-06-22.840000,[R]: 0 
23-06-22.847000,[R]: 50 
23-06-22.858000,[R]: 50 
23-06-22.869000,[R]: 50 
23-06-22.872000,[R]: 0 
23-06-22.880000,[R]: 50 
23-06-22.880000,[R]: 0 
23-06-22.888000,[R]: 50 
23-06-22.898000,[R]: 50 
23-06-22.909000,[R]: 50 
23-06-22.912000,[R]: 0 
23-06-22.920000,[R]: 50 
23-06-22.921000,[R]: 0 
23-06-22.928000,[R]: 50 
23-06-22.938000,[R]: 50 
23-06-22.949000,[R]: 50 
23-06-22.952000,[R]: 0 
23-06-22.960000,[R]: 50 
23-06-22.964000,[R]: 0 
23-06-22.968000,[R]: 50 
23-06-22.978000,[R]: 50 
23-06-22.989000,[R]: 50 
23-06-22.994000,[R]: 0 
23-06-23.000000,[R]: 50 
23-06-23.001000,[R]: 0 
23-06-23.008000,[R]: 50 
23-06-23.018000,[R]: 50 
23-06-23.029000,[R]: 50 
23-06-23.033000,[R]: 0 
23-06-23.040000,[R]: 50 
23-06-23.041000,[R]: 0 
23-06-23.048000,[R]: 50 
23-06-23.057000,[R]: 50 
23-06-23.068000,[R]: 50 
23-06-23.071000,[R]: 0 
23-06-23.079000,[R]: 50 
23-06-23.080000,[R]: 0 
23-06-23.087000,[R]: 50 
23-06-23.097000,[R]: 50 
23-06-23.108000,[R]: 50 
23-06-23.111000,[R]: 0 
23-06-23.119000,[R]: 50 
23-06-23.130000,[R]: 50 
23-06-23.143000,[R]: 50 
23-06-23.152000,[R]: 50 
23-06-23.153000,[R]: 0 
23-06-23.163000,S 1 	RSSI: 53
23-06-23.165000,[R]: 50 
23-06-23.171000,[R]: 50 
23-06-23.181000,[R]: 50 
23-06-23.183000,[R]: 0 
23-06-23.192000,[R]: 50 
23-06-23.193000,[R]: 0 
23-06-23.196000,S 1 	RSSI: 53
23-06-23.199000,[R]: 50 
23-06-23.209000,[R]: 50 
23-06-23.221000,[R]: 50 
23-06-23.223000,[R]: 0 
23-06-23.231000,[R]: 50 
23-06-23.232000,[R]: 0 
23-06-23.239000,[R]: 50 
23-06-23.250000,[R]: 50 
23-06-23.261000,[R]: 50 
23-06-23.264000,[R]: 0 
23-06-23.272000,[R]: 50 
23-06-23.272000,[R]: 0 
23-06-23.279000,[R]: 50 
23-06-23.290000,[R]: 50 
23-06-23.301000,[R]: 50 
23-06-23.304000,[R]: 0 
23-06-23.312000,[R]: 50 
23-06-23.316000,[R]: 0 
23-06-23.319000,[R]: 50 
23-06-23.330000,[R]: 50 
23-06-23.341000,[R]: 50 
23-06-23.344000,[R]: 0 
23-06-23.352000,[R]: 50 
23-06-23.353000,[R]: 0 
23-06-23.359000,[R]: 50 
23-06-23.370000,[R]: 50 
23-06-23.381000,[R]: 50 
23-06-23.384000,[R]: 0 
23-06-23.392000,[R]: 50 
23-06-23.394000,[R]: 0 
23-06-23.399000,[R]: 50 
23-06-23.410000,[R]: 50 
23-06-23.421000,[R]: 50 
23-06-23.424000,[R]: 0 
23-06-23.431000,[R]: 50 
23-06-23.432000,[R]: 0 
23-06-23.438000,[R]: 50 
23-06-23.449000,[R]: 50 
23-06-23.460000,[R]: 50 
23-06-23.463000,[R]: 0 
23-06-23.471000,[R]: 50 
23-06-23.472000,[R]: 0 
23-06-23.478000,[R]: 50 
23-06-23.489000,[R]: 50 
23-06-23.500000,[R]: 50 
23-06-23.503000,[R]: 0 
23-06-23.511000,[R]: 50 
23-06-23.512000,[R]: 0 
23-06-23.518000,[R]: 50 
23-06-23.529000,[R]: 50 
23-06-23.540000,[R]: 50 
23-06-23.543000,[R]: 0 
23-06-23.551000,[R]: 50 
23-06-23.552000,[R]: 0 
23-06-23.558000,[R]: 50 
23-06-23.569000,[R]: 50 
23-06-23.581000,[R]: 50 
23-06-23.583000,[R]: 0 
23-06-23.591000,[R]: 50 
23-06-23.592000,[R]: 0 
23-06-23.599000,[R]: 50 
23-06-23.610000,[R]: 50 
23-06-23.621000,[R]: 50 
23-06-23.624000,[R]: 0 
23-06-23.632000,[R]: 50 
23-06-23.632000,[R]: 0 
23-06-23.639000,[R]: 50 
23-06-23.650000,[R]: 50 
23-06-23.661000,[R]: 50 
23-06-23.664000,[R]: 0 
23-06-23.672000,[R]: 50 
23-06-23.675000,[R]: 0 
23-06-23.679000,[R]: 50 
23-06-23.690000,[R]: 50 
23-06-23.701000,[R]: 50 
23-06-23.705000,[R]: 0 
23-06-23.712000,[R]: 50 
23-06-23.713000,[R]: 0 
23-06-23.719000,[R]: 50 
23-06-23.730000,[R]: 50 
23-06-23.741000,[R]: 50 
23-06-23.744000,[R]: 0 
23-06-23.752000,[R]: 50 
23-06-23.763000,[R]: 50 
23-06-23.774000,[R]: 50 
23-06-23.784000,[R]: 50 
23-06-23.785000,[R]: 0 
23-06-23.788000,S 1 	RSSI: 53
23-06-23.792000,[R]: 50 
23-06-23.802000,[R]: 50 
23-06-23.812000,[R]: 50 
23-06-23.816000,[R]: 0 
23-06-23.823000,[R]: 50 
23-06-23.824000,[R]: 0 
23-06-23.827000,S 1 	RSSI: 53
23-06-23.830000,[R]: 50 
23-06-23.841000,[R]: 50 
23-06-23.852000,[R]: 50 
23-06-23.855000,[R]: 0 
23-06-23.863000,[R]: 50 
23-06-23.872000,[R]: 0 
23-06-23.872000,[R]: 50 
23-06-23.881000,[R]: 50 
23-06-23.893000,[R]: 50 
23-06-23.895000,[R]: 0 
23-06-23.903000,[R]: 50 
23-06-23.904000,[R]: 0 
23-06-23.910000,[R]: 50 
23-06-23.921000,[R]: 50 
23-06-23.932000,[R]: 50 
23-06-23.935000,[R]: 0 
23-06-23.944000,[R]: 50 
23-06-23.944000,[R]: 0 
23-06-23.950000,[R]: 50 
23-06-23.961000,[R]: 50 
23-06-23.972000,[R]: 50 
23-06-23.976000,[R]: 0 
23-06-23.983000,[R]: 50 
23-06-23.984000,[R]: 0 
23-06-23.990000,[R]: 50 
23-06-24.002000,[R]: 50 
23-06-24.013000,[R]: 50 
23-06-24.016000,[R]: 0 
23-06-24.024000,[R]: 50 
23-06-24.024000,[R]: 0 
23-06-24.031000,[R]: 50 
23-06-24.042000,[R]: 50 
23-06-24.053000,[R]: 50 
23-06-24.056000,[R]: 0 
23-06-24.064000,[R]: 50 
23-06-24.067000,[R]: 0 
23-06-24.071000,[R]: 50 
23-06-24.082000,[R]: 50 
23-06-24.093000,[R]: 50 
23-06-24.096000,[R]: 0 
23-06-24.104000,[R]: 50 
23-06-24.104000,[R]: 0 
23-06-24.112000,[R]: 50 
23-06-24.122000,[R]: 50 
23-06-24.133000,[R]: 50 
23-06-24.136000,[R]: 0 
23-06-24.144000,[R]: 50 
23-06-24.145000,[R]: 0 
23-06-24.151000,[R]: 50 
23-06-24.162000,[R]: 50 
23-06-24.173000,[R]: 50 
23-06-24.176000,[R]: 0 
23-06-24.183000,[R]: 50 
23-06-24.184000,[R]: 0 
23-06-24.190000,[R]: 50 
23-06-24.201000,[R]: 50 
23-06-24.212000,[R]: 50 
23-06-24.215000,[R]: 0 
23-06-24.223000,[R]: 50 
23-06-24.224000,[R]: 0 
23-06-24.230000,[R]: 50 
23-06-24.241000,[R]: 50 
23-06-24.252000,[R]: 50 
23-06-24.255000,[R]: 0 
23-06-24.263000,[R]: 50 
23-06-24.264000,[R]: 0 
23-06-24.270000,[R]: 50 
23-06-24.282000,[R]: 50 
23-06-24.292000,[R]: 50 
23-06-24.295000,[R]: 0 
23-06-24.304000,[R]: 50 
23-06-24.307000,[R]: 0 
23-06-24.310000,[R]: 50 
23-06-24.321000,[R]: 50 
23-06-24.332000,[R]: 50 
23-06-24.336000,[R]: 0 
23-06-24.343000,[R]: 50 
23-06-24.347000,[R]: 0 
23-06-24.350000,[R]: 50 
23-06-24.362000,[R]: 50 
23-06-24.373000,[R]: 50 
23-06-24.384000,[R]: 50 
23-06-24.385000,[R]: 0 
23-06-24.391000,[R]: 50 
23-06-24.402000,[R]: 50 
23-06-24.413000,[R]: 50 
23-06-24.416000,[R]: 0 
23-06-24.424000,[R]: 50 
23-06-24.424000,[R]: 0 
23-06-24.431000,[R]: 50 
23-06-24.442000,[R]: 50 
23-06-24.453000,[R]: 50 
23-06-24.456000,[R]: 0 
23-06-24.464000,[R]: 50 
23-06-24.465000,[R]: 0 
23-06-24.471000,[R]: 50 
23-06-24.482000,[R]: 50 
23-06-24.494000,[R]: 50 
23-06-24.496000,[R]: 0 
23-06-24.504000,[R]: 50 
23-06-24.504000,[R]: 0 
23-06-24.512000,[R]: 50 
23-06-24.522000,[R]: 50 
23-06-24.533000,[R]: 50 
23-06-24.537000,[R]: 0 
23-06-24.544000,[R]: 50 
23-06-24.545000,[R]: 0 
23-06-24.551000,[R]: 50 
23-06-24.561000,[R]: 50 
23-06-24.572000,[R]: 50 
23-06-24.575000,[R]: 0 
23-06-24.583000,[R]: 50 
23-06-24.584000,[R]: 0 
23-06-24.590000,[R]: 50 
23-06-24.601000,[R]: 50 
23-06-24.612000,[R]: 50 
23-06-24.616000,[R]: 0 
23-06-24.623000,[R]: 50 
23-06-24.624000,[R]: 0 
23-06-24.630000,[R]: 50 
23-06-24.644000,[R]: 50 
23-06-24.652000,[R]: 50 
23-06-24.655000,[R]: 0 
23-06-24.664000,[R]: 50 
23-06-24.666000,[R]: 0 
23-06-24.670000,[R]: 50 
23-06-24.681000,[R]: 50 
23-06-24.692000,[R]: 50 
23-06-24.695000,[R]: 0 
23-06-24.703000,[R]: 50 
23-06-24.704000,[R]: 0 
23-06-24.710000,[R]: 50 
23-06-24.722000,[R]: 50 
23-06-24.733000,[R]: 50 
23-06-24.735000,[R]: 0 
23-06-24.744000,[R]: 50 
23-06-24.747000,[R]: 0 
23-06-24.751000,[R]: 50 
23-06-24.762000,[R]: 50 
23-06-24.773000,[R]: 50 
23-06-24.776000,[R]: 0 
23-06-24.784000,[R]: 50 
23-06-24.784000,[R]: 0 
23-06-24.791000,[R]: 50 
23-06-24.802000,[R]: 50 
23-06-24.813000,[R]: 50 
23-06-24.818000,[R]: 0 
23-06-24.824000,[R]: 50 
23-06-24.824000,[R]: 0 
23-06-24.831000,[R]: 50 
23-06-24.842000,[R]: 50 
23-06-24.853000,[R]: 50 
23-06-24.856000,[R]: 0 
23-06-24.864000,[R]: 50 
23-06-24.865000,[R]: 0 
23-06-24.871000,[R]: 50 
23-06-24.882000,[R]: 50 
23-06-24.894000,[R]: 50 
23-06-24.896000,[R]: 0 
23-06-24.904000,[R]: 50 
23-06-24.904000,[R]: 0 
23-06-24.911000,[R]: 50 
23-06-24.922000,[R]: 50 
23-06-24.932000,[R]: 50 
23-06-24.935000,[R]: 0 
23-06-24.943000,[R]: 50 
23-06-24.944000,[R]: 0 
23-06-24.950000,[R]: 50 
23-06-24.964000,[R]: 50 
23-06-24.972000,[R]: 50 
23-06-24.975000,[R]: 0 
23-06-24.983000,[R]: 50 
23-06-24.984000,[R]: 0 
23-06-24.990000,[R]: 50 
23-06-25.001000,[R]: 50 
23-06-25.012000,[R]: 50 
23-06-25.015000,[R]: 0 
23-06-25.023000,[R]: 50 
23-06-25.024000,[R]: 0 
23-06-25.030000,[R]: 50 
23-06-25.041000,[R]: 50 
23-06-25.052000,[R]: 50 
23-06-25.055000,[R]: 0 
23-06-25.063000,[R]: 50 
23-06-25.067000,[R]: 0 
23-06-25.070000,[R]: 50 
23-06-25.081000,[R]: 50 
23-06-25.093000,[R]: 50 
23-06-25.097000,[R]: 0 
23-06-25.103000,[R]: 50 
23-06-25.104000,[R]: 0 
23-06-25.110000,[R]: 50 
23-06-25.122000,[R]: 50 
23-06-25.133000,[R]: 50 
23-06-25.136000,[R]: 0 
23-06-25.144000,[R]: 50 
23-06-25.144000,[R]: 0 
23-06-25.151000,[R]: 50 
23-06-25.162000,[R]: 50 
23-06-25.173000,[R]: 50 
23-06-25.176000,[R]: 0 
23-06-25.184000,[R]: 50 
23-06-25.185000,[R]: 0 
23-06-25.191000,[R]: 50 
23-06-25.202000,[R]: 50 
23-06-25.213000,[R]: 50 
23-06-25.216000,[R]: 0 
23-06-25.224000,[R]: 50 
23-06-25.224000,[R]: 0 
23-06-25.231000,[R]: 50 
23-06-25.243000,[R]: 50 
23-06-25.253000,[R]: 50 
23-06-25.256000,[R]: 0 
23-06-25.264000,[R]: 50 
23-06-25.265000,[R]: 0 
23-06-25.271000,[R]: 50 
23-06-25.282000,[R]: 50 
23-06-25.293000,[R]: 50 
23-06-25.296000,[R]: 0 
23-06-25.303000,[R]: 50 
23-06-25.306000,[R]: 0 
23-06-25.310000,[R]: 50 
23-06-25.321000,[R]: 50 
23-06-25.332000,[R]: 50 
23-06-25.335000,[R]: 0 
