21-45-04.871000,------------------------
21-45-33.958000,[R]: 50 
21-45-34.223000,[R]: 50 
21-45-34.490000,[R]: 50 
21-45-34.609000,S 1 	RSSI: 46
21-45-34.713000,S 1 	RSSI: 46
21-45-34.756000,[R]: 50 
21-45-34.815000,S 1 	RSSI: 46
21-45-34.890000,S 1 	RSSI: 46
21-45-34.920000,[R]: 0 
21-45-34.928000,[R]: 50 
21-45-35.195000,[R]: 50 
21-45-35.426000,S 1 	RSSI: 46
21-45-35.462000,[R]: 50 
21-45-35.727000,[R]: 50 
21-45-35.963000,S 1 	RSSI: 46
21-45-35.994000,[R]: 50 
21-45-36.223000,[R]: 0 
21-45-36.232000,[R]: 50 
21-45-36.334000,[R]: 50 
21-45-36.435000,[R]: 50 
21-45-36.473000,[R]: 0 
21-45-36.480000,[R]: 50 
21-45-36.498000,S 1 	RSSI: 46
21-45-36.583000,[R]: 50 
21-45-36.686000,[R]: 50 
21-45-36.787000,[R]: 50 
21-45-36.890000,[R]: 50 
21-45-36.955000,[R]: 0 
21-45-36.964000,[R]: 50 
21-45-37.014000,S 1 	RSSI: 46
21-45-37.066000,[R]: 50 
21-45-37.168000,[R]: 50 
21-45-37.270000,[R]: 50 
21-45-37.373000,[R]: 50 
21-45-37.476000,[R]: 50 
21-45-37.551000,S 1 	RSSI: 46
21-45-37.562000,S 1 	RSSI: 46
21-45-37.577000,[R]: 50 
21-45-37.666000,S 1 	RSSI: 46
21-45-37.681000,[R]: 50 
21-45-37.769000,S 1 	RSSI: 46
21-45-37.784000,[R]: 50 
21-45-37.872000,S 1 	RSSI: 46
21-45-37.887000,[R]: 50 
21-45-37.974000,S 1 	RSSI: 46
21-45-37.989000,[R]: 50 
21-45-38.078000,S 1 	RSSI: 46
21-45-38.093000,[R]: 50 
21-45-38.181000,S 1 	RSSI: 46
21-45-38.196000,[R]: 50 
21-45-38.283000,S 1 	RSSI: 46
21-45-38.298000,[R]: 50 
21-45-38.377000,[R]: 0 
21-45-38.382000,S 1 	RSSI: 46
21-45-38.385000,[R]: 50 
21-45-38.485000,S 1 	RSSI: 46
21-45-38.488000,[R]: 50 
21-45-38.502000,S 1 	RSSI: 46
21-45-38.518000,S 1 	RSSI: 46
21-45-38.590000,[R]: 50 
21-45-38.606000,[R]: 0 
21-45-38.615000,[R]: 50 
21-45-38.621000,S 1 	RSSI: 46
21-45-38.723000,S 1 	RSSI: 46
21-45-38.750000,[R]: 0 
21-45-38.759000,[R]: 50 
21-45-38.827000,S 1 	RSSI: 46
21-45-38.862000,[R]: 50 
21-45-38.930000,S 1 	RSSI: 46
21-45-38.965000,[R]: 50 
21-45-39.032000,S 1 	RSSI: 46
21-45-39.068000,[R]: 50 
21-45-39.098000,S 1 	RSSI: 46
21-45-39.171000,[R]: 50 
21-45-39.201000,S 1 	RSSI: 46
21-45-39.274000,[R]: 50 
21-45-39.304000,S 1 	RSSI: 46
21-45-39.354000,S 1 	RSSI: 46
21-45-39.377000,[R]: 50 
21-45-39.456000,S 1 	RSSI: 46
21-45-39.479000,[R]: 50 
21-45-39.559000,S 1 	RSSI: 46
21-45-39.583000,[R]: 50 
