23-18-15.625,"""Scanner enabled\r\n"""
23-20-32.405,"7 51"""
23-20-32.410,"8 53"""
23-20-32.426, 0 0 0 0 0 0 0 0
23-20-32.428,0 0 0 0 0 44 0 0
23-20-32.429,57 44 0 0 0 62 0 0
23-20-32.430,60 0 44 0 0 0 44 0
23-20-32.431,0 0 0 0 0 0 0 0
23-20-32.431,0 0 0 0 0 0 0 0
23-20-32.432,45 0 44 0 0 0 0 0
23-20-32.433,"56 45 46 0 0""1 46"""
23-20-32.433,"3 61"""
23-20-32.434,"4 51"""
23-20-32.435,"2 46"""
23-20-32.442,"8 53"""
23-20-32.445,"7 51"""
23-20-32.452,"1 45"""
23-20-32.455,"3 61"""
23-20-32.466, 0 46 0 0 0 0 0 0
23-20-32.467,0 0 0 0 0 44 0 0
23-20-32.468,57 44 0 0 0 0 0 0
23-20-32.471,0 0 44 0 0 0 44 48
23-20-32.472,0 0 0 0 0 0 0 0
23-20-32.473,0 0 0 0 0 0 0 0
23-20-32.473,0 0 44 0 0 0 0 47
23-20-32.474,"56 0 46 0 0 ""1 45"""
23-20-32.477,"2 46"""
23-20-32.477,"4 51"""
23-20-32.478,"8 53"""
23-20-32.479,"7 51"""
23-20-32.481,"6 49"""
23-20-32.488,"3 61"""
23-20-32.493,"1 45"""
23-20-32.507, 0 47 0 0 0 0 0 0
23-20-32.508,0 0 0 0 0 0 0 0
23-20-32.511,57 44 0 0 0 63 0 0
23-20-32.522,0 0 44 0 0 0 44 48
23-20-32.527,0 0 0 0 0 0 0 0
23-20-32.535,0 0 0 0 0 0 0 0
23-20-32.544,0 0 44 0 0 0 0 47
23-20-32.545,"0 0 46 0 0 0""4 51"""
23-20-32.546,"8 53"""
23-20-32.546,"6 49"""
23-20-32.547,"3 61"""
23-20-32.548,"1 45"""
23-20-32.549,"2 46"""
23-20-32.550,"4 51"""
23-20-32.552, 0 0 0 60 0 0 0 0
23-20-32.555,46 0 0 0 0 0 0 0
23-20-32.556,57 44 0 0 0 62 0 0
23-20-32.556,0 0 44 0 0 0 44 48
23-20-32.557,0 0 0 0 0 0 0 0
23-20-32.557,51 0 0 0 0 0 0 0
23-20-32.558,0 0 0 0 0 0 0 0
23-20-32.558,"0 0 0 0 0 0 ""6 49"""
23-20-32.559,"3 61"""
23-20-32.559,"4 51"""
23-20-32.560,"1 45"""
23-20-32.564,"2 46"""
23-20-32.566,"7 51"""
23-20-32.569,"8 53"""
23-20-32.585, 0 0 0 60 0 0 0 0
23-20-32.586,46 0 0 44 0 0 0 0
23-20-32.587,0 0 0 0 0 0 0 0
23-20-32.588,0 0 44 0 0 0 0 0
23-20-32.588,0 0 0 0 0 0 0 0
23-20-32.590,51 44 0 0 0 0 0 0
23-20-32.591,0 0 44 0 0 0 0 0
23-20-32.591,"0 0 46 0 0 0 0""6 49"""
23-20-32.592,"1 46"""
23-20-32.593,"3 60"""
23-20-32.593,"2 46"""
23-20-32.594,"4 51"""
23-20-32.605,"7 51"""
23-20-32.610,"8 53"""
23-20-32.613,"6 49"""
23-20-32.614,"1 45"""
23-20-32.615,"3 60"""
23-20-32.626, 0 46 0 60 0 0 44 55
23-20-32.627,0 0 0 0 0 0 0 0
23-20-32.628,0 0 0 0 0 62 0 0
23-20-32.629,0 0 0 0 0 0 44 48
23-20-32.630,0 0 0 0 0 0 0 0
23-20-32.631,51 0 0 0 0 0 0 0
23-20-32.631,0 0 44 0 0 0 0 0
23-20-32.632,"0 0 46 0 0 0""4 51"""
23-20-32.638,"7 51"""
23-20-32.640,"6 49"""
23-20-32.642,"8 53"""
23-20-32.646,"1 45"""
23-20-32.647,"3 60"""
23-20-32.651,"2 46"""
23-20-32.667, 0 46 0 0 0 0 0 55
23-20-32.670,46 0 44 0 0 0 0 44
23-20-32.671,0 0 0 0 0 62 0 0
23-20-32.671,60 44 0 0 0 0 44 48
23-20-32.672,0 0 0 0 0 0 0 0
23-20-32.673,0 0 0 0 0 0 0 0
23-20-32.673,0 44 0 0 0 0 0 47
23-20-32.674,"0 0 46 0 ""4 51"""
23-20-32.674,"3 60"""
23-20-32.675,"7 51"""
23-20-32.676,"8 53"""
23-20-32.682,"1 46"""
23-20-32.688,"6 49"""
23-20-32.688,"2 46"""
23-20-32.691,"4 51"""
23-20-32.707, 0 46 56 0 0 0 0 0
23-20-32.708,46 0 44 0 0 44 0 0
23-20-32.708,0 0 0 0 0 0 0 0
23-20-32.709,60 0 0 0 0 0 44 48
23-20-32.710,0 0 0 0 0 0 0 0
23-20-32.711,0 0 0 0 0 0 0 0
23-20-32.711,45 0 0 0 0 0 0 47
23-20-32.713,"0 45 46 0 0""7 51"""
23-20-32.715,"2 46"""
23-20-32.715,"3 61"""
23-20-32.717,"6 49"""
23-20-32.724,"4 51"""
23-20-32.728,"8 53"""
23-20-32.734,"1 46"""
23-20-32.736,"7 51"""
23-20-32.746, 0 0 0 0 0 53 0 0
23-20-32.746,46 0 0 0 0 44 0 0
23-20-32.748,0 0 0 0 0 0 0 0
23-20-32.748,0 0 0 0 0 0 44 0
23-20-32.749,0 0 0 0 0 0 0 0
23-20-32.749,0 0 0 0 0 0 0 0
23-20-32.750,0 0 0 0 0 0 0 47
23-20-32.751,"55 45 46 0 0 0 0""2 46"""
23-20-32.751,"3 61"""
23-20-32.752,"6 49"""
23-20-32.753,"4 51"""
23-20-32.765,"7 51"""
23-20-32.768,"1 45"""
23-20-32.770,"8 53"""
23-20-32.772,"2 46"""
23-20-32.775,"3 61"""
23-20-32.786, 0 0 0 0 0 52 0 0
23-20-32.787,46 0 0 0 0 44 0 0
23-20-32.789,57 44 0 0 0 63 0 0
23-20-32.789,0 0 0 0 0 0 44 48
23-20-32.790,0 0 0 0 0 0 0 0
23-20-32.791,0 0 0 0 0 0 0 0
23-20-32.791,0 0 0 0 0 0 0 0
23-20-32.792,"0 0 46 0 0 0 ""6 49"""
23-20-32.794,"4 51"""
23-20-32.800,"1 45"""
23-20-32.802,"8 53"""
23-20-32.803,"2 46"""
23-20-32.807,"7 51"""
23-20-32.812,"6 49"""
23-20-32.825, 0 0 0 0 0 51 0 0
23-20-32.829,46 0 0 0 0 44 0 0
23-20-32.829,0 0 0 0 0 0 0 0
23-20-32.831,0 0 0 0 0 0 44 48
23-20-32.832,0 0 0 0 0 0 0 0
23-20-32.833,51 0 0 0 0 0 0 0
