23-23-18.496000,"ÿ""Scanner enabled\r\n"""
23-23-24.254000,"""type 2, info: ---a_new_sensor_enters---"""
23-23-31.523000,"""type 1, info: ---a_new_sensor_enters---"""
23-23-31.542000,"""COUNT 0 0"
23-23-31.542000,[0] 0 0
23-23-31.543000,[1] 0 0
23-23-31.543000,""""
23-23-31.544000,"""type 4, info: sync"""
23-23-31.545000,"""Sensor: 1. RSSI: 55"""
23-23-31.546000,"""COUNT 1 0"
23-23-31.547000,[0] 0 0
23-23-31.551000,[1] 0 0
23-23-31.554000,""""
23-23-31.554000,"""type 4, info: sync"""
23-23-31.556000,"""Sensor: 1. RSSI: 55"""
23-23-31.556000,"""COUNT 1 0"
23-23-31.557000,[0] 0 0
23-23-31.558000,[1] 0 0
23-23-31.559000,""""
23-23-31.560000,"""type 4, info: sync"""
23-23-31.561000,"""Sensor: 1. RSSI: 55"""
23-23-31.567000,"""COUNT 1 0"
23-23-31.567000,[0] 0 0
23-23-31.568000,[1] 0 0
23-23-31.569000,""""
23-23-31.569000,"""type 4, info: sync"""
23-23-31.570000,"""Sensor: 1. RSSI: 55"""
23-23-31.571000,"""COUNT 1 0"
23-23-31.571000,[0] 0 0
23-23-31.572000,[1] 0 0
23-23-31.573000,""""
23-23-31.573000,"""type 4, info: sync"""
23-23-31.577000,"""COUNT 0 0"
23-23-31.581000,[0] 0 0
23-23-31.582000,[1] 0 0
23-23-31.582000,""""
23-23-31.583000,"""type 4, info: sync"""
23-23-31.584000,"""Sensor: 1. RSSI: 55"""
23-23-31.585000,"""COUNT 1 0"
23-23-31.586000,[0] 0 0
23-23-31.588000,[1] 0 0
23-23-31.589000,""""
23-23-31.590000,"""type 4, info: sync"""
23-23-31.591000,"""Sensor: 1. RSSI: 55"""
23-23-31.592000,"""COUNT 1 0"
23-23-31.598000,[0] 0 0
23-23-31.599000,[1] 0 0
23-23-31.600000,""""
23-23-31.600000,"""type 4, info: sync"""
23-23-31.601000,"""COUNT 0 0"
23-23-31.602000,[0] 0 0
23-23-31.603000,[1] 0 0
23-23-31.603000,""""
23-23-31.604000,"""type 4, info: sync"""
23-23-31.604000,"""Sensor: 1. RSSI: 55"""
23-23-31.605000,"""COUNT 1 0"
23-23-31.605000,[0] 0 0
23-23-31.606000,[1] 0 0
23-23-31.606000,""""
23-23-31.607000,"""type 4, info: sync"""
23-23-31.609000,"""Sensor: 1. RSSI: 56"""
23-23-31.611000,"""Sensor: 2. RSSI: 60"""
23-23-31.611000,"""COUNT 1 1"
23-23-31.612000,[0] 0 0
23-23-31.612000,[1] 0 0
23-23-31.614000,""""
23-23-31.614000,"""type 4, info: sync"""
23-23-31.615000,"""Sensor: 1. RSSI: 56"""
23-23-31.623000,"""COUNT 1 0"
23-23-31.623000,[0] 0 0
23-23-31.624000,[1] 0 0
23-23-31.625000,""""
23-23-31.625000,"""type 4, info: sync"""
23-23-31.626000,"""Sensor: 2. RSSI: 60"""
23-23-31.626000,"""Sensor: 1. RSSI: 56"""
23-23-31.630000,"""COUNT 1 1"
23-23-31.633000,[0] 0 0
23-23-31.634000,[1] 0 0
