23-12-26.858000,"""Scanner enabled\r\n"""
23-12-30.582000,"type 2, info: ---a_new_sensor_enters---"""
23-12-31.875000,"type 1, info: ---a_new_sensor_enters---"""
23-13-00.237000,"type 3, info: ---a_new_sensor_enters---"""
23-13-12.314000,"type 4, info: ---a_new_sensor_enters---"""
23-13-30.453000,"type 5, info: ---a_new_sensor_enters---"""
23-13-59.281000,"type 6, info: ---a_new_sensor_enters---"""
23-14-26.559000,"type 7, info: ---a_new_sensor_enters---"""
23-14-52.748000,"type 8, info: ---a_new_sensor_enters---"""
23-14-52.776000, 0 0 0 0 0 0 0 0
23-14-52.778000,0 0 0 0 0 0 0 0
23-14-52.778000,0 0 0 0 0 0 0 0
23-14-52.779000,0 0 0 0 0 0 0 0
23-14-52.780000,0 0 0 0 0 0 0 0
23-14-52.780000,0 0 0 0 0 0 0 0
23-14-52.781000,0 0 0 0 0 0 0 0
23-14-52.781000,0 0 0 0 0 0 0 0
23-14-52.782000,
23-14-52.815000, 0 0 0 0 0 0 0 0
23-14-52.821000,0 0 0 0 0 0 0 0
23-14-52.828000,0 0 0 0 0 0 0 0
23-14-52.838000,0 0 0 0 0 0 0 0
23-14-52.839000,0 0 0 0 0 0 0 0
23-14-52.840000,0 0 0 0 0 0 0 0
23-14-52.843000,0 0 0 0 0 0 0 0
23-14-52.854000,0 0 0 0 0 0 0 0
23-14-52.856000,
23-14-52.856000, 0 0 0 0 0 0 0 0
23-14-52.857000,0 0 0 0 0 0 0 0
23-14-52.857000,0 0 0 0 0 0 0 0
23-14-52.858000,0 0 0 0 0 0 0 0
23-14-52.861000,0 0 0 0 0 0 0 0
23-14-52.861000,0 0 0 0 0 0 0 0
23-14-52.862000,0 0 0 0 0 0 0 0
23-14-52.863000,0 0 0 0 0 0 0 0
23-14-52.863000,
23-14-52.896000, 0 0 0 0 0 0 0 0
23-14-52.898000,0 0 0 0 0 0 0 0
23-14-52.899000,0 0 0 0 0 0 0 0
23-14-52.900000,0 0 0 0 0 0 0 0
23-14-52.900000,0 0 0 0 0 0 0 0
23-14-52.901000,0 0 0 0 0 0 0 0
23-14-52.901000,0 0 0 0 0 0 0 0
23-14-52.902000,0 0 0 0 0 0 0 0
23-14-52.902000,
23-14-52.902000,"2 45"""
23-14-52.906000,"4 48"""
23-14-52.936000, 0 0 0 0 0 0 0 0
23-14-52.936000,0 0 0 0 0 0 0 0
23-14-52.937000,0 0 0 0 0 0 0 0
23-14-52.937000,0 0 0 0 0 0 0 0
23-14-52.939000,0 0 0 0 0 0 0 0
23-14-52.940000,0 0 0 0 0 0 0 0
23-14-52.940000,0 0 0 0 0 0 0 0
23-14-52.940000,0 0 0 0 0 0 0 0
23-14-52.941000,
23-14-52.941000,"4 48"""
23-14-52.962000,"2 45"""
23-14-52.976000, 0 0 0 0 0 0 0 0
23-14-52.976000,0 0 0 0 0 0 0 0
23-14-52.977000,0 0 0 0 0 0 0 0
23-14-52.977000,0 44 0 0 0 0 0 0
23-14-52.978000,0 0 0 0 0 0 0 0
23-14-52.978000,0 0 0 0 0 0 0 0
23-14-52.978000,0 0 0 0 0 0 0 0
23-14-52.979000,0 0 0 0 0 0 0 0
23-14-52.979000,
23-14-52.979000,"4 48"""
23-14-52.980000,"1 45"""
23-14-52.982000,"3 47"""
23-14-52.993000,"6 48"""
23-14-52.995000,"2 45"""
23-14-53.006000,"4 48"""
23-14-53.011000,"1 45"""
23-14-53.017000, 0 48 60 60 0 0 0 0
23-14-53.017000,0 0 0 0 0 0 0 0
23-14-53.018000,0 0 0 0 0 0 0 0
23-14-53.019000,0 0 0 0 0 0 0 0
23-14-53.019000,0 44 0 0 0 0 0 0
23-14-53.020000,0 0 0 0 0 0 0 0
23-14-53.022000,54 0 44 0 0 0 0 0
23-14-53.022000,0 0 0 0 0 0 0 0
23-14-53.023000,"0 0 0 0 0 0 0 0""3 47"""
23-14-53.026000,"6 48"""
23-14-53.029000,"2 45"""
23-14-53.035000,"5 51"""
23-14-53.036000,"4 48"""
23-14-53.040000,"1 45"""
23-14-53.043000,"8 53"""
23-14-53.047000,"3 47"""
23-14-53.061000, 0 48 0 60 0 0 0 0
23-14-53.062000,0 0 0 0 0 0 0 0
23-14-53.062000,60 44 0 44 0 0 0 0
23-14-53.063000,0 44 0 0 45 0 0 0
