22-45-50.787000,----------------------------
22-45-51.619000,[R]: 0 
22-45-51.627000,[R]: 50 
22-45-51.786000,[R]: 50 
22-45-51.946000,[R]: 50 
22-45-52.106000,[R]: 50 
22-45-52.265000,[R]: 50 
22-45-52.425000,[R]: 50 
22-45-52.584000,[R]: 50 
22-45-52.744000,[R]: 50 
22-45-52.903000,[R]: 50 
22-45-53.063000,[R]: 50 
22-45-53.223000,[R]: 50 
22-45-53.382000,[R]: 50 
22-45-53.542000,[R]: 50 
22-45-53.701000,[R]: 50 
22-45-53.861000,[R]: 50 
22-45-54.020000,[R]: 50 
22-45-54.180000,[R]: 50 
22-45-54.340000,[R]: 50 
22-45-54.499000,[R]: 50 
22-45-54.659000,[R]: 50 
22-45-54.818000,[R]: 50 
22-45-54.910000,[R]: 0 
22-45-54.929000,[R]: 50 
22-45-54.930000,S 1 	RSSI: 48
22-45-54.931000,[R]: 50 
22-45-54.931000,[R]: 0 
22-45-54.931000,S 1 	RSSI: 48
22-45-54.933000,[R]: 50 
22-45-54.945000,S 1 	RSSI: 48
22-45-54.946000,[R]: 50 
22-45-54.954000,S 1 	RSSI: 48
22-45-54.958000,[R]: 50 
22-45-54.967000,S 1 	RSSI: 48
22-45-54.995000,[R]: 50 
22-45-54.995000,[R]: 0 
22-45-54.996000,[R]: 50 
22-45-54.997000,S 1 	RSSI: 48
22-45-55.007000,[R]: 50 
22-45-55.021000,[R]: 0 
22-45-55.031000,S 1 	RSSI: 48
22-45-55.033000,[R]: 50 
22-45-55.034000,S 1 	RSSI: 46
22-45-55.039000,[R]: 50 
22-45-55.040000,S 1 	RSSI: 48
22-45-55.047000,[R]: 50 
22-45-55.057000,S 1 	RSSI: 48
22-45-55.058000,[R]: 50 
22-45-55.058000,[R]: 0 
22-45-55.060000,[R]: 50 
22-45-55.063000,S 1 	RSSI: 48
22-45-55.066000,[R]: 50 
22-45-55.074000,[R]: 0 
22-45-55.075000,S 1 	RSSI: 48
22-45-55.090000,[R]: 50 
22-45-55.090000,S 1 	RSSI: 48
22-45-55.091000,[R]: 50 
22-45-55.096000,S 1 	RSSI: 48
22-45-55.121000,[R]: 50 
22-45-55.122000,S 1 	RSSI: 48
22-45-55.122000,[R]: 50 
22-45-55.153000,[R]: 0 
22-45-55.242000,[R]: 50 
22-45-55.297000,S 1 	RSSI: 48
22-45-55.306000,[R]: 50 
22-45-55.306000,[R]: 0 
22-45-55.307000,S 1 	RSSI: 48
22-45-55.307000,[R]: 50 
22-45-55.308000,S 1 	RSSI: 48
22-45-55.308000,[R]: 50 
22-45-55.309000,S 1 	RSSI: 48
22-45-55.317000,[R]: 50 
22-45-55.317000,S 1 	RSSI: 48
22-45-55.318000,[R]: 50 
22-45-55.319000,S 1 	RSSI: 48
22-45-55.319000,[R]: 0 
22-45-55.320000,[R]: 50 
22-45-55.323000,S 1 	RSSI: 48
