20-03-50.643000,-------------------------
20-03-54.103000,[R]: 2 
20-03-54.103000,[R]: 20 
20-03-54.104000,[R]: 1 
20-03-54.104000,[R]: 50 
20-03-54.108000,[R]: 2 
20-03-54.108000,[R]: 1 
20-03-54.114000,[R]: 50 
20-03-54.114000,[R]: 2 
20-03-54.115000,[R]: 1 
20-03-54.115000,[R]: 50 
20-03-54.117000,[R]: 2 
20-03-54.118000,[R]: 1 
20-03-54.118000,[R]: 50 
20-03-54.120000,[R]: 2 
20-03-54.120000,[R]: 1 
20-03-54.121000,[R]: 50 
20-03-54.121000,[R]: 2 
20-03-54.125000,[R]: 1 
20-03-54.131000,[R]: 50 
20-03-54.135000,[R]: 2 
20-03-54.135000,[R]: 20 
20-03-54.136000,[R]: 1 
20-03-54.137000,[R]: 50 
20-03-54.137000,[R]: 2 
20-03-54.138000,[R]: 1 
20-03-54.138000,[R]: 50 
20-03-54.147000,[R]: 2 
20-03-54.149000,[R]: 1 
20-03-54.151000,[R]: 50 
20-03-54.151000,[R]: 2 
20-03-54.152000,[R]: 1 
20-03-54.152000,[R]: 50 
20-03-54.153000,[R]: 2 
20-03-54.153000,[R]: 1 
20-03-54.154000,[R]: 50 
20-03-54.154000,[R]: 2 
20-03-54.160000,[R]: 1 
20-03-54.160000,[R]: 50 
20-03-54.161000,[R]: 2 
20-03-54.161000,[R]: 20 
20-03-54.162000,[R]: 1 
20-03-54.162000,[R]: 50 
20-03-54.167000,[R]: 2 
20-03-54.168000,[R]: 1 
20-03-54.170000,[R]: 50 
20-03-54.170000,[R]: 2 
20-03-54.171000,[R]: 1 
20-03-54.172000,[R]: 50 
20-03-54.172000,[R]: 2 
20-03-54.173000,[R]: 1 
20-03-54.173000,[R]: 50 
20-03-54.182000,[R]: 2 
20-03-54.182000,[R]: 1 
20-03-54.183000,[R]: 50 
20-03-54.183000,[R]: 2 
20-03-54.184000,[R]: 1 
20-03-54.184000,[R]: 50 
20-03-54.185000,[R]: 2 
20-03-54.186000,[R]: 1 
20-03-54.186000,[R]: 50 
20-03-54.186000,[R]: 2 
20-03-54.187000,[R]: 1 
20-03-54.188000,[R]: 50 
20-03-54.188000,[R]: 2 
20-03-54.189000,[R]: 1 
20-03-54.200000,[R]: 50 
20-03-54.200000,[R]: 2 
20-03-54.202000,[R]: 1 
20-03-54.202000,[R]: 50 
20-03-54.203000,[R]: 2 
20-03-54.203000,[R]: 1 
20-03-54.204000,[R]: 50 
20-03-54.204000,[R]: 2 
20-03-54.208000,[R]: 20 
20-03-54.209000,[R]: 1 
20-03-54.213000,[R]: 50 
20-03-54.214000,[R]: 2 
20-03-54.214000,[R]: 1 
20-03-54.215000,[R]: 50 
20-03-54.215000,[R]: 2 
20-03-54.216000,[R]: 1 
