22-41-32.858000,--------------------------
22-43-45.911000,[R]: 1 
22-43-45.912000,[R]: 2 
22-43-45.920000,[R]: 50 
22-43-45.950000,S 4 	RSSI: 44
22-43-45.951000,[R]: 3 
22-43-45.951000,[R]: 4 
22-43-45.952000,[R]: 5 
22-43-45.953000,S 7 	RSSI: 44
22-43-45.954000,[R]: 6 
22-43-45.954000,[R]: 7 
22-43-45.955000,[R]: 8 
22-43-45.956000,[R]: 1 
22-43-45.962000,S 1 	RSSI: 55
22-43-45.966000,[R]: 2 
22-43-45.966000,[R]: 50 
22-43-45.967000,[R]: 3 
22-43-45.974000,[R]: 4 
22-43-45.975000,[R]: 5 
22-43-45.976000,S 7 	RSSI: 44
22-43-45.976000,[R]: 6 
22-43-45.977000,[R]: 7 
22-43-45.977000,[R]: 8 
22-43-45.987000,[R]: 1 
22-43-45.987000,S 1 	RSSI: 55
22-43-45.990000,[R]: 2 
22-43-45.990000,[R]: 50 
22-43-45.991000,[R]: 3 
22-43-45.999000,[R]: 4 
22-43-45.999000,[R]: 5 
22-43-46.000000,S 7 	RSSI: 44
22-43-46.001000,[R]: 6 
22-43-46.001000,[R]: 7 
22-43-46.002000,[R]: 8 
22-43-46.003000,[R]: 1 
22-43-46.004000,[R]: 2 
22-43-46.025000,[R]: 50 
22-43-46.026000,[R]: 3 
22-43-46.027000,[R]: 4 
22-43-46.027000,[R]: 5 
22-43-46.028000,S 7 	RSSI: 44
22-43-46.028000,[R]: 6 
22-43-46.029000,[R]: 7 
22-43-46.029000,[R]: 8 
22-43-46.031000,[R]: 1 
22-43-46.032000,S 4 	RSSI: 44
22-43-46.033000,[R]: 2 
22-43-46.045000,[R]: 50 
22-43-46.046000,S 5 	RSSI: 44
22-43-46.048000,[R]: 3 
22-43-46.081000,[R]: 4 
22-43-46.083000,[R]: 5 
22-43-46.083000,[R]: 6 
22-43-46.084000,[R]: 7 
22-43-46.085000,[R]: 8 
22-43-46.085000,[R]: 1 
22-43-46.086000,[R]: 2 
22-43-46.086000,[R]: 50 
22-43-46.088000,S 5 	RSSI: 44
22-43-46.108000,[R]: 3 
22-43-46.146000,[R]: 4 
22-43-46.146000,[R]: 5 
22-43-46.147000,[R]: 6 
22-43-46.147000,[R]: 7 
22-43-46.151000,[R]: 8 
22-43-46.151000,[R]: 1 
22-43-46.152000,[R]: 2 
22-43-46.153000,[R]: 50 
22-43-46.153000,S 5 	RSSI: 44
22-43-46.163000,[R]: 3 
22-43-46.185000,[R]: 4 
22-43-46.185000,[R]: 5 
22-43-46.186000,[R]: 6 
22-43-46.187000,[R]: 7 
22-43-46.190000,[R]: 8 
22-43-46.190000,S 1 	RSSI: 55
22-43-46.191000,[R]: 1 
22-43-46.192000,[R]: 2 
22-43-46.192000,[R]: 50 
22-43-46.197000,[R]: 3 
22-43-46.198000,S 3 	RSSI: 44
22-43-46.201000,[R]: 4 
22-43-46.202000,[R]: 5 
22-43-46.216000,[R]: 6 
22-43-46.220000,S 6 	RSSI: 44
22-43-46.224000,[R]: 7 
22-43-46.224000,[R]: 8 
22-43-46.231000,S 1 	RSSI: 55
22-43-46.232000,[R]: 1 
22-43-46.239000,[R]: 2 
22-43-46.239000,[R]: 50 
22-43-46.240000,[R]: 3 
22-43-46.241000,S 3 	RSSI: 44
22-43-46.251000,[R]: 4 
22-43-46.253000,[R]: 5 
22-43-46.253000,[R]: 6 
22-43-46.254000,S 6 	RSSI: 44
22-43-46.255000,[R]: 7 
22-43-46.268000,[R]: 8 
22-43-46.270000,S 8 	RSSI: 45
22-43-46.270000,[R]: 1 
22-43-46.271000,[R]: 2 
22-43-46.275000,[R]: 50 
22-43-46.275000,[R]: 3 
22-43-46.277000,[R]: 4 
22-43-46.289000,[R]: 5 
22-43-46.290000,[R]: 6 
22-43-46.316000,S 6 	RSSI: 44
22-43-46.334000,[R]: 7 
22-43-46.339000,[R]: 8 
22-43-46.340000,S 8 	RSSI: 45
22-43-46.340000,[R]: 1 
22-43-46.351000,[R]: 2 
22-43-46.352000,[R]: 50 
22-43-46.353000,[R]: 3 
22-43-46.378000,[R]: 4 
22-43-46.380000,[R]: 5 
22-43-46.381000,[R]: 6 
22-43-46.381000,S 6 	RSSI: 44
22-43-46.382000,[R]: 7 
22-43-46.386000,[R]: 20 
22-43-46.386000,[R]: 1 
22-43-46.387000,[R]: 2 
22-43-46.387000,[R]: 50 
