22-54-04.044000,"""Scanner enabled\r\n"""
22-54-06.691000,"type 2, info: ---a_new_sensor_enters---"""
22-54-11.030000,"type 1, info: ---a_new_sensor_enters---"""
22-54-24.339000,"type 3, info: ---a_new_sensor_enters---"""
22-54-50.192000,"type 4, info: ---a_new_sensor_enters---"""
22-55-47.704000,"type 5, info: ---a_new_sensor_enters---"""
22-56-00.233000,"type 6, info: ---a_new_sensor_enters---"""
22-56-13.781000,"type 7, info: ---a_new_sensor_enters---"""
22-56-32.706000,"type 8, info: ---a_new_sensor_enters---"""
22-56-32.725000,C 0 0 0 0 0 0 0 0
22-56-32.726000,0] 0 0 0 0 0 0 0 0
22-56-32.727000,1] 0 0 0 0 0 0 0 0
22-56-32.727000,2] 0 0 0 0 0 0 0 0
22-56-32.728000,3] 0 0 0 0 0 0 0 0
22-56-32.729000,4] 0 0 0 0 0 0 0 0
22-56-32.729000,5] 0 0 0 0 0 0 0 0
22-56-32.764000,"6]""C 0 0 0 0 0 0 0 0"
22-56-32.765000,0] 0 0 0 0 0 0 0 0
22-56-32.766000,1] 0 0 0 0 0 0 0 0
22-56-32.766000,2] 0 0 0 0 0 0 0 0
22-56-32.767000,3] 0 0 0 0 0 0 0 0
22-56-32.768000,4] 0 0 0 0 0 0 0 0
22-56-32.769000,5] 0 0 0 0 0 0 0 0
22-56-32.805000,"6]""C 0 0 0 0 0 0 0 0"
22-56-32.806000,0] 0 0 0 0 0 0 0 0
22-56-32.806000,1] 0 0 0 0 0 0 0 0
22-56-32.807000,2] 0 0 0 0 0 0 0 0
22-56-32.807000,3] 0 0 0 0 0 0 0 0
22-56-32.808000,4] 0 0 0 0 0 0 0 0
22-56-32.809000,5] 0 0 0 0 0 0 0 0
22-56-32.844000,"6]""C 0 0 0 0 0 0 0 0"
22-56-32.844000,0] 0 0 0 0 0 0 0 0
22-56-32.845000,1] 0 0 0 0 0 0 0 0
22-56-32.846000,2] 0 0 0 0 0 0 0 0
22-56-32.847000,3] 0 0 0 0 0 0 0 0
22-56-32.847000,4] 0 0 0 0 0 0 0 0
22-56-32.848000,5] 0 0 0 0 0 0 0 0
22-56-32.884000,"6]""C 0 0 0 0 0 0 0 0"
22-56-32.885000,0] 0 0 0 0 0 0 0 0
22-56-32.886000,1] 0 0 0 0 0 0 0 0
22-56-32.887000,2] 0 0 0 0 0 0 0 0
22-56-32.887000,3] 0 0 0 0 0 0 0 0
22-56-32.888000,4] 0 0 0 0 0 0 0 0
22-56-32.890000,5] 0 0 0 0 0 0 0 0
22-56-32.924000,"6]""C 0 0 0 0 0 0 0 0"
22-56-32.925000,0] 0 0 0 0 0 0 0 0
22-56-32.927000,1] 0 0 0 0 0 0 0 0
22-56-32.927000,2] 0 0 0 0 0 0 0 0
22-56-32.928000,3] 0 0 0 0 0 0 0 0
22-56-32.929000,4] 0 0 0 0 0 0 0 0
22-56-32.931000,5] 0 0 0 0 0 0 0 0
22-56-32.964000,"6]""C 0 0 0 0 0 0 0 0"
22-56-32.965000,0] 0 0 0 0 0 0 0 0
22-56-32.966000,1] 0 0 0 0 0 0 0 0
22-56-32.967000,2] 0 0 0 0 0 0 0 0
22-56-32.968000,3] 0 0 0 0 0 0 0 0
22-56-32.968000,4] 0 0 0 0 0 0 0 0
22-56-32.969000,5] 0 0 0 0 0 0 0 0
22-56-32.970000,"6]""S 1. R: 60"""
22-56-32.971000,"S 2. R: 47"""
22-56-33.004000,C 1 1 0 0 0 0 0 0
22-56-33.005000,0] 0 0 0 0 0 0 0 0
22-56-33.006000,1] 0 0 0 0 0 0 0 0
22-56-33.006000,2] 0 0 0 0 0 0 0 0
22-56-33.007000,3] 0 0 0 0 0 0 0 0
22-56-33.008000,4] 0 0 0 0 0 0 0 0
22-56-33.009000,5] 0 0 0 0 0 0 0 0
22-56-33.028000,"6]""S 2. R: 47"""
22-56-33.045000,C 0 1 0 0 0 0 0 0
22-56-33.046000,0] 0 0 0 0 0 0 0 0
22-56-33.047000,1] 0 0 0 0 0 0 0 0
22-56-33.048000,2] 0 0 0 0 0 0 0 0
22-56-33.049000,3] 0 0 0 0 0 0 0 0
22-56-33.050000,4] 0 0 0 0 0 0 0 0
22-56-33.051000,5] 0 0 0 0 0 0 0 0
22-56-33.062000,"6]""S 2. R: 47"""
22-56-33.085000,C 0 1 0 0 0 0 0 0
22-56-33.086000,0] 0 0 0 0 0 0 0 0
22-56-33.087000,1] 0 0 0 0 0 0 0 0
22-56-33.088000,2] 0 0 0 0 0 0 0 0
22-56-33.089000,3] 0 0 0 0 0 0 0 0
22-56-33.090000,4] 0 0 0 0 0 0 0 0
22-56-33.090000,5] 0 0 0 0 0 0 0 0
22-56-33.094000,"6]""S 2. R: 47"""
22-56-33.124000,C 0 1 0 0 0 0 0 0
22-56-33.125000,0] 0 0 0 0 0 0 0 0
22-56-33.127000,1] 0 0 0 0 0 0 0 0
22-56-33.127000,2] 0 0 0 0 0 0 0 0
22-56-33.128000,3] 0 0 0 0 0 0 0 0
22-56-33.128000,4] 0 0 0 0 0 0 0 0
22-56-33.129000,5] 0 0 0 0 0 0 0 0
22-56-33.130000,"6]""S 2. R: 47"""
22-56-33.131000,"S 1. R: 60"""
22-56-33.132000,"S 4. R: 49"""
22-56-33.143000,"S 7. R: 48"""
22-56-33.167000,C 1 1 0 1 0 0 1 0
22-56-33.168000,0] 0 0 0 0 0 0 0 0
22-56-33.169000,1] 0 0 0 0 0 0 0 0
22-56-33.170000,2] 0 0 0 0 0 0 0 0
22-56-33.171000,3] 50 44 0 0 0 0 0 0
22-56-33.173000,4] 0 0 0 0 0 0 0 0
22-56-33.174000,5] 0 0 0 0 0 0 0 0
22-56-33.175000,"""S 1. R: 60"""
22-56-33.175000,"S 4. R: 49"""
22-56-33.178000,"S 7. R: 47"""
22-56-33.181000,"S 8. R: 61"""
22-56-33.189000,"S 2. R: 47"""
22-56-33.208000,C 1 1 0 1 0 0 1 1
22-56-33.209000,0] 0 0 0 0 0 0 0 0
22-56-33.210000,1] 51 0 0 0 0 0 0 0
22-56-33.211000,2] 0 0 0 0 0 0 0 0
22-56-33.212000,3] 0 44 0 0 0 0 44 0
22-56-33.212000,4] 0 0 0 0 0 0 0 0
22-56-33.213000,5] 0 0 0 0 0 0 0 0
22-56-33.214000,"S 4. R: 49"""
22-56-33.215000,"S 7. R: 47"""
22-56-33.216000,"S 8. R: 62"""
22-56-33.219000,"S 6. R: 61"""
22-56-33.221000,"S 2. R: 47"""
22-56-33.230000,"S 4. R: 49"""
22-56-33.247000,C 0 1 0 2 0 1 1 1
22-56-33.248000,0] 0 0 0 0 0 0 0 0
22-56-33.249000,1] 0 0 0 0 0 0 0 0
22-56-33.250000,2] 0 0 0 0 0 0 0 0
22-56-33.250000,3] 0 44 0 0 0 0 44 0
22-56-33.251000,4] 0 0 0 0 0 0 0 0
22-56-33.252000,5] 0 0 0 0 0 0 0 0
22-56-33.252000,"""S 1. R: 60"""
22-56-33.253000,"S 7. R: 47"""
22-56-33.254000,"S 8. R: 64"""
22-56-33.255000,"S 3. R: 59"""
22-56-33.256000,"S 6. R: 60"""
22-56-33.256000,"S 2. R: 47"""
22-56-33.259000,"S 5. R: 44"""
22-56-33.262000,"S 4. R: 49"""
22-56-33.273000,"S 1. R: 60"""
22-56-33.274000,"S 7. R: 47"""
22-56-33.291000,C 2 1 1 1 1 1 2 1
22-56-33.292000,0] 0 0 0 0 0 54 0 0
22-56-33.293000,1] 0 0 44 0 0 0 0 0
22-56-33.293000,2] 55 0 0 0 44 51 0 0
22-56-33.295000,3] 0 44 44 0 0 0 44 58
22-56-33.296000,4] 64 0 0 0 0 44 0 0
22-56-33.297000,"5] 0 0 0 0 0""S 3. R: 58"""
22-56-33.297000,"S 2. R: 47"""
22-56-33.299000,"S 6. R: 60"""
22-56-33.302000,"S 5. R: 44"""
22-56-33.302000,"S 4. R: 49"""
22-56-33.303000,"S 7. R: 47"""
22-56-33.306000,"S 1. R: 60"""
22-56-33.307000,"S 8. R: 64"""
22-56-33.313000,"S 3. R: 58"""
22-56-33.331000,C 1 1 2 1 1 1 1 1
22-56-33.331000,0] 0 0 0 0 0 54 0 0
22-56-33.333000,1] 52 0 0 0 0 44 0 0
22-56-33.334000,2] 55 0 0 0 44 51 0 0
22-56-33.335000,3] 0 0 0 0 0 0 0 0
22-56-33.335000,4] 65 44 0 0 0 44 0 0
22-56-33.337000,"5] 0 0 0 0 0 0""S 2. R: 47"""
22-56-33.337000,"S 6. R: 60"""
22-56-33.338000,"S 5. R: 44"""
22-56-33.339000,"S 4. R: 49"""
22-56-33.340000,"S 1. R: 60"""
22-56-33.345000,"S 7. R: 47"""
22-56-33.346000,"S 3. R: 58"""
22-56-33.347000,"S 8. R: 63"""
22-56-33.350000,"S 2. R: 48"""
22-56-33.352000,"S 6. R: 60"""
22-56-33.354000,"S 5. R: 44"""
22-56-33.370000,C 1 2 1 1 2 2 1 1
22-56-33.371000,0] 0 0 0 0 0 54 0 0
22-56-33.372000,1] 52 0 0 0 0 44 0 0
22-56-33.373000,2] 55 44 0 0 44 51 0 0
22-56-33.373000,3] 0 0 0 0 0 0 0 0
22-56-33.374000,4] 65 44 0 0 0 44 0 0
22-56-33.375000,"5] 55 0 0 0 0""S 1. R: 60"""
22-56-33.376000,"S 4. R: 49"""
22-56-33.377000,"S 7. R: 47"""
22-56-33.378000,"S 3. R: 58"""
22-56-33.379000,"S 6. R: 60"""
22-56-33.380000,"S 8. R: 63"""
22-56-33.383000,"S 2. R: 48"""
22-56-33.387000,"S 5. R: 44"""
22-56-33.392000,"S 1. R: 60"""
22-56-33.411000,C 2 1 1 1 1 1 1 1
22-56-33.412000,0] 0 0 0 50 0 0 58 49
22-56-33.413000,1] 52 0 0 0 0 44 0 0
22-56-33.414000,2] 55 44 0 0 44 51 0 0
22-56-33.415000,3] 0 0 0 0 0 0 44 0
22-56-33.415000,4] 65 44 0 0 0 44 0 0
22-56-33.416000,"5] 55 0 0 ""S 4. R: 49"""
22-56-33.418000,"S 2. R: 48"""
22-56-33.418000,"S 3. R: 58"""
22-56-33.419000,"S 7. R: 47"""
22-56-33.420000,"S 8. R: 62"""
22-56-33.422000,"S 5. R: 44"""
22-56-33.424000,"S 6. R: 60"""
22-56-33.425000,"S 1. R: 62"""
22-56-33.431000,"S 4. R: 49"""
22-56-33.448000,C 1 1 1 2 1 1 1 1
22-56-33.450000,0] 0 0 0 50 0 0 58 50
22-56-33.451000,1] 0 0 0 0 0 0 0 0
22-56-33.452000,2] 0 0 0 0 0 51 0 0
22-56-33.452000,3] 0 0 0 0 0 0 44 0
22-56-33.453000,4] 0 44 44 0 0 0 0 0
22-56-33.454000,"5] 55 0 0 0 0 0 ""S 3. R: 58"""
22-56-33.455000,"S 7. R: 47"""
22-56-33.456000,"S 5. R: 44"""
22-56-33.458000,"S 1. R: 61"""
22-56-33.463000,"S 4. R: 49"""
22-56-33.468000,"S 2. R: 47"""
22-56-33.472000,"S 3. R: 58"""
22-56-33.488000,C 1 1 2 1 1 0 1 0
22-56-33.489000,0] 0 0 0 50 0 0 58 0
22-56-33.490000,1] 0 0 0 0 0 44 0 0
22-56-33.491000,2] 0 44 0 0 0 0 0 0
22-56-33.492000,3] 0 0 0 0 0 0 44 0
22-56-33.493000,4] 0 44 44 0 0 0 0 0
22-56-33.493000,"5] 0 0 0 0 0 0 0""S 1. R: 60"""
22-56-33.494000,"S 5. R: 44"""
22-56-33.495000,"S 6. R: 60"""
22-56-33.496000,"S 4. R: 49"""
22-56-33.502000,"S 2. R: 47"""
22-56-33.504000,"S 7. R: 47"""
22-56-33.505000,"S 3. R: 58"""
22-56-33.507000,"S 8. R: 63"""
22-56-33.514000,"S 1. R: 60"""
22-56-33.514000,"S 5. R: 44"""
22-56-33.531000,C 2 1 1 1 2 1 1 1
22-56-33.531000,0] 0 0 55 0 0 0 0 0
22-56-33.532000,1] 0 0 0 0 0 44 0 0
22-56-33.533000,2] 0 44 0 0 0 51 0 0
22-56-33.533000,3] 50 0 0 0 0 0 44 0
22-56-33.534000,4] 0 44 44 0 0 44 0 0
22-56-33.535000,"5] 0 0 0 0 0 0""S 6. R: 60"""
22-56-33.539000,"S 3. R: 58"""
22-56-33.545000,"S 7. R: 47"""
22-56-33.546000,"S 5. R: 44"""
22-56-33.548000,"S 8. R: 63"""
22-56-33.551000,"S 6. R: 60"""
22-56-33.568000,C 0 0 1 0 1 2 1 1
22-56-33.568000,0] 0 0 0 0 0 0 0 0
22-56-33.570000,1] 0 0 0 0 0 0 0 0
22-56-33.571000,2] 0 45 0 0 0 51 0 0
