22-54-04.044000,"""Scanner enabled\r\n"""
22-56-33.572000,3] 0 0 0 0 0 0 0 0
22-56-33.572000,4] 0 44 44 0 0 44 0 0
22-56-33.573000,"5] 0 0 0 0 0 0 0 0""S 1. R: 60"""
22-56-33.573000,"S 2. R: 47"""
22-56-33.574000,"S 4. R: 49"""
22-56-33.575000,"S 3. R: 58"""
22-56-33.576000,"S 7. R: 47"""
22-56-33.579000,"S 5. R: 44"""
22-56-33.580000,"S 6. R: 60"""
22-56-33.580000,"S 8. R: 63"""
22-56-33.591000,"S 1. R: 60"""
22-56-33.610000,C 2 1 1 1 1 1 1 1
22-56-33.612000,0] 0 0 0 0 0 0 0 50
22-56-33.613000,1] 0 0 0 0 0 0 0 0
22-56-33.614000,2] 55 0 0 0 0 51 0 0
22-56-33.615000,3] 0 0 0 0 0 0 44 0
22-56-33.616000,4] 64 44 44 0 0 44 0 0
22-56-33.617000,"5] 55 44 0 0 0 ""S 4. R: 49"""
22-56-33.618000,"S 3. R: 58"""
22-56-33.620000,"S 7. R: 47"""
22-56-33.621000,"S 5. R: 44"""
22-56-33.622000,"S 6. R: 60"""
22-56-33.622000,"S 8. R: 63"""
22-56-33.625000,"S 1. R: 60"""
22-56-33.629000,"S 2. R: 48"""
22-56-33.630000,"S 4. R: 49"""
22-56-33.632000,"S 3. R: 58"""
22-56-33.651000,C 1 1 2 2 1 1 1 1
22-56-33.652000,0] 0 0 0 50 0 0 58 50
22-56-33.652000,1] 52 0 0 44 0 0 44 48
22-56-33.653000,2] 0 45 0 0 0 51 0 0
22-56-33.654000,3] 0 0 0 0 0 0 44 0
22-56-33.655000,4] 0 0 44 0 0 44 0 0
22-56-33.656000,"5] 55 44 0 ""S 5. R: 44"""
22-56-33.656000,"S 6. R: 60"""
22-56-33.657000,"S 4. R: 49"""
22-56-33.658000,"S 1. R: 60"""
22-56-33.662000,"S 2. R: 47"""
22-56-33.663000,"S 7. R: 47"""
22-56-33.664000,"S 3. R: 58"""
22-56-33.666000,"S 8. R: 64"""
22-56-33.689000,C 1 1 1 1 1 1 1 1
22-56-33.690000,0] 0 0 0 50 0 0 0 0
22-56-33.691000,1] 52 0 0 44 0 0 0 0
22-56-33.692000,2] 0 44 0 0 0 51 0 0
22-56-33.692000,3] 0 0 0 0 0 0 0 0
22-56-33.693000,4] 0 0 44 0 0 44 0 0
22-56-33.694000,"5] 55 44 0 0 0 0""S 5. R: 44"""
22-56-33.696000,"S 6. R: 60"""
22-56-33.697000,"S 2. R: 47"""
22-56-33.698000,"S 4. R: 50"""
22-56-33.698000,"S 3. R: 59"""
22-56-33.704000,"S 7. R: 47"""
22-56-33.707000,"S 8. R: 64"""
22-56-33.711000,"S 6. R: 60"""
22-56-33.726000,C 0 1 1 1 1 2 1 1
22-56-33.727000,0] 0 0 0 0 0 0 0 0
22-56-33.729000,1] 0 0 0 0 0 0 0 0
22-56-33.730000,2] 0 0 0 0 0 51 0 0
22-56-33.731000,3] 0 0 0 0 0 0 0 0
22-56-33.731000,4] 0 0 0 0 0 0 0 0
22-56-33.732000,5] 0 44 0 0 0 0 0 0
22-56-33.733000,"""S 4. R: 49"""
22-56-33.734000,"S 3. R: 58"""
22-56-33.736000,"S 7. R: 47"""
22-56-33.742000,"S 5. R: 44"""
22-56-33.744000,"S 6. R: 60"""
22-56-33.749000,"S 2. R: 47"""
22-56-33.768000,C 0 1 1 1 1 1 1 0
22-56-33.769000,0] 0 0 0 0 0 0 0 0
22-56-33.770000,1] 0 0 0 44 0 0 44 0
22-56-33.771000,2] 0 0 0 0 0 51 0 0
22-56-33.772000,3] 0 0 0 0 0 0 44 0
22-56-33.773000,4] 0 0 44 0 0 44 0 0
22-56-33.774000,"5] 0 44 0 0 0 0 0""S 4. R: 49"""
22-56-33.775000,"S 1. R: 60"""
22-56-33.775000,"S 3. R: 58"""
22-56-33.776000,"S 7. R: 47"""
22-56-33.777000,"S 8. R: 64"""
22-56-33.779000,"S 5. R: 44"""
22-56-33.780000,"S 6. R: 60"""
22-56-33.783000,"S 2. R: 47"""
22-56-33.790000,"S 4. R: 49"""
22-56-33.792000,"S 1. R: 61"""
22-56-33.811000,C 2 1 1 2 1 1 1 1
22-56-33.812000,0] 0 52 55 0 64 54 0 0
22-56-33.813000,1] 53 0 0 44 44 44 0 0
22-56-33.813000,2] 0 0 0 0 0 0 0 0
22-56-33.815000,3] 50 0 0 0 0 0 44 0
22-56-33.816000,4] 0 0 44 0 0 44 0 0
22-56-33.816000,"5] 0 44 0 0""S 7. R: 47"""
22-56-33.817000,"S 2. R: 48"""
22-56-33.817000,"S 8. R: 65"""
22-56-33.818000,"S 6. R: 60"""
22-56-33.819000,"S 5. R: 44"""
22-56-33.822000,"S 4. R: 49"""
22-56-33.836000,"S 7. R: 48"""
22-56-33.847000,C 0 1 0 1 1 1 2 1
22-56-33.848000,0] 0 0 0 0 0 0 0 0
22-56-33.848000,1] 0 0 0 0 0 44 0 0
22-56-33.850000,2] 0 0 0 0 0 0 0 0
22-56-33.850000,3] 0 0 0 0 0 0 44 0
22-56-33.851000,4] 0 44 0 0 0 44 0 0
22-56-33.852000,"5] 0 0 0 0 0 0 0 0""S 2. R: 48"""
22-56-33.854000,"S 6. R: 60"""
22-56-33.855000,"S 5. R: 44"""
22-56-33.855000,"S 4. R: 49"""
22-56-33.869000,"S 2. R: 48"""
22-56-33.886000,C 0 2 0 1 1 1 0 0
22-56-33.886000,0] 0 0 0 0 0 0 0 0
22-56-33.887000,1] 0 0 0 0 0 44 0 0
22-56-33.888000,2] 0 0 0 0 0 0 0 0
22-56-33.889000,3] 0 0 0 0 0 0 44 0
22-56-33.889000,4] 0 0 0 0 0 44 0 0
22-56-33.890000,5] 0 0 0 0 0 0 0 0
22-56-33.890000,"S 6. R: 60"""
22-56-33.891000,"S 5. R: 44"""
22-56-33.892000,"S 4. R: 49"""
22-56-33.902000,"S 2. R: 48"""
22-56-33.904000,"S 7. R: 48"""
22-56-33.908000,"S 8. R: 65"""
22-56-33.911000,"S 6. R: 60"""
22-56-33.914000,"S 5. R: 44"""
22-56-33.928000,C 0 1 0 1 2 2 1 1
22-56-33.929000,0] 0 0 0 0 0 0 0 0
22-56-33.930000,1] 0 0 45 0 0 44 0 0
22-56-33.931000,2] 0 0 0 0 0 0 0 0
22-56-33.932000,3] 0 0 0 0 0 0 44 0
22-56-33.932000,4] 0 44 44 0 0 44 0 0
22-56-33.933000,"5] 0 0 0 0 0 0 0 ""S 1. R: 60"""
22-56-33.933000,"S 4. R: 49"""
22-56-33.934000,"S 3. R: 58"""
22-56-33.935000,"S 2. R: 47"""
22-56-33.938000,"S 7. R: 47"""
22-56-33.939000,"S 6. R: 60"""
22-56-33.941000,"S 8. R: 65"""
22-56-33.947000,"S 5. R: 44"""
22-56-33.952000,"S 1. R: 60"""
22-56-33.970000,C 2 1 1 1 1 1 1 1
22-56-33.970000,0] 0 0 0 50 0 0 0 50
22-56-33.971000,1] 52 0 44 0 0 44 0 0
22-56-33.972000,2] 0 0 0 0 0 0 0 0
22-56-33.973000,3] 0 0 0 0 0 0 44 0
22-56-33.973000,4] 64 44 44 0 0 44 0 0
22-56-33.976000,"5] 55 0 0 0 0""S 4. R: 49"""
22-56-33.976000,"S 2. R: 47"""
22-56-33.977000,"S 3. R: 58"""
22-56-33.977000,"S 7. R: 47"""
22-56-33.978000,"S 8. R: 65"""
22-56-33.978000,"S 5. R: 44"""
22-56-33.981000,"S 6. R: 60"""
22-56-33.985000,"S 1. R: 60"""
22-56-33.989000,"S 4. R: 49"""
22-56-34.008000,C 1 1 1 2 1 1 1 1
22-56-34.009000,0] 0 0 0 50 0 0 58 50
22-56-34.010000,1] 0 0 0 0 0 0 0 0
22-56-34.011000,2] 0 0 0 0 0 0 0 0
22-56-34.012000,3] 0 0 0 0 0 0 44 0
22-56-34.013000,4] 0 44 44 0 0 0 0 0
22-56-34.014000,"5] 55 0 51 0 0 0 ""S 3. R: 58"""
22-56-34.015000,"S 4. R: 49"""
22-56-34.016000,"S 6. R: 60"""
22-56-34.018000,"S 5. R: 44"""
22-56-34.022000,"S 7. R: 47"""
22-56-34.029000,"S 2. R: 47"""
22-56-34.033000,"S 3. R: 58"""
22-56-34.047000,C 0 1 2 1 1 1 1 0
22-56-34.048000,0] 0 0 0 0 0 0 0 0
22-56-34.051000,1] 0 0 44 0 0 44 0 0
22-56-34.051000,2] 0 0 0 0 0 0 0 0
22-56-34.052000,3] 0 0 0 0 0 0 0 0
22-56-34.052000,4] 0 0 44 0 0 44 0 0
22-56-34.053000,"5] 55 0 51 0 0 0 0 ""S 1. R: 60"""
22-56-34.053000,"S 6. R: 60"""
22-56-34.054000,"S 5. R: 44"""
22-56-34.055000,"S 4. R: 49"""
22-56-34.061000,"S 2. R: 47"""
22-56-34.063000,"S 7. R: 47"""
22-56-34.065000,"S 3. R: 58"""
22-56-34.067000,"S 8. R: 65"""
22-56-34.073000,"S 1. R: 60"""
22-56-34.090000,C 2 1 1 1 1 1 1 1
22-56-34.091000,0] 0 52 55 0 63 0 0 0
22-56-34.092000,1] 0 0 44 0 0 44 0 0
22-56-34.093000,2] 0 0 0 0 0 0 0 0
22-56-34.093000,3] 50 0 0 0 0 0 44 0
22-56-34.094000,4] 64 44 44 0 0 0 0 0
22-56-34.095000,"5] 0 0 0 0 0 ""S 5. R: 44"""
22-56-34.096000,"S 4. R: 49"""
22-56-34.096000,"S 3. R: 58"""
22-56-34.097000,"S 2. R: 47"""
22-56-34.098000,"S 7. R: 47"""
22-56-34.101000,"S 6. R: 60"""
22-56-34.102000,"S 8. R: 65"""
22-56-34.107000,"S 1. R: 60"""
22-56-34.116000,"S 5. R: 44"""
22-56-34.130000,C 1 1 1 1 2 1 1 1
22-56-34.131000,0] 0 0 55 0 0 54 0 0
22-56-34.133000,1] 0 0 44 0 0 0 0 0
22-56-34.133000,2] 0 0 0 0 0 0 0 0
22-56-34.134000,3] 0 0 0 0 0 0 44 0
22-56-34.135000,4] 64 44 44 0 0 44 0 0
22-56-34.136000,"5] 0 0 51 0 0 0""S 4. R: 48"""
22-56-34.136000,"S 1. R: 60"""
22-56-34.137000,"S 2. R: 47"""
22-56-34.138000,"S 3. R: 59"""
22-56-34.140000,"S 7. R: 47"""
22-56-34.143000,"S 8. R: 64"""
22-56-34.143000,"S 5. R: 44"""
22-56-34.149000,"S 4. R: 49"""
22-56-34.151000,"S 1. R: 60"""
22-56-34.167000,C 2 1 1 2 1 0 1 1
22-56-34.168000,0] 0 0 0 0 0 0 0 0
22-56-34.168000,1] 0 0 0 0 0 0 0 0
22-56-34.169000,2] 0 0 0 0 0 0 0 0
22-56-34.170000,3] 0 0 0 0 0 0 44 0
22-56-34.171000,4] 63 44 44 0 0 0 0 0
22-56-34.172000,"5] 0 0 0 0 0 0 0 0""S 3. R: 59"""
22-56-34.174000,"S 7. R: 47"""
22-56-34.174000,"S 8. R: 64"""
22-56-34.175000,"S 5. R: 44"""
22-56-34.175000,"S 6. R: 61"""
22-56-34.183000,"S 4. R: 48"""
22-56-34.185000,"S 1. R: 60"""
22-56-34.188000,"S 2. R: 47"""
22-56-34.194000,"S 3. R: 59"""
22-56-34.195000,"S 7. R: 47"""
22-56-34.212000,C 1 1 2 1 1 1 2 1
22-56-34.214000,0] 0 0 55 0 0 0 0 0
22-56-34.215000,1] 51 0 44 0 0 44 0 0
22-56-34.216000,2] 0 0 0 44 0 0 54 65
22-56-34.217000,3] 0 0 0 0 0 0 44 0
22-56-34.218000,4] 63 44 44 0 0 44 0 0
22-56-34.219000,"5] 55 0 52 ""S 5. R: 44"""
22-56-34.220000,"S 6. R: 62"""
22-56-34.221000,"S 4. R: 48"""
22-56-34.223000,"S 1. R: 59"""
22-56-34.224000,"S 2. R: 47"""
22-56-34.225000,"S 7. R: 48"""
22-56-34.227000,"S 3. R: 59"""
22-56-34.227000,"S 8. R: 62"""
22-56-34.234000,"S 5. R: 44"""
22-56-34.252000,C 1 1 1 1 2 1 1 1
22-56-34.254000,0] 0 0 55 50 0 0 57 49
22-56-34.255000,1] 51 0 44 0 0 44 0 0
22-56-34.255000,2] 55 0 0 44 0 0 54 0
22-56-34.256000,3] 0 0 0 0 0 0 0 0
22-56-34.257000,4] 0 44 44 0 0 44 0 0
22-56-34.258000,"5] 55 44 5""S 6. R: 62"""
22-56-34.259000,"S 1. R: 59"""
22-56-34.259000,"S 2. R: 47"""
22-56-34.260000,"S 3. R: 60"""
22-56-34.261000,"S 4. R: 48"""
22-56-34.264000,"S 7. R: 48"""
22-56-34.266000,"S 5. R: 44"""
22-56-34.269000,"S 8. R: 58"""
22-56-34.271000,"S 6. R: 63"""
22-56-34.273000,"S 1. R: 59"""
22-56-34.291000,C 2 1 1 1 1 2 1 1
22-56-34.292000,0] 0 0 0 50 0 0 56 50
22-56-34.293000,1] 0 0 0 0 0 0 0 0
22-56-34.294000,2] 55 44 0 44 0 0 54 65
22-56-34.294000,3] 0 0 0 0 0 0 0 0
22-56-34.295000,4] 0 0 44 0 0 44 0 0
22-56-34.296000,"5] 55 44 52 0""S 3. R: 60"""
22-56-34.296000,"S 4. R: 48"""
22-56-34.298000,"S 7. R: 48"""
22-56-34.298000,"S 5. R: 44"""
22-56-34.300000,"S 8. R: 54"""
22-56-34.304000,"S 6. R: 63"""
22-56-34.305000,"S 1. R: 58"""
22-56-34.308000,"S 2. R: 47"""
22-56-34.312000,"S 3. R: 60"""
22-56-34.333000,C 1 1 2 1 1 1 1 1
22-56-34.334000,0] 0 0 0 50 0 0 55 0
22-56-34.335000,1] 50 0 0 44 0 0 44 58
22-56-34.336000,2] 55 44 0 44 0 0 53 65
22-56-34.337000,3] 50 0 0 0 0 0 44 0
22-56-34.338000,4] 0 0 44 0 0 44 0 0
22-56-34.339000,"5] 55 44""S 4. R: 48"""
22-56-34.340000,"S 7. R: 48"""
22-56-34.341000,"S 8. R: 52"""
22-56-34.341000,"S 5. R: 44"""
22-56-34.342000,"S 1. R: 60"""
22-56-34.345000,"S 6. R: 63"""
22-56-34.346000,"S 2. R: 47"""
22-56-34.350000,"S 4. R: 48"""
22-56-34.369000,C 1 1 0 2 1 1 1 1
22-56-34.370000,0] 0 0 0 0 62 0 0 0
22-56-34.370000,1] 0 0 0 44 0 0 44 63
22-56-34.371000,2] 0 0 0 0 0 0 0 0
22-56-34.373000,3] 51 0 0 0 0 0 44 0
22-56-34.373000,4] 0 0 0 0 0 0 0 0
22-56-34.374000,"5] 0 44 52 0 0 0 ""S 1. R: 60"""
22-56-34.375000,"S 7. R: 48"""
22-56-34.377000,"S 8. R: 51"""
22-56-34.379000,"S 6. R: 62"""
22-56-34.380000,"S 2. R: 47"""
22-56-34.380000,"S 5. R: 44"""
22-56-34.382000,"S 4. R: 51"""
22-56-34.392000,"S 1. R: 62"""
22-56-34.409000,C 2 1 0 1 1 1 1 1
22-56-34.410000,0] 0 0 0 0 0 53 0 0
22-56-34.412000,1] 0 0 0 44 0 0 44 60
22-56-34.412000,2] 0 0 0 0 0 0 0 0
22-56-34.414000,3] 51 0 0 0 0 0 44 0
22-56-34.415000,4] 0 0 44 0 0 44 0 0
