09-19-40.762000,S 3 	RSSI: 51
09-19-40.763000,S 7 	RSSI: 44
09-19-40.764000,[R]: 20 
09-19-40.771000,[R]: 1 
09-19-40.774000,[R]: 50 
09-19-40.774000,[R]: 2 
09-19-40.776000,S 2 	RSSI: 44
09-19-40.776000,S 5 	RSSI: 54
09-19-40.779000,[R]: 3 
09-19-40.786000,[R]: 4 
09-19-40.793000,[R]: 5 
09-19-40.794000,S 3 	RSSI: 51
09-19-40.799000,[R]: 6 
09-19-40.803000,[R]: 20 
09-19-40.807000,[R]: 1 
09-19-40.809000,[R]: 50 
09-19-40.810000,S 5 	RSSI: 54
09-19-40.813000,[R]: 2 
09-19-40.814000,S 2 	RSSI: 44
09-19-40.819000,[R]: 3 
09-19-40.826000,[R]: 4 
09-19-40.827000,S 6 	RSSI: 48
09-19-40.833000,[R]: 5 
09-19-40.835000,S 8 	RSSI: 49
09-19-40.838000,[R]: 6 
09-19-40.842000,S 5 	RSSI: 55
09-19-40.843000,[R]: 20 
09-19-40.847000,[R]: 1 
09-19-40.848000,[R]: 50 
09-19-40.853000,[R]: 2 
09-19-40.855000,S 2 	RSSI: 44
09-19-40.857000,S 3 	RSSI: 51
09-19-40.857000,S 7 	RSSI: 44
09-19-40.859000,[R]: 3 
09-19-40.866000,[R]: 4 
09-19-40.869000,S 6 	RSSI: 48
09-19-40.873000,[R]: 5 
09-19-40.876000,S 5 	RSSI: 54
09-19-40.876000,S 8 	RSSI: 49
09-19-40.880000,[R]: 6 
09-19-40.883000,[R]: 20 
09-19-40.887000,[R]: 1 
09-19-40.888000,[R]: 50 
09-19-40.889000,S 7 	RSSI: 44
09-19-40.894000,[R]: 2 
09-19-40.894000,S 2 	RSSI: 44
09-19-40.895000,S 3 	RSSI: 51
09-19-40.901000,[R]: 3 
09-19-40.901000,S 6 	RSSI: 48
09-19-40.903000,S 5 	RSSI: 54
09-19-40.910000,[R]: 4 
09-19-40.910000,S 8 	RSSI: 49
09-19-40.911000,[R]: 5 
09-19-40.918000,[R]: 6 
09-19-40.924000,S 7 	RSSI: 44
09-19-40.926000,[R]: 20 
09-19-40.929000,[R]: 1 
09-19-40.930000,[R]: 50 
09-19-40.931000,S 3 	RSSI: 51
09-19-40.933000,[R]: 2 
09-19-40.942000,S 2 	RSSI: 44
09-19-40.942000,S 5 	RSSI: 54
09-19-40.943000,[R]: 3 
09-19-40.943000,S 8 	RSSI: 49
09-19-40.944000,[R]: 4 
09-19-40.951000,[R]: 5 
09-19-40.958000,[R]: 6 
09-19-40.961000,S 3 	RSSI: 51
09-19-40.965000,[R]: 20 
09-19-40.966000,[R]: 1 
09-19-40.966000,[R]: 50 
09-19-40.968000,S 5 	RSSI: 54
09-19-40.976000,[R]: 2 
09-19-40.982000,S 2 	RSSI: 44
09-19-40.982000,S 8 	RSSI: 49
09-19-40.983000,[R]: 3 
09-19-40.984000,[R]: 4 
09-19-40.995000,[R]: 5 
09-19-40.998000,S 3 	RSSI: 51
