09-46-23.294000,------------------------------------
09-46-24.508000,[R]: 10 
09-46-24.515000,[R]: 10 
09-46-24.522000,[R]: 10 
09-46-24.529000,[R]: 10 
09-46-24.536000,[R]: 10 
09-46-24.544000,[R]: 10 
09-46-24.551000,[R]: 10 
09-46-24.558000,[R]: 10 
09-46-24.565000,[R]: 10 
09-46-24.573000,[R]: 10 
09-46-24.581000,[R]: 10 
09-46-24.587000,[R]: 10 
09-46-24.594000,[R]: 10 
09-46-24.603000,[R]: 10 
09-46-24.609000,[R]: 10 
09-46-24.616000,[R]: 10 
09-46-24.623000,[R]: 10 
09-46-24.631000,[R]: 10 
09-46-24.638000,[R]: 10 
09-46-24.645000,[R]: 10 
09-46-24.652000,[R]: 10 
09-46-24.660000,[R]: 10 
09-46-24.667000,[R]: 10 
09-46-24.674000,[R]: 10 
09-46-24.682000,[R]: 10 
09-46-24.689000,[R]: 10 
09-46-24.697000,[R]: 10 
09-46-24.703000,[R]: 10 
09-46-24.711000,[R]: 10 
09-46-24.718000,[R]: 10 
09-46-24.727000,[R]: 10 
09-46-24.733000,[R]: 10 
09-46-24.740000,[R]: 10 
09-46-24.747000,[R]: 10 
09-46-24.754000,[R]: 10 
09-46-24.761000,[R]: 10 
09-46-24.769000,[R]: 10 
09-46-24.776000,[R]: 10 
09-46-24.784000,[R]: 10 
09-46-24.791000,[R]: 10 
09-46-24.798000,[R]: 10 
09-46-24.804000,[R]: 10 
09-46-24.811000,[R]: 10 
09-46-24.820000,[R]: 10 
09-46-24.854000,[R]: 10 
09-46-24.855000,[R]: 10 
09-46-24.856000,[R]: 10 
09-46-24.856000,[R]: 10 
09-46-24.857000,[R]: 10 
09-46-24.862000,[R]: 10 
09-46-24.869000,[R]: 10 
09-46-24.876000,[R]: 10 
09-46-24.884000,[R]: 10 
09-46-24.891000,[R]: 10 
09-46-24.899000,[R]: 10 
09-46-24.905000,[R]: 10 
09-46-24.913000,[R]: 10 
09-46-24.920000,[R]: 10 
09-46-24.927000,[R]: 10 
09-46-24.934000,[R]: 10 
09-46-24.942000,[R]: 10 
09-46-24.949000,[R]: 10 
09-46-24.957000,[R]: 10 
09-46-24.968000,[R]: 10 
09-46-24.970000,[R]: 10 
09-46-24.978000,[R]: 10 
09-46-24.985000,[R]: 10 
09-46-24.992000,[R]: 10 
09-46-24.999000,[R]: 10 
09-46-25.007000,[R]: 10 
09-46-25.014000,[R]: 10 
09-46-25.021000,[R]: 10 
09-46-25.028000,[R]: 10 
09-46-25.036000,[R]: 10 
09-46-25.044000,[R]: 10 
09-46-25.050000,[R]: 10 
09-46-25.058000,[R]: 10 
09-46-25.065000,[R]: 10 
09-46-25.072000,[R]: 10 
09-46-25.080000,[R]: 10 
09-46-25.087000,[R]: 10 
09-46-25.094000,[R]: 10 
09-46-25.102000,[R]: 10 
09-46-25.109000,[R]: 10 
09-46-25.116000,[R]: 10 
09-46-25.123000,[R]: 10 
09-46-25.131000,[R]: 10 
09-46-25.138000,[R]: 10 
09-46-25.145000,[R]: 10 
09-46-25.152000,[R]: 10 
09-46-25.159000,[R]: 10 
09-46-25.166000,[R]: 10 
09-46-25.173000,[R]: 10 
09-46-25.180000,[R]: 10 
09-46-25.187000,[R]: 10 
09-46-25.195000,[R]: 10 
09-46-25.202000,[R]: 10 
09-46-25.209000,[R]: 10 
09-46-25.216000,[R]: 10 
09-46-25.223000,[R]: 10 
09-46-25.231000,[R]: 10 
09-46-25.238000,[R]: 10 
09-46-25.245000,[R]: 10 
09-46-25.253000,[R]: 10 
09-46-25.260000,[R]: 10 
09-46-25.267000,[R]: 10 
09-46-25.274000,[R]: 10 
09-46-25.281000,[R]: 10 
09-46-25.289000,[R]: 10 
09-46-25.296000,[R]: 10 
09-46-25.303000,[R]: 10 
09-46-25.310000,[R]: 10 
09-46-25.318000,[R]: 10 
09-46-25.325000,[R]: 10 
09-46-25.332000,[R]: 10 
09-46-25.339000,[R]: 10 
09-46-25.347000,[R]: 10 
09-46-25.354000,[R]: 10 
09-46-25.361000,[R]: 10 
09-46-25.368000,[R]: 10 
09-46-25.376000,[R]: 10 
09-46-25.383000,[R]: 10 
09-46-25.390000,[R]: 10 
09-46-25.397000,[R]: 10 
09-46-25.405000,[R]: 10 
09-46-25.412000,[R]: 10 
09-46-25.419000,[R]: 10 
09-46-25.426000,[R]: 10 
09-46-25.434000,[R]: 10 
09-46-25.441000,[R]: 10 
09-46-25.448000,[R]: 10 
09-46-25.456000,[R]: 10 
09-46-25.463000,[R]: 10 
09-46-25.470000,[R]: 10 
09-46-25.478000,[R]: 10 
09-46-25.485000,[R]: 10 
09-46-25.492000,[R]: 10 
09-46-25.499000,[R]: 10 
09-46-25.507000,[R]: 10 
09-46-25.514000,[R]: 10 
09-46-25.521000,[R]: 10 
09-46-25.528000,[R]: 10 
09-46-25.535000,[R]: 10 
