14-30-08.758000,"ÿ""Scanner enabled\r\n"""
14-30-20.892000,"""Sensor: 1. RSSI: 60"""
14-30-20.893000,"""Sensor: 2. RSSI: 68"""
14-30-20.893000,"""COUNT 1 1"
14-30-20.894000,[0] 0 0
14-30-20.915000,[1] 0 0
14-30-20.915000,""""
14-30-20.916000,"""type 4, info: sync"""
14-30-20.916000,"""Sensor: 1. RSSI: 61"""
14-30-20.917000,"""COUNT 1 0"
14-30-20.918000,[0] 0 0
14-30-20.918000,[1] 0 0
14-30-20.920000,""""
14-30-20.921000,"""type 4, info: sync"""
14-30-20.921000,"""Sensor: 2. RSSI: 68"""
14-30-20.922000,"""COUNT 0 1"
14-30-20.922000,[0] 0 0
14-30-20.925000,[1] 0 0
14-30-20.931000,""""
14-30-20.931000,"""type 4, info: sync"""
14-30-20.932000,"""Sensor: 1. RSSI: 60"""
14-30-20.932000,"""COUNT 1 0"
14-30-20.933000,[0] 0 0
14-30-20.933000,[1] 0 0
14-30-20.934000,""""
14-30-20.934000,"""type 4, info: sync"""
14-30-20.935000,"""Sensor: 2. RSSI: 68"""
14-30-20.935000,"""Sensor: 1. RSSI: 61"""
14-30-20.935000,"""COUNT 1 1"
14-30-20.936000,[0] 0 0
14-30-20.936000,[1] 0 0
14-30-20.937000,""""
14-30-20.938000,"""type 4, info: sync"""
14-30-20.938000,"""Sensor: 1. RSSI: 61"""
14-30-20.941000,"""Sensor: 2. RSSI: 68"""
14-30-20.942000,"""COUNT 1 1"
14-30-20.943000,[0] 0 0
14-30-20.943000,[1] 0 0
14-30-20.946000,""""
14-30-20.946000,"""type 4, info: sync"""
14-30-20.947000,"""Sensor: 1. RSSI: 61"""
14-30-20.947000,"""COUNT 1 0"
14-30-20.947000,[0] 0 0
14-30-20.948000,[1] 0 0
14-30-20.948000,""""
14-30-20.949000,"""type 4, info: sync"""
14-30-20.949000,"""Sensor: 2. RSSI: 68"""
14-30-20.950000,"""COUNT 0 1"
14-30-20.950000,[0] 0 0
14-30-20.951000,[1] 0 0
14-30-20.951000,""""
14-30-20.952000,"""type 4, info: sync"""
14-30-20.952000,"""Sensor: 1. RSSI: 61"""
14-30-20.953000,"""COUNT 1 0"
14-30-20.953000,[0] 0 0
14-30-20.954000,[1] 0 0
14-30-20.954000,""""
14-30-20.955000,"""type 4, info: sync"""
14-30-20.956000,"""Sensor: 2. RSSI: 68"""
14-30-20.956000,"""Sensor: 1. RSSI: 61"""
14-30-20.956000,"""COUNT 1 1"
14-30-20.957000,[0] 0 0
14-30-20.957000,[1] 0 0
14-30-20.958000,""""
14-30-20.958000,"""type 4, info: sync"""
14-30-20.958000,"""Sensor: 1. RSSI: 61"""
14-30-20.959000,"""Sensor: 2. RSSI: 68"""
14-30-20.971000,"""COUNT 1 1"
14-30-20.971000,[0] 0 0
14-30-20.974000,[1] 0 0
14-30-20.975000,""""
14-30-20.975000,"""type 4, info: sync"""
14-30-20.976000,"""Sensor: 1. RSSI: 60"""
14-30-20.976000,"""COUNT 1 0"
14-30-20.977000,[0] 0 0
14-30-20.977000,[1] 0 0
14-30-20.978000,""""
14-30-20.978000,"""type 4, info: sync"""
14-30-20.979000,"""Sensor: 2. RSSI: 67"""
14-30-20.979000,"""COUNT 0 1"
14-30-20.980000,[0] 0 0
14-30-20.980000,[1] 0 0
14-30-20.985000,""""
14-30-20.986000,"""type 4, info: sync"""
14-30-20.988000,"""Sensor: 1. RSSI: 61"""
14-30-20.989000,"""COUNT 1 0"
14-30-20.990000,[0] 0 0
14-30-20.990000,[1] 0 0
14-30-20.991000,""""
14-30-20.992000,"""type 4, info: sync"""
14-30-20.992000,"""Sensor: 2. RSSI: 68"""
14-30-20.996000,"""Sensor: 1. RSSI: 61"""
14-30-20.997000,"""COUNT 1 1"
14-30-20.998000,[0] 0 0
14-30-20.998000,[1] 0 0
14-30-20.999000,""""
14-30-21.000000,"""type 4, info: sync"""
14-30-21.000000,"""Sensor: 1. RSSI: 61"""
14-30-21.001000,"""Sensor: 2. RSSI: 68"""
14-30-21.002000,"""COUNT 1 1"
14-30-21.002000,[0] 0 0
14-30-21.009000,[1] 0 0
14-30-21.010000,""""
14-30-21.010000,"""type 4, info: sync"""
14-30-21.011000,"""Sensor: 1. RSSI: 61"""
14-30-21.011000,"""COUNT 1 0"
14-30-21.011000,[0] 0 0
14-30-21.012000,[1] 0 0
14-30-21.012000,""""
14-30-21.013000,"""type 4, info: sync"""
14-30-21.013000,"""Sensor: 2. RSSI: 68"""
14-30-21.025000,"""COUNT 0 1"
14-30-21.025000,[0] 0 0
14-30-21.026000,[1] 0 0
14-30-21.026000,""""
14-30-21.027000,"""type 4, info: sync"""
14-30-21.027000,"""Sensor: 1. RSSI: 61"""
14-30-21.027000,"""COUNT 1 0"
14-30-21.028000,[0] 0 0
14-30-21.028000,[1] 0 0
14-30-21.028000,""""
