23-18-35.331000,S 3 	RSSI: 44
23-18-35.364000,S 3 	RSSI: 44
23-18-35.396000,S 3 	RSSI: 44
23-18-35.429000,S 3 	RSSI: 44
23-18-35.462000,S 3 	RSSI: 44
23-18-35.494000,S 3 	RSSI: 44
23-18-35.527000,S 3 	RSSI: 44
23-18-35.560000,S 3 	RSSI: 44
23-18-35.593000,S 3 	RSSI: 44
23-18-35.626000,S 3 	RSSI: 44
23-18-35.659000,S 3 	RSSI: 44
23-18-35.692000,S 3 	RSSI: 44
23-18-35.725000,S 3 	RSSI: 44
23-18-35.758000,S 3 	RSSI: 44
23-18-35.793000,S 3 	RSSI: 44
23-18-35.822000,S 3 	RSSI: 44
23-18-35.855000,S 3 	RSSI: 44
23-18-35.888000,S 3 	RSSI: 44
23-18-35.921000,S 3 	RSSI: 44
23-18-35.986000,S 3 	RSSI: 44
23-18-36.020000,S 3 	RSSI: 44
23-18-36.053000,S 3 	RSSI: 44
23-18-36.085000,S 3 	RSSI: 44
23-18-36.118000,S 3 	RSSI: 44
23-18-36.150000,S 3 	RSSI: 44
23-18-36.183000,S 3 	RSSI: 44
23-18-36.215000,S 3 	RSSI: 44
23-18-36.248000,S 3 	RSSI: 44
23-18-36.281000,S 3 	RSSI: 44
23-18-36.314000,S 3 	RSSI: 44
23-18-36.347000,S 3 	RSSI: 44
23-18-36.364000,S 7 	RSSI: 44
23-18-36.405000,S 7 	RSSI: 44
23-18-36.430000,S 7 	RSSI: 44
23-18-36.463000,S 7 	RSSI: 44
23-18-36.495000,S 7 	RSSI: 44
23-18-36.527000,S 7 	RSSI: 44
23-18-36.560000,S 7 	RSSI: 44
23-18-36.593000,S 7 	RSSI: 44
23-18-36.944000,S 3 	RSSI: 44
23-18-36.969000,S 3 	RSSI: 44
23-18-37.025000,S 4 	RSSI: 44
23-18-37.039000,S 6 	RSSI: 44
23-18-37.039000,S 8 	RSSI: 44
23-18-37.040000,S 5 	RSSI: 44
23-18-37.041000,S 6 	RSSI: 44
23-18-37.052000,S 8 	RSSI: 44
23-18-37.057000,S 5 	RSSI: 44
23-18-37.061000,S 6 	RSSI: 44
23-18-37.085000,S 8 	RSSI: 44
23-18-37.099000,S 5 	RSSI: 44
23-18-38.314000,S 3 	RSSI: 44
23-18-38.346000,S 3 	RSSI: 44
23-18-38.379000,S 3 	RSSI: 44
23-18-38.411000,S 3 	RSSI: 44
23-18-38.444000,S 3 	RSSI: 44
23-18-38.476000,S 3 	RSSI: 44
23-18-38.509000,S 3 	RSSI: 44
23-18-38.542000,S 3 	RSSI: 44
23-18-38.575000,S 3 	RSSI: 44
23-18-38.608000,S 3 	RSSI: 44
23-18-38.674000,S 3 	RSSI: 44
23-18-38.707000,S 3 	RSSI: 44
23-18-38.739000,S 3 	RSSI: 44
23-18-38.771000,S 3 	RSSI: 44
23-18-38.804000,S 3 	RSSI: 44
23-18-38.837000,S 3 	RSSI: 44
23-18-38.869000,S 3 	RSSI: 44
23-18-38.902000,S 3 	RSSI: 44
23-18-38.968000,S 3 	RSSI: 44
23-18-39.001000,S 3 	RSSI: 44
23-18-39.034000,S 3 	RSSI: 44
23-18-39.067000,S 3 	RSSI: 44
23-18-39.100000,S 3 	RSSI: 44
23-18-39.132000,S 3 	RSSI: 44
23-18-39.164000,S 3 	RSSI: 44
23-18-39.197000,S 3 	RSSI: 44
23-18-39.230000,S 3 	RSSI: 44
23-18-39.263000,S 3 	RSSI: 44
23-18-39.295000,S 3 	RSSI: 44
23-18-39.328000,S 3 	RSSI: 44
23-18-39.361000,S 3 	RSSI: 44
23-18-39.395000,S 3 	RSSI: 44
23-18-39.427000,S 3 	RSSI: 44
23-18-39.460000,S 3 	RSSI: 44
23-18-39.493000,S 3 	RSSI: 44
23-18-39.524000,S 3 	RSSI: 44
23-18-39.557000,S 3 	RSSI: 44
23-18-39.590000,S 3 	RSSI: 44
23-18-39.623000,S 3 	RSSI: 44
23-18-39.656000,S 3 	RSSI: 44
23-18-39.689000,S 3 	RSSI: 44
23-18-39.702000,S 7 	RSSI: 44
23-18-39.735000,S 7 	RSSI: 44
23-18-39.768000,S 7 	RSSI: 44
23-18-39.801000,S 7 	RSSI: 44
23-18-39.833000,S 7 	RSSI: 44
23-18-39.866000,S 7 	RSSI: 44
23-18-39.898000,S 7 	RSSI: 44
23-18-39.931000,S 7 	RSSI: 44
23-18-40.227000,S 8 	RSSI: 44
23-18-40.236000,S 6 	RSSI: 44
23-18-40.259000,S 8 	RSSI: 44
23-18-40.267000,S 6 	RSSI: 44
23-18-40.300000,S 6 	RSSI: 44
23-18-40.333000,S 6 	RSSI: 44
23-18-40.366000,S 6 	RSSI: 44
23-18-42.211000,S 3 	RSSI: 45
23-18-42.309000,S 3 	RSSI: 46
23-18-42.342000,S 3 	RSSI: 48
23-18-42.376000,S 3 	RSSI: 48
23-18-42.408000,S 3 	RSSI: 48
23-18-42.441000,S 3 	RSSI: 48
23-18-42.474000,S 3 	RSSI: 48
23-18-42.507000,S 3 	RSSI: 48
23-18-42.538000,S 3 	RSSI: 49
23-18-42.571000,S 3 	RSSI: 49
23-18-42.604000,S 3 	RSSI: 50
23-18-42.768000,S 3 	RSSI: 51
23-18-42.802000,S 3 	RSSI: 51
23-18-42.834000,S 3 	RSSI: 52
23-18-42.867000,S 3 	RSSI: 53
23-18-42.899000,S 3 	RSSI: 53
23-18-42.932000,S 3 	RSSI: 52
23-18-42.964000,S 3 	RSSI: 49
23-18-42.997000,S 3 	RSSI: 48
23-18-43.030000,S 3 	RSSI: 48
23-18-43.129000,S 3 	RSSI: 50
23-18-43.162000,S 3 	RSSI: 51
23-18-43.195000,S 3 	RSSI: 51
23-18-43.227000,S 3 	RSSI: 51
23-18-43.259000,S 3 	RSSI: 50
23-18-43.292000,S 3 	RSSI: 48
23-18-43.325000,S 3 	RSSI: 47
23-18-43.358000,S 3 	RSSI: 48
23-18-43.390000,S 3 	RSSI: 52
23-18-43.423000,S 3 	RSSI: 54
23-18-43.456000,S 3 	RSSI: 54
23-18-43.489000,S 3 	RSSI: 53
23-18-43.555000,S 3 	RSSI: 59
23-18-43.564000,S 7 	RSSI: 44
23-18-43.597000,S 7 	RSSI: 44
23-18-43.604000,S 8 	RSSI: 44
23-18-43.613000,S 6 	RSSI: 44
23-18-43.638000,S 6 	RSSI: 44
23-18-43.671000,S 6 	RSSI: 44
23-18-43.703000,S 6 	RSSI: 44
23-18-49.192000,S 7 	RSSI: 44
23-18-49.225000,S 7 	RSSI: 44
23-18-49.291000,S 8 	RSSI: 44
23-18-49.297000,S 5 	RSSI: 44
23-18-49.324000,S 8 	RSSI: 44
23-18-49.328000,S 5 	RSSI: 44
23-18-49.356000,S 8 	RSSI: 44
23-18-49.368000,S 5 	RSSI: 44
23-18-49.389000,S 8 	RSSI: 44
23-18-49.396000,S 5 	RSSI: 44
23-18-49.455000,S 8 	RSSI: 44
23-18-49.521000,S 8 	RSSI: 44
23-18-49.525000,S 5 	RSSI: 44
23-18-49.558000,S 5 	RSSI: 44
23-19-00.188000,S 7 	RSSI: 44
23-19-00.221000,S 7 	RSSI: 44
23-19-00.253000,S 7 	RSSI: 44
23-19-00.287000,S 7 	RSSI: 44
23-19-00.319000,S 7 	RSSI: 44
23-19-00.353000,S 7 	RSSI: 44
23-19-00.385000,S 7 	RSSI: 44
23-19-00.418000,S 7 	RSSI: 44
23-19-00.449000,S 7 	RSSI: 44
23-19-00.482000,S 7 	RSSI: 44
23-19-00.515000,S 7 	RSSI: 44
23-19-00.713000,S 8 	RSSI: 44
23-19-00.746000,S 8 	RSSI: 44
23-19-00.779000,S 8 	RSSI: 44
23-19-00.812000,S 8 	RSSI: 44
23-19-00.843000,S 8 	RSSI: 44
23-19-01.074000,S 8 	RSSI: 44
23-19-01.107000,S 8 	RSSI: 44
23-19-01.140000,S 8 	RSSI: 44
23-19-01.173000,S 8 	RSSI: 44
23-19-01.205000,S 8 	RSSI: 44
23-19-01.238000,S 8 	RSSI: 44
23-19-01.271000,S 8 	RSSI: 44
23-19-01.304000,S 8 	RSSI: 44
23-19-01.337000,S 8 	RSSI: 44
23-19-01.370000,S 8 	RSSI: 44
23-19-01.402000,S 8 	RSSI: 44
23-19-01.435000,S 8 	RSSI: 44
23-19-01.468000,S 8 	RSSI: 44
23-19-01.533000,S 8 	RSSI: 44
23-20-31.977000,[R]: 20 
23-20-31.983000,[R]: 1 
23-20-31.985000,S 1 	RSSI: 46
23-20-31.986000,[R]: 2 
23-20-31.995000,[R]: 50 
23-20-31.996000,[R]: 3 
23-20-31.999000,[R]: 4 
23-20-32.000000,[R]: 5 
23-20-32.005000,[R]: 6 
23-20-32.006000,[R]: 7 
23-20-32.009000,[R]: 8 
23-20-32.013000,[R]: 1 
23-20-32.015000,S 1 	RSSI: 46
23-20-32.019000,[R]: 2 
23-20-32.028000,[R]: 50 
23-20-32.029000,[R]: 3 
