14-30-20.663000,[R]: 20 
14-30-20.684000,[R]: 1 
14-30-20.684000,[R]: 2 
14-30-20.685000,[R]: 50 
14-30-20.685000,[R]: 3 
14-30-20.686000,[R]: 1 
14-30-20.716000,[R]: 2 
14-30-20.716000,[R]: 50 
14-30-20.717000,[R]: 3 
14-30-20.718000,[R]: 1 
14-30-20.726000,[R]: 2 
14-30-20.727000,[R]: 50 
14-30-20.730000,[R]: 3 
14-30-20.733000,[R]: 20 
14-30-20.735000,[R]: 1 
14-30-20.748000,[R]: 2 
14-30-20.749000,[R]: 50 
14-30-20.750000,[R]: 20 
14-30-20.754000,[R]: 1 
14-30-20.764000,[R]: 2 
14-30-20.764000,[R]: 50 
14-30-20.765000,[R]: 3 
14-30-20.769000,[R]: 1 
14-30-20.796000,[R]: 2 
14-30-20.796000,[R]: 50 
14-30-20.798000,[R]: 3 
14-30-20.799000,[R]: 1 
14-30-20.807000,[R]: 2 
14-30-20.808000,[R]: 50 
14-30-20.808000,[R]: 3 
14-30-20.811000,[R]: 20 
14-30-20.819000,[R]: 1 
14-30-20.819000,[R]: 2 
14-30-20.823000,[R]: 50 
14-30-20.836000,[R]: 20 
14-30-20.836000,[R]: 1 
14-30-20.843000,[R]: 2 
14-30-20.849000,[R]: 50 
14-30-20.852000,[R]: 3 
14-30-20.852000,[R]: 1 
14-30-20.853000,[R]: 2 
14-30-20.856000,[R]: 50 
14-30-20.857000,[R]: 3 
14-30-20.859000,[R]: 1 
14-30-20.869000,[R]: 2 
14-30-20.906000,[R]: 50 
14-30-20.946000,[R]: 3 
14-30-20.947000,[R]: 20 
14-30-20.947000,[R]: 1 
14-30-20.948000,[R]: 2 
14-30-20.948000,[R]: 50 
14-30-20.948000,[R]: 20 
14-30-20.976000,[R]: 1 
14-30-20.977000,[R]: 2 
14-30-20.978000,[R]: 50 
14-30-20.979000,[R]: 3 
14-30-20.979000,[R]: 1 
14-30-20.980000,[R]: 2 
14-30-20.984000,[R]: 50 
14-30-20.990000,[R]: 3 
14-30-21.000000,[R]: 1 
14-30-21.025000,[R]: 2 
14-30-21.042000,[R]: 50 
14-30-21.058000,[R]: 3 
14-30-21.058000,[R]: 20 
14-30-21.062000,[R]: 1 
14-30-21.076000,[R]: 2 
14-30-21.083000,[R]: 50 
14-30-21.087000,[R]: 20 
14-30-21.093000,[R]: 1 
14-30-21.094000,[R]: 2 
14-30-21.094000,[R]: 50 
14-30-21.098000,[R]: 3 
14-30-21.099000,[R]: 1 
14-30-21.100000,[R]: 2 
14-30-21.100000,[R]: 50 
14-30-21.104000,[R]: 3 
14-30-21.106000,[R]: 1 
14-30-21.107000,[R]: 2 
14-30-21.108000,[R]: 50 
14-30-21.109000,[R]: 3 
14-30-21.110000,[R]: 20 
14-30-21.110000,[R]: 1 
14-30-21.111000,[R]: 2 
14-30-21.111000,[R]: 50 
14-30-21.114000,[R]: 20 
14-30-21.116000,[R]: 1 
14-30-21.117000,[R]: 2 
14-30-21.117000,[R]: 50 
14-30-21.124000,[R]: 3 
14-30-21.124000,[R]: 1 
14-30-21.124000,[R]: 2 
14-30-21.129000,[R]: 50 
14-30-21.130000,[R]: 3 
14-30-21.130000,[R]: 1 
14-30-21.131000,[R]: 2 
14-30-21.131000,[R]: 50 
14-30-21.131000,[R]: 3 
14-30-21.132000,[R]: 20 
14-30-21.133000,[R]: 1 
14-30-21.134000,[R]: 2 
14-30-21.134000,[R]: 50 
14-30-21.138000,[R]: 20 
14-30-21.138000,[R]: 1 
14-30-21.139000,[R]: 2 
14-30-21.139000,[R]: 50 
14-30-21.140000,[R]: 3 
14-30-21.141000,[R]: 1 
14-30-21.141000,[R]: 2 
14-30-21.142000,[R]: 50 
14-30-21.142000,[R]: 3 
14-30-21.143000,[R]: 1 
14-30-21.144000,[R]: 2 
14-30-21.150000,[R]: 50 
14-30-21.151000,[R]: 3 
14-30-21.152000,[R]: 20 
14-30-21.152000,[R]: 1 
