21-21-06.158000,----------------
21-22-16.256000,S 5 	RSSI: 44
21-22-16.267000,S 3 	RSSI: 44
21-22-16.271000,[R]: 50 
21-22-16.272000,[R]: 0 
21-22-16.279000,[R]: 50 
21-22-16.284000,S 3 	RSSI: 44
21-22-16.296000,S 5 	RSSI: 44
21-22-16.297000,[R]: 0 
21-22-16.303000,[R]: 50 
21-22-16.308000,S 3 	RSSI: 44
21-22-16.317000,S 5 	RSSI: 44
21-22-16.321000,[R]: 0 
21-22-16.328000,[R]: 50 
21-22-16.342000,S 5 	RSSI: 44
21-22-16.349000,[R]: 50 
21-22-16.363000,S 4 	RSSI: 46
21-22-16.370000,[R]: 50 
21-22-16.371000,[R]: 0 
21-22-16.376000,S 1 	RSSI: 50
21-22-16.380000,[R]: 50 
21-22-16.388000,S 4 	RSSI: 46
21-22-16.397000,S 1 	RSSI: 50
21-22-16.397000,[R]: 0 
21-22-16.401000,S 1 	RSSI: 50
21-22-16.404000,[R]: 50 
21-22-16.422000,S 1 	RSSI: 49
21-22-16.423000,[R]: 0 
21-22-16.426000,S 1 	RSSI: 49
21-22-16.429000,[R]: 50 
21-22-16.446000,S 1 	RSSI: 49
21-22-16.450000,[R]: 50 
21-22-16.451000,S 1 	RSSI: 49
21-22-16.470000,[R]: 50 
21-22-16.472000,S 1 	RSSI: 49
21-22-16.474000,S 1 	RSSI: 49
21-22-16.490000,[R]: 50 
21-22-16.495000,S 1 	RSSI: 49
21-22-16.510000,[R]: 50 
21-22-16.531000,[R]: 50 
21-22-16.551000,[R]: 50 
21-22-16.568000,S 1 	RSSI: 49
21-22-16.571000,[R]: 50 
21-22-16.589000,S 1 	RSSI: 49
21-22-16.592000,[R]: 50 
21-22-16.596000,[R]: 0 
21-22-16.601000,S 1 	RSSI: 49
21-22-16.604000,[R]: 50 
21-22-16.622000,S 1 	RSSI: 50
21-22-16.625000,[R]: 50 
21-22-16.643000,S 1 	RSSI: 50
21-22-16.646000,[R]: 50 
21-22-16.647000,[R]: 0 
21-22-16.651000,S 1 	RSSI: 50
21-22-16.653000,[R]: 50 
21-22-16.671000,S 1 	RSSI: 50
21-22-16.672000,[R]: 0 
21-22-16.675000,S 1 	RSSI: 50
21-22-16.678000,[R]: 50 
21-22-16.699000,[R]: 50 
21-22-16.719000,[R]: 50 
21-22-16.740000,[R]: 50 
21-22-16.760000,[R]: 50 
21-22-16.781000,[R]: 50 
21-22-16.801000,[R]: 50 
21-22-16.822000,[R]: 50 
21-22-16.841000,[R]: 50 
21-22-16.845000,[R]: 0 
21-22-16.854000,[R]: 50 
21-22-16.871000,S 1 	RSSI: 50
21-22-16.872000,[R]: 0 
21-22-16.876000,S 1 	RSSI: 50
21-22-16.879000,[R]: 50 
21-22-16.896000,S 1 	RSSI: 50
21-22-16.896000,[R]: 0 
21-22-16.900000,S 1 	RSSI: 50
21-22-16.903000,[R]: 50 
21-22-16.924000,[R]: 50 
21-22-16.944000,[R]: 50 
21-22-16.965000,[R]: 50 
21-22-16.985000,[R]: 50 
21-22-17.006000,[R]: 50 
21-22-17.026000,[R]: 50 
21-22-17.044000,S 1 	RSSI: 50
21-22-17.046000,[R]: 50 
21-22-17.067000,[R]: 50 
21-22-17.071000,[R]: 0 
21-22-17.076000,S 1 	RSSI: 50
21-22-17.079000,[R]: 50 
21-22-17.097000,S 1 	RSSI: 50
21-22-17.100000,[R]: 50 
21-22-17.119000,S 5 	RSSI: 44
21-22-17.123000,[R]: 50 
21-22-17.125000,S 1 	RSSI: 50
21-22-17.131000,S 3 	RSSI: 44
21-22-17.140000,S 5 	RSSI: 44
21-22-17.142000,[R]: 50 
21-22-17.146000,[R]: 0 
21-22-17.152000,S 3 	RSSI: 44
21-22-17.155000,[R]: 50 
21-22-17.169000,S 5 	RSSI: 44
21-22-17.169000,S 4 	RSSI: 46
21-22-17.176000,[R]: 50 
21-22-17.186000,S 1 	RSSI: 50
21-22-17.190000,S 4 	RSSI: 46
21-22-17.197000,[R]: 50 
21-22-17.207000,S 1 	RSSI: 50
21-22-17.216000,[R]: 50 
21-22-17.220000,[R]: 0 
21-22-17.226000,S 1 	RSSI: 49
21-22-17.229000,[R]: 50 
21-22-17.238000,S 4 	RSSI: 46
21-22-17.249000,[R]: 50 
21-22-17.259000,S 4 	RSSI: 47
21-22-17.267000,S 1 	RSSI: 49
21-22-17.271000,[R]: 50 
21-22-17.272000,[R]: 0 
21-22-17.276000,S 1 	RSSI: 49
21-22-17.279000,[R]: 50 
21-22-17.296000,S 1 	RSSI: 49
21-22-17.299000,[R]: 50 
21-22-17.317000,S 1 	RSSI: 49
21-22-17.320000,[R]: 50 
21-22-17.321000,[R]: 0 
21-22-17.325000,S 1 	RSSI: 49
21-22-17.329000,[R]: 50 
21-22-17.349000,[R]: 50 
21-22-17.369000,[R]: 50 
21-22-17.389000,[R]: 50 
21-22-17.410000,[R]: 50 
21-22-17.430000,[R]: 50 
21-22-17.452000,[R]: 50 
21-22-17.453000,S 1 	RSSI: 49
21-22-17.473000,[R]: 50 
21-22-17.474000,S 1 	RSSI: 49
21-22-17.492000,[R]: 50 
21-22-17.496000,[R]: 0 
21-22-17.506000,[R]: 50 
21-22-17.521000,[R]: 0 
21-22-17.529000,[R]: 50 
21-22-17.546000,S 1 	RSSI: 49
21-22-17.549000,[R]: 50 
21-22-17.570000,[R]: 50 
21-22-17.575000,S 1 	RSSI: 49
21-22-17.590000,[R]: 50 
21-22-17.594000,S 1 	RSSI: 49
21-22-17.610000,[R]: 50 
21-22-17.615000,S 1 	RSSI: 49
21-22-17.630000,[R]: 50 
21-22-17.636000,S 1 	RSSI: 49
21-22-17.651000,[R]: 50 
21-22-17.672000,[R]: 50 
21-22-17.692000,[R]: 50 
21-22-17.697000,S 1 	RSSI: 49
21-22-17.713000,[R]: 50 
21-22-17.718000,S 1 	RSSI: 49
21-22-17.722000,[R]: 0 
21-22-17.726000,S 1 	RSSI: 49
21-22-17.729000,[R]: 50 
21-22-17.747000,S 1 	RSSI: 50
21-22-17.750000,[R]: 50 
21-22-17.767000,S 1 	RSSI: 49
21-22-17.771000,[R]: 50 
21-22-17.772000,[R]: 0 
21-22-17.775000,S 1 	RSSI: 49
21-22-17.778000,[R]: 50 
21-22-17.796000,[R]: 0 
21-22-17.803000,[R]: 50 
21-22-17.820000,S 1 	RSSI: 49
21-22-17.824000,[R]: 50 
21-22-17.844000,[R]: 50 
21-22-17.864000,[R]: 50 
21-22-17.873000,S 1 	RSSI: 50
21-22-17.885000,[R]: 50 
21-22-17.906000,[R]: 50 
21-22-17.919000,S 1 	RSSI: 49
21-22-17.926000,[R]: 50 
21-22-17.947000,[R]: 50 
21-22-17.967000,[R]: 50 
21-22-17.970000,[R]: 0 
21-22-17.976000,S 1 	RSSI: 50
21-22-17.979000,[R]: 50 
21-22-17.996000,[R]: 0 
21-22-18.004000,[R]: 50 
21-22-18.014000,S 5 	RSSI: 44
21-22-18.021000,[R]: 0 
21-22-18.029000,[R]: 50 
21-22-18.034000,S 5 	RSSI: 44
21-22-18.046000,[R]: 0 
21-22-18.053000,[R]: 50 
21-22-18.067000,S 5 	RSSI: 44
21-22-18.071000,[R]: 0 
21-22-18.078000,[R]: 50 
21-22-18.091000,S 5 	RSSI: 44
21-22-18.099000,[R]: 50 
21-22-18.103000,S 1 	RSSI: 49
21-22-18.116000,S 5 	RSSI: 44
21-22-18.119000,[R]: 50 
21-22-18.124000,S 1 	RSSI: 49
21-22-18.141000,[R]: 50 
21-22-18.143000,S 5 	RSSI: 44
21-22-18.162000,[R]: 50 
21-22-18.162000,S 5 	RSSI: 44
21-22-18.182000,[R]: 50 
21-22-18.183000,S 5 	RSSI: 44
21-22-18.201000,[R]: 50 
21-22-18.222000,[R]: 50 
21-22-18.242000,[R]: 50 
21-22-18.246000,[R]: 0 
21-22-18.254000,[R]: 50 
21-22-18.264000,S 5 	RSSI: 44
21-22-18.271000,[R]: 0 
21-22-18.279000,[R]: 50 
21-22-18.288000,S 1 	RSSI: 49
21-22-18.293000,S 5 	RSSI: 44
21-22-18.296000,[R]: 0 
21-22-18.304000,[R]: 50 
21-22-18.310000,S 1 	RSSI: 49
21-22-18.310000,S 4 	RSSI: 46
21-22-18.321000,[R]: 0 
21-22-18.328000,[R]: 50 
21-22-18.346000,[R]: 0 
21-22-18.353000,[R]: 50 
21-22-18.362000,S 4 	RSSI: 46
21-22-18.371000,[R]: 0 
21-22-18.375000,S 1 	RSSI: 49
21-22-18.378000,[R]: 50 
21-22-18.387000,S 4 	RSSI: 46
21-22-18.392000,S 3 	RSSI: 44
21-22-18.396000,S 1 	RSSI: 49
21-22-18.397000,[R]: 0 
21-22-18.400000,S 1 	RSSI: 49
21-22-18.403000,[R]: 50 
21-22-18.409000,S 3 	RSSI: 44
21-22-18.421000,S 1 	RSSI: 49
21-22-18.421000,[R]: 0 
21-22-18.425000,S 1 	RSSI: 49
21-22-18.428000,[R]: 50 
21-22-18.433000,S 3 	RSSI: 44
21-22-18.446000,S 1 	RSSI: 49
21-22-18.449000,[R]: 50 
21-22-18.458000,S 3 	RSSI: 44
21-22-18.469000,[R]: 50 
21-22-18.478000,S 3 	RSSI: 44
21-22-18.489000,[R]: 50 
21-22-18.498000,S 3 	RSSI: 44
21-22-18.511000,[R]: 50 
21-22-18.513000,S 1 	RSSI: 49
21-22-18.532000,[R]: 50 
21-22-18.533000,S 1 	RSSI: 49
21-22-18.552000,[R]: 50 
21-22-18.553000,S 1 	RSSI: 49
21-22-18.571000,[R]: 50 
21-22-18.592000,[R]: 50 
21-22-18.613000,[R]: 50 
21-22-18.618000,S 1 	RSSI: 49
21-22-18.621000,[R]: 0 
21-22-18.626000,S 1 	RSSI: 49
21-22-18.629000,[R]: 50 
21-22-18.647000,S 1 	RSSI: 49
21-22-18.647000,[R]: 0 
21-22-18.650000,S 1 	RSSI: 49
21-22-18.654000,[R]: 50 
21-22-18.671000,S 1 	RSSI: 49
21-22-18.672000,[R]: 0 
21-22-18.676000,S 1 	RSSI: 49
21-22-18.678000,[R]: 50 
21-22-18.696000,S 1 	RSSI: 49
21-22-18.699000,[R]: 50 
21-22-18.718000,[R]: 50 
21-22-18.739000,[R]: 50 
21-22-18.760000,[R]: 50 
21-22-18.780000,[R]: 50 
21-22-18.786000,S 1 	RSSI: 49
21-22-18.801000,[R]: 50 
21-22-18.806000,S 1 	RSSI: 49
21-22-18.821000,[R]: 50 
21-22-18.842000,[R]: 50 
21-22-18.846000,[R]: 0 
21-22-18.851000,S 1 	RSSI: 49
21-22-18.854000,[R]: 50 
21-22-18.872000,S 1 	RSSI: 50
21-22-18.873000,[R]: 0 
21-22-18.876000,S 1 	RSSI: 49
21-22-18.879000,[R]: 50 
21-22-18.896000,[R]: 0 
21-22-18.903000,[R]: 50 
21-22-18.921000,[R]: 0 
21-22-18.928000,[R]: 50 
21-22-18.934000,S 5 	RSSI: 44
21-22-18.946000,[R]: 0 
21-22-18.953000,[R]: 50 
21-22-18.962000,S 1 	RSSI: 49
21-22-18.967000,S 5 	RSSI: 44
21-22-18.971000,[R]: 0 
21-22-18.975000,S 1 	RSSI: 50
21-22-18.978000,[R]: 50 
21-22-18.992000,S 5 	RSSI: 44
21-22-18.999000,[R]: 50 
21-22-19.012000,S 5 	RSSI: 44
21-22-19.019000,[R]: 50 
21-22-19.033000,S 5 	RSSI: 44
21-22-19.040000,[R]: 50 
21-22-19.049000,S 1 	RSSI: 49
21-22-19.053000,S 5 	RSSI: 44
21-22-19.060000,[R]: 50 
21-22-19.063000,S 4 	RSSI: 46
21-22-19.071000,S 1 	RSSI: 49
21-22-19.082000,[R]: 50 
21-22-19.083000,S 4 	RSSI: 46
21-22-19.090000,S 1 	RSSI: 49
21-22-19.102000,[R]: 50 
21-22-19.111000,S 1 	RSSI: 49
21-22-19.122000,[R]: 50 
21-22-19.132000,S 1 	RSSI: 49
21-22-19.143000,[R]: 50 
21-22-19.149000,S 1 	RSSI: 49
21-22-19.157000,S 3 	RSSI: 44
21-22-19.164000,[R]: 50 
21-22-19.170000,S 1 	RSSI: 49
21-22-19.178000,S 3 	RSSI: 44
21-22-19.185000,[R]: 50 
21-22-19.190000,S 1 	RSSI: 49
21-22-19.199000,S 3 	RSSI: 44
21-22-19.205000,[R]: 50 
21-22-19.219000,S 3 	RSSI: 44
21-22-19.223000,S 1 	RSSI: 49
21-22-19.226000,[R]: 50 
21-22-19.240000,S 3 	RSSI: 44
21-22-19.246000,[R]: 50 
21-22-19.260000,S 3 	RSSI: 44
21-22-19.267000,[R]: 50 
21-22-19.270000,[R]: 0 
21-22-19.276000,S 1 	RSSI: 49
21-22-19.279000,[R]: 50 
21-22-19.297000,S 1 	RSSI: 49
21-22-19.301000,[R]: 50 
21-22-19.309000,S 3 	RSSI: 44
21-22-19.317000,S 1 	RSSI: 49
21-22-19.321000,[R]: 50 
21-22-19.322000,[R]: 0 
21-22-19.326000,S 1 	RSSI: 49
21-22-19.329000,[R]: 50 
21-22-19.334000,S 3 	RSSI: 44
21-22-19.346000,[R]: 0 
21-22-19.353000,[R]: 50 
21-22-19.358000,S 3 	RSSI: 44
21-22-19.371000,[R]: 0 
21-22-19.378000,[R]: 50 
21-22-19.384000,S 3 	RSSI: 44
21-22-19.385000,S 5 	RSSI: 44
21-22-19.396000,[R]: 0 
21-22-19.404000,[R]: 50 
21-22-19.417000,S 5 	RSSI: 44
21-22-19.424000,[R]: 50 
21-22-19.438000,S 5 	RSSI: 44
21-22-19.472000,[R]: 50 
21-22-19.493000,[R]: 50 
21-22-19.494000,S 5 	RSSI: 44
21-22-19.494000,[R]: 50 
21-22-19.495000,S 5 	RSSI: 44
21-22-19.506000,[R]: 50 
21-22-19.526000,[R]: 50 
21-22-19.562000,[R]: 50 
21-22-19.569000,[R]: 50 
21-22-19.647000,[R]: 0 
21-22-19.647000,[R]: 50 
21-22-19.648000,S 5 	RSSI: 44
21-22-19.648000,[R]: 0 
21-22-19.649000,[R]: 50 
21-22-19.649000,S 5 	RSSI: 44
21-22-19.665000,[R]: 0 
21-22-19.666000,[R]: 50 
21-22-19.666000,S 5 	RSSI: 44
21-22-19.667000,[R]: 0 
21-22-19.667000,S 1 	RSSI: 49
21-22-19.668000,[R]: 50 
21-22-19.668000,S 4 	RSSI: 46
21-22-19.672000,S 1 	RSSI: 49
21-22-19.680000,[R]: 50 
21-22-19.686000,S 4 	RSSI: 46
21-22-19.702000,S 1 	RSSI: 50
21-22-19.702000,[R]: 50 
21-22-19.703000,[R]: 0 
21-22-19.703000,S 1 	RSSI: 49
21-22-19.714000,[R]: 50 
21-22-19.714000,S 4 	RSSI: 46
21-22-19.724000,[R]: 50 
21-22-19.737000,S 4 	RSSI: 46
21-22-19.744000,[R]: 50 
21-22-19.749000,S 1 	RSSI: 49
21-22-19.762000,S 4 	RSSI: 46
21-22-19.765000,[R]: 50 
21-22-19.770000,S 1 	RSSI: 50
21-22-19.782000,S 4 	RSSI: 46
21-22-19.785000,[R]: 50 
21-22-19.791000,S 1 	RSSI: 49
21-22-19.803000,S 4 	RSSI: 46
21-22-19.806000,[R]: 50 
21-22-19.811000,S 1 	RSSI: 49
21-22-19.822000,S 4 	RSSI: 46
21-22-19.826000,[R]: 50 
21-22-19.846000,[R]: 50 
21-22-19.864000,S 4 	RSSI: 46
21-22-19.867000,[R]: 50 
21-22-19.884000,S 4 	RSSI: 46
21-22-19.888000,[R]: 50 
21-22-19.897000,S 1 	RSSI: 50
21-22-19.908000,[R]: 50 
21-22-19.917000,S 1 	RSSI: 49
21-22-19.920000,[R]: 0 
21-22-19.925000,S 1 	RSSI: 49
21-22-19.928000,[R]: 50 
21-22-19.946000,S 1 	RSSI: 49
21-22-19.946000,[R]: 0 
21-22-19.950000,S 1 	RSSI: 49
21-22-19.953000,[R]: 50 
21-22-19.971000,S 1 	RSSI: 49
21-22-19.971000,[R]: 0 
21-22-19.975000,S 1 	RSSI: 49
21-22-19.978000,[R]: 50 
21-22-19.995000,S 1 	RSSI: 49
21-22-19.999000,[R]: 50 
21-22-20.019000,[R]: 50 
21-22-20.039000,[R]: 50 
21-22-20.060000,[R]: 50 
21-22-20.065000,S 1 	RSSI: 49
21-22-20.080000,[R]: 50 
21-22-20.085000,S 1 	RSSI: 49
21-22-20.101000,[R]: 50 
21-22-20.106000,S 1 	RSSI: 49
21-22-20.121000,[R]: 50 
21-22-20.142000,[R]: 50 
21-22-20.146000,[R]: 0 
21-22-20.154000,[R]: 50 
21-22-20.172000,S 1 	RSSI: 49
21-22-20.173000,[R]: 0 
21-22-20.175000,S 1 	RSSI: 49
21-22-20.179000,[R]: 50 
21-22-20.196000,S 1 	RSSI: 49
21-22-20.196000,[R]: 0 
21-22-20.199000,S 1 	RSSI: 49
21-22-20.203000,[R]: 50 
21-22-20.221000,[R]: 0 
21-22-20.225000,S 3 	RSSI: 44
21-22-20.229000,[R]: 50 
21-22-20.239000,S 5 	RSSI: 44
21-22-20.247000,S 3 	RSSI: 44
21-22-20.250000,[R]: 50 
21-22-20.259000,S 5 	RSSI: 44
21-22-20.267000,S 3 	RSSI: 44
21-22-20.270000,[R]: 50 
21-22-20.272000,[R]: 0 
21-22-20.278000,[R]: 50 
21-22-20.283000,S 3 	RSSI: 44
21-22-20.292000,S 5 	RSSI: 44
21-22-20.296000,[R]: 0 
21-22-20.303000,[R]: 50 
21-22-20.308000,S 3 	RSSI: 44
21-22-20.317000,S 5 	RSSI: 44
21-22-20.321000,[R]: 0 
21-22-20.328000,[R]: 50 
21-22-20.338000,S 4 	RSSI: 46
21-22-20.346000,[R]: 0 
21-22-20.353000,[R]: 50 
21-22-20.363000,S 4 	RSSI: 46
21-22-20.371000,[R]: 0 
21-22-20.376000,S 1 	RSSI: 49
21-22-20.378000,[R]: 50 
21-22-20.396000,S 1 	RSSI: 49
21-22-20.399000,[R]: 50 
21-22-20.420000,[R]: 50 
21-22-20.422000,[R]: 0 
21-22-20.428000,[R]: 50 
21-22-20.448000,[R]: 50 
21-22-20.462000,S 1 	RSSI: 49
21-22-20.469000,[R]: 50 
21-22-20.482000,S 1 	RSSI: 49
21-22-20.489000,[R]: 50 
21-22-20.503000,S 1 	RSSI: 49
21-22-20.510000,[R]: 50 
21-22-20.523000,S 1 	RSSI: 49
21-22-20.530000,[R]: 50 
21-22-20.544000,S 1 	RSSI: 49
21-22-20.551000,[R]: 50 
21-22-20.571000,[R]: 50 
21-22-20.591000,[R]: 50 
21-22-20.608000,S 1 	RSSI: 49
21-22-20.612000,[R]: 50 
21-22-20.620000,[R]: 0 
21-22-20.625000,S 1 	RSSI: 49
21-22-20.628000,[R]: 50 
21-22-20.646000,S 1 	RSSI: 49
21-22-20.646000,[R]: 0 
21-22-20.650000,S 1 	RSSI: 49
21-22-20.653000,[R]: 50 
21-22-20.671000,S 1 	RSSI: 49
21-22-20.673000,[R]: 0 
21-22-20.675000,S 1 	RSSI: 49
21-22-20.678000,[R]: 50 
21-22-20.695000,S 1 	RSSI: 49
21-22-20.699000,[R]: 50 
21-22-20.719000,[R]: 50 
21-22-20.739000,[R]: 50 
21-22-20.760000,[R]: 50 
21-22-20.764000,S 1 	RSSI: 49
21-22-20.780000,[R]: 50 
21-22-20.785000,S 1 	RSSI: 49
21-22-20.801000,[R]: 50 
21-22-20.806000,S 1 	RSSI: 48
21-22-20.821000,[R]: 50 
21-22-20.827000,S 1 	RSSI: 48
21-22-20.842000,[R]: 50 
21-22-20.846000,[R]: 0 
21-22-20.854000,[R]: 50 
21-22-20.870000,[R]: 0 
21-22-20.879000,[R]: 50 
21-22-20.892000,S 1 	RSSI: 48
21-22-20.896000,[R]: 0 
21-22-20.900000,S 1 	RSSI: 48
21-22-20.903000,[R]: 50 
21-22-20.921000,S 1 	RSSI: 48
21-22-20.924000,[R]: 50 
21-22-20.944000,[R]: 50 
21-22-20.964000,[R]: 50 
21-22-20.985000,[R]: 50 
21-22-21.005000,[R]: 50 
21-22-21.026000,[R]: 50 
21-22-21.046000,[R]: 50 
21-22-21.067000,[R]: 50 
21-22-21.071000,S 1 	RSSI: 48
21-22-21.087000,[R]: 50 
21-22-21.092000,S 1 	RSSI: 48
21-22-21.095000,[R]: 0 
21-22-21.100000,S 1 	RSSI: 48
21-22-21.104000,[R]: 50 
21-22-21.121000,[R]: 0 
21-22-21.128000,[R]: 50 
21-22-21.138000,S 5 	RSSI: 52
21-22-21.145000,[R]: 0 
21-22-21.154000,[R]: 50 
21-22-21.155000,S 3 	RSSI: 44
21-22-21.159000,S 5 	RSSI: 52
21-22-21.164000,S 4 	RSSI: 46
21-22-21.168000,S 1 	RSSI: 48
21-22-21.175000,[R]: 50 
21-22-21.185000,S 4 	RSSI: 46
21-22-21.189000,S 1 	RSSI: 48
21-22-21.196000,[R]: 50 
21-22-21.205000,S 4 	RSSI: 46
21-22-21.210000,S 1 	RSSI: 48
21-22-21.217000,[R]: 50 
21-22-21.221000,[R]: 0 
21-22-21.230000,[R]: 50 
21-22-21.231000,S 1 	RSSI: 48
21-22-21.238000,S 4 	RSSI: 46
21-22-21.246000,[R]: 0 
21-22-21.251000,S 1 	RSSI: 48
21-22-21.254000,[R]: 50 
21-22-21.263000,S 4 	RSSI: 46
21-22-21.272000,S 1 	RSSI: 48
21-22-21.274000,[R]: 50 
21-22-21.292000,S 1 	RSSI: 48
21-22-21.295000,[R]: 50 
21-22-21.296000,[R]: 0 
21-22-21.300000,S 1 	RSSI: 48
21-22-21.303000,[R]: 50 
21-22-21.320000,[R]: 0 
21-22-21.324000,S 1 	RSSI: 48
21-22-21.328000,[R]: 50 
21-22-21.345000,S 1 	RSSI: 48
21-22-21.350000,[R]: 50 
21-22-21.350000,S 1 	RSSI: 48
21-22-21.370000,[R]: 50 
21-22-21.370000,S 1 	RSSI: 48
21-22-21.389000,[R]: 50 
21-22-21.410000,[R]: 50 
21-22-21.418000,S 1 	RSSI: 48
21-22-21.430000,[R]: 50 
21-22-21.439000,S 1 	RSSI: 48
21-22-21.451000,[R]: 50 
21-22-21.460000,S 1 	RSSI: 48
21-22-21.471000,[R]: 50 
21-22-21.480000,S 1 	RSSI: 48
21-22-21.492000,[R]: 50 
21-22-21.495000,[R]: 0 
21-22-21.504000,[R]: 50 
21-22-21.522000,S 1 	RSSI: 48
21-22-21.525000,[R]: 50 
21-22-21.545000,[R]: 50 
21-22-21.546000,[R]: 0 
21-22-21.554000,[R]: 50 
21-22-21.566000,S 1 	RSSI: 48
21-22-21.571000,[R]: 0 
21-22-21.578000,[R]: 50 
21-22-21.595000,S 1 	RSSI: 48
21-22-21.598000,[R]: 50 
21-22-21.616000,S 1 	RSSI: 48
21-22-21.621000,[R]: 50 
21-22-21.636000,S 1 	RSSI: 50
21-22-21.641000,[R]: 50 
21-22-21.661000,[R]: 50 
21-22-21.673000,S 1 	RSSI: 48
21-22-21.680000,[R]: 50 
21-22-21.700000,[R]: 50 
21-22-21.721000,[R]: 50 
21-22-21.742000,[R]: 50 
21-22-21.745000,[R]: 0 
21-22-21.750000,S 1 	RSSI: 48
21-22-21.757000,[R]: 50 
21-22-21.771000,S 1 	RSSI: 48
21-22-21.771000,[R]: 0 
21-22-21.775000,S 1 	RSSI: 48
21-22-21.778000,[R]: 50 
21-22-21.793000,S 5 	RSSI: 49
21-22-21.795000,[R]: 0 
21-22-21.804000,[R]: 50 
21-22-21.813000,S 5 	RSSI: 49
21-22-21.820000,[R]: 0 
21-22-21.828000,[R]: 50 
21-22-21.842000,S 5 	RSSI: 51
21-22-21.846000,[R]: 0 
21-22-21.853000,[R]: 50 
21-22-21.867000,S 5 	RSSI: 51
21-22-21.873000,[R]: 50 
21-22-21.887000,S 5 	RSSI: 51
21-22-21.894000,[R]: 50 
21-22-21.914000,[R]: 50 
21-22-21.935000,[R]: 50 
21-22-21.943000,S 1 	RSSI: 48
21-22-21.955000,[R]: 50 
21-22-21.976000,[R]: 50 
21-22-21.996000,[R]: 50 
21-22-22.017000,[R]: 50 
21-22-22.021000,[R]: 0 
21-22-22.029000,[R]: 50 
21-22-22.039000,S 5 	RSSI: 51
21-22-22.046000,[R]: 0 
21-22-22.054000,[R]: 50 
21-22-22.066000,S 5 	RSSI: 51
21-22-22.070000,[R]: 0 
21-22-22.078000,[R]: 50 
21-22-22.096000,[R]: 0 
21-22-22.103000,[R]: 50 
21-22-22.123000,[R]: 50 
21-22-22.137000,S 4 	RSSI: 46
21-22-22.144000,[R]: 50 
21-22-22.146000,[R]: 0 
21-22-22.153000,[R]: 50 
21-22-22.162000,S 4 	RSSI: 46
21-22-22.173000,[R]: 50 
21-22-22.183000,S 3 	RSSI: 44
21-22-22.187000,S 4 	RSSI: 46
21-22-22.194000,[R]: 50 
21-22-22.199000,S 1 	RSSI: 48
21-22-22.214000,[R]: 50 
21-22-22.235000,[R]: 50 
21-22-22.240000,S 1 	RSSI: 48
21-22-22.248000,S 4 	RSSI: 46
21-22-22.255000,[R]: 50 
21-22-22.261000,S 1 	RSSI: 48
21-22-22.269000,S 4 	RSSI: 46
21-22-22.276000,[R]: 50 
21-22-22.281000,S 1 	RSSI: 48
21-22-22.289000,S 3 	RSSI: 44
21-22-22.297000,[R]: 50 
21-22-22.302000,S 1 	RSSI: 48
21-22-22.310000,S 3 	RSSI: 44
21-22-22.317000,[R]: 50 
21-22-22.323000,S 1 	RSSI: 48
21-22-22.330000,S 3 	RSSI: 44
21-22-22.338000,[R]: 50 
21-22-22.344000,S 1 	RSSI: 48
21-22-22.358000,[R]: 50 
21-22-22.364000,S 1 	RSSI: 48
21-22-22.370000,[R]: 0 
21-22-22.379000,[R]: 50 
21-22-22.396000,[R]: 0 
21-22-22.404000,[R]: 50 
21-22-22.421000,S 1 	RSSI: 48
21-22-22.422000,[R]: 0 
21-22-22.425000,S 1 	RSSI: 48
21-22-22.429000,[R]: 50 
21-22-22.445000,S 1 	RSSI: 48
21-22-22.446000,[R]: 0 
21-22-22.449000,S 1 	RSSI: 48
21-22-22.452000,[R]: 50 
21-22-22.469000,S 1 	RSSI: 48
21-22-22.473000,[R]: 50 
21-22-22.494000,[R]: 50 
21-22-22.514000,[R]: 50 
21-22-22.536000,[R]: 50 
21-22-22.536000,S 1 	RSSI: 48
21-22-22.555000,[R]: 50 
21-22-22.576000,[R]: 50 
21-22-22.596000,[R]: 50 
21-22-22.616000,[R]: 50 
21-22-22.620000,[R]: 0 
21-22-22.629000,[R]: 50 
21-22-22.646000,S 1 	RSSI: 48
21-22-22.647000,[R]: 0 
21-22-22.650000,S 1 	RSSI: 48
21-22-22.653000,[R]: 50 
21-22-22.671000,S 1 	RSSI: 48
21-22-22.672000,[R]: 0 
21-22-22.675000,S 1 	RSSI: 48
21-22-22.678000,[R]: 50 
21-22-22.698000,[R]: 50 
21-22-22.720000,[R]: 50 
21-22-22.740000,[R]: 50 
21-22-22.760000,[R]: 50 
21-22-22.781000,[R]: 50 
21-22-22.801000,[R]: 50 
21-22-22.820000,[R]: 50 
21-22-22.841000,[R]: 50 
21-22-22.862000,[R]: 50 
21-22-22.867000,S 1 	RSSI: 50
21-22-22.870000,[R]: 0 
21-22-22.875000,S 1 	RSSI: 48
21-22-22.878000,[R]: 50 
21-22-22.896000,[R]: 0 
21-22-22.903000,[R]: 50 
21-22-22.921000,[R]: 0 
21-22-22.928000,[R]: 50 
21-22-22.934000,S 5 	RSSI: 49
21-22-22.946000,[R]: 0 
21-22-22.953000,[R]: 50 
21-22-22.966000,S 1 	RSSI: 48
21-22-22.967000,S 5 	RSSI: 50
21-22-22.971000,[R]: 0 
21-22-22.975000,S 1 	RSSI: 48
21-22-22.978000,[R]: 50 
21-22-22.991000,S 5 	RSSI: 50
21-22-22.998000,[R]: 50 
21-22-23.016000,S 5 	RSSI: 50
21-22-23.019000,[R]: 50 
