21-48-13.897000,[R]: 2 
21-48-13.897000,[R]: 20 
21-48-13.898000,[R]: 1 
21-48-13.898000,[R]: 50 
21-48-13.900000,[R]: 2 
21-48-13.910000,[R]: 1 
21-48-13.934000,[R]: 50 
21-48-13.934000,[R]: 2 
21-48-13.935000,[R]: 1 
21-48-13.944000,[R]: 50 
21-48-13.944000,[R]: 2 
21-48-13.945000,[R]: 1 
21-48-13.946000,[R]: 50 
21-48-13.946000,[R]: 2 
21-48-13.965000,[R]: 1 
21-48-13.967000,[R]: 50 
21-48-13.975000,[R]: 2 
21-48-13.976000,[R]: 1 
21-48-13.976000,[R]: 50 
21-48-13.977000,[R]: 2 
21-48-13.994000,[R]: 20 
21-48-14.001000,[R]: 1 
21-48-14.001000,[R]: 50 
21-48-14.007000,[R]: 2 
21-48-14.008000,[R]: 1 
21-48-14.029000,[R]: 50 
21-48-14.049000,[R]: 2 
21-48-14.049000,[R]: 1 
21-48-14.050000,[R]: 50 
21-48-14.059000,[R]: 2 
21-48-14.060000,[R]: 1 
21-48-14.060000,[R]: 50 
21-48-14.095000,[R]: 2 
21-48-14.098000,[R]: 1 
21-48-14.099000,[R]: 50 
21-48-14.099000,[R]: 2 
21-48-14.113000,[R]: 1 
21-48-14.148000,[R]: 50 
21-48-14.149000,[R]: 2 
21-48-14.149000,[R]: 20 
21-48-14.153000,[R]: 1 
21-48-14.166000,[R]: 50 
21-48-14.167000,[R]: 2 
21-48-14.167000,[R]: 1 
21-48-14.168000,[R]: 50 
21-48-14.169000,[R]: 2 
21-48-14.169000,[R]: 1 
21-48-14.170000,[R]: 50 
21-48-14.209000,[R]: 2 
21-48-14.263000,[R]: 1 
21-48-14.264000,[R]: 50 
21-48-14.264000,[R]: 2 
21-48-14.265000,[R]: 1 
21-48-14.309000,[R]: 50 
21-48-14.310000,[R]: 2 
21-48-14.311000,[R]: 1 
21-48-14.311000,[R]: 50 
21-48-14.315000,[R]: 2 
21-48-14.316000,[R]: 20 
21-48-14.316000,[R]: 1 
21-48-14.317000,[R]: 50 
21-48-14.318000,[R]: 2 
21-48-14.342000,[R]: 1 
21-48-14.368000,[R]: 50 
21-48-14.368000,[R]: 2 
21-48-14.369000,[R]: 1 
21-48-14.369000,[R]: 50 
21-48-14.378000,[R]: 2 
21-48-14.401000,[R]: 1 
21-48-14.402000,[R]: 50 
21-48-14.402000,[R]: 2 
21-48-14.406000,[R]: 1 
21-48-14.407000,[R]: 50 
21-48-14.407000,[R]: 2 
21-48-14.410000,[R]: 1 
21-48-14.413000,[R]: 50 
21-48-14.413000,[R]: 2 
21-48-14.413000,[R]: 20 
21-48-14.421000,[R]: 1 
21-48-14.430000,[R]: 50 
21-48-14.432000,[R]: 2 
21-48-14.444000,[R]: 1 
21-48-14.480000,[R]: 50 
21-48-14.481000,[R]: 2 
21-48-14.528000,[R]: 1 
21-48-14.528000,[R]: 50 
21-48-14.529000,[R]: 2 
21-48-14.529000,[R]: 1 
21-48-14.562000,[R]: 50 
21-48-14.563000,[R]: 2 
21-48-14.569000,[R]: 1 
21-48-14.569000,[R]: 50 
21-48-14.590000,[R]: 2 
21-48-14.597000,[R]: 1 
21-48-14.606000,[R]: 50 
21-48-14.619000,[R]: 2 
21-48-14.620000,[R]: 20 
21-48-14.624000,[R]: 1 
21-48-14.650000,[R]: 50 
21-48-14.651000,[R]: 2 
21-48-14.651000,[R]: 1 
21-48-14.662000,[R]: 50 
21-48-14.676000,[R]: 2 
21-48-14.695000,[R]: 1 
21-48-14.696000,[R]: 50 
21-48-14.696000,[R]: 2 
21-48-14.697000,[R]: 1 
21-48-14.697000,[R]: 50 
21-48-14.698000,[R]: 2 
21-48-14.698000,[R]: 1 
21-48-14.698000,[R]: 50 
21-48-14.773000,[R]: 2 
21-48-14.780000,[R]: 1 
21-48-14.781000,[R]: 50 
21-48-14.781000,[R]: 2 
21-48-14.784000,[R]: 20 
21-48-14.812000,[R]: 1 
21-48-14.813000,[R]: 50 
21-48-14.813000,[R]: 2 
21-48-14.819000,[R]: 1 
21-48-14.820000,[R]: 50 
21-48-14.824000,[R]: 2 
21-48-14.825000,[R]: 1 
21-48-14.826000,[R]: 50 
21-48-14.826000,[R]: 2 
21-48-14.827000,[R]: 1 
21-48-14.859000,[R]: 50 
21-48-14.863000,[R]: 2 
21-48-14.863000,[R]: 1 
21-48-14.900000,[R]: 50 
21-48-14.900000,[R]: 2 
21-48-14.901000,[R]: 1 
21-48-14.901000,[R]: 50 
21-48-14.902000,[R]: 2 
21-48-14.903000,[R]: 20 
21-48-14.912000,[R]: 1 
21-48-14.961000,[R]: 50 
21-48-14.961000,[R]: 2 
21-48-14.963000,[R]: 1 
21-48-14.963000,[R]: 50 
21-48-14.964000,[R]: 2 
21-48-14.973000,[R]: 1 
21-48-14.974000,[R]: 50 
21-48-14.974000,[R]: 2 
21-48-14.975000,[R]: 1 
21-48-14.976000,[R]: 50 
21-48-14.981000,[R]: 2 
21-48-15.000000,[R]: 1 
21-48-15.019000,[R]: 50 
21-48-15.022000,[R]: 2 
21-48-15.022000,[R]: 1 
21-48-15.023000,[R]: 50 
21-48-15.024000,[R]: 2 
21-48-15.025000,[R]: 20 
21-48-15.026000,[R]: 1 
21-48-15.026000,[R]: 50 
21-48-15.028000,[R]: 2 
21-48-15.029000,[R]: 1 
21-48-15.029000,[R]: 50 
21-48-15.032000,[R]: 2 
21-48-15.032000,[R]: 1 
21-48-15.033000,[R]: 50 
21-48-15.060000,[R]: 2 
21-48-15.061000,[R]: 1 
21-48-15.062000,[R]: 50 
21-48-15.063000,[R]: 2 
21-48-15.063000,[R]: 1 
21-48-15.063000,[R]: 50 
21-48-15.064000,[R]: 2 
21-48-15.064000,[R]: 1 
21-48-15.065000,[R]: 50 
21-48-15.065000,[R]: 2 
21-48-15.075000,[R]: 20 
21-48-15.100000,[R]: 1 
21-48-15.101000,[R]: 50 
21-48-15.134000,[R]: 2 
21-48-15.144000,[R]: 1 
21-48-15.150000,[R]: 50 
21-48-15.151000,[R]: 2 
21-48-15.152000,[R]: 1 
21-48-15.152000,[R]: 50 
21-48-15.155000,[R]: 2 
21-48-15.181000,[R]: 1 
21-48-15.182000,[R]: 50 
21-48-15.183000,[R]: 2 
21-48-15.183000,[R]: 1 
21-48-15.184000,[R]: 50 
21-48-15.184000,[R]: 2 
21-48-15.185000,[R]: 1 
21-48-15.186000,[R]: 50 
21-48-15.198000,[R]: 2 
21-48-15.199000,[R]: 20 
21-48-15.214000,[R]: 1 
21-48-15.214000,[R]: 50 
21-48-15.215000,[R]: 2 
21-48-15.216000,[R]: 1 
21-48-15.216000,[R]: 50 
21-48-15.233000,[R]: 2 
21-48-15.234000,[R]: 1 
21-48-15.238000,[R]: 50 
21-48-15.239000,[R]: 2 
21-48-15.240000,[R]: 1 
21-48-15.240000,[R]: 50 
21-48-15.241000,[R]: 2 
21-48-15.241000,[R]: 1 
21-48-15.249000,[R]: 50 
21-48-15.250000,[R]: 2 
21-48-15.251000,[R]: 1 
21-48-15.251000,[R]: 50 
21-48-15.252000,[R]: 2 
21-48-15.253000,[R]: 20 
21-48-15.264000,[R]: 1 
21-48-15.277000,[R]: 50 
21-48-15.278000,[R]: 2 
21-48-15.278000,[R]: 1 
21-48-15.279000,[R]: 50 
21-48-15.280000,[R]: 2 
21-48-15.280000,[R]: 1 
21-48-15.289000,[R]: 50 
21-48-15.290000,[R]: 2 
21-48-15.291000,[R]: 1 
21-48-15.293000,[R]: 50 
21-48-15.300000,[R]: 2 
21-48-15.309000,[R]: 1 
21-48-15.314000,[R]: 50 
21-48-15.323000,[R]: 2 
21-48-15.347000,[R]: 1 
21-48-15.347000,[R]: 50 
21-48-15.348000,[R]: 2 
21-48-15.351000,[R]: 20 
21-48-15.351000,[R]: 1 
21-48-15.370000,[R]: 50 
21-48-15.374000,[R]: 2 
21-48-15.384000,[R]: 1 
21-48-15.389000,[R]: 50 
21-48-15.398000,[R]: 2 
21-48-15.401000,[R]: 1 
21-48-15.404000,[R]: 50 
21-48-15.407000,[R]: 2 
21-48-15.407000,[R]: 1 
21-48-15.408000,[R]: 50 
21-48-15.410000,[R]: 2 
21-48-15.433000,[R]: 1 
21-48-15.442000,[R]: 50 
21-48-15.448000,[R]: 2 
21-48-15.481000,[R]: 1 
21-48-15.482000,[R]: 50 
21-48-15.483000,[R]: 2 
21-48-15.484000,[R]: 20 
21-48-15.484000,[R]: 1 
21-48-15.485000,[R]: 50 
21-48-15.486000,[R]: 2 
21-48-15.487000,[R]: 1 
21-48-15.495000,[R]: 50 
21-48-15.496000,[R]: 2 
21-48-15.496000,[R]: 1 
21-48-15.497000,[R]: 50 
21-48-15.497000,[R]: 2 
21-48-15.498000,[R]: 1 
21-48-15.498000,[R]: 50 
21-48-15.499000,[R]: 2 
21-48-15.500000,[R]: 1 
21-48-15.501000,[R]: 50 
21-48-15.515000,[R]: 2 
21-48-15.516000,[R]: 1 
21-48-15.516000,[R]: 50 
21-48-15.530000,[R]: 2 
21-48-15.531000,[R]: 20 
21-48-15.546000,[R]: 1 
21-48-15.547000,[R]: 50 
21-48-15.547000,[R]: 2 
21-48-15.561000,[R]: 1 
21-48-15.561000,[R]: 50 
21-48-15.567000,[R]: 2 
21-48-15.568000,[R]: 1 
21-48-15.568000,[R]: 50 
21-48-15.582000,[R]: 2 
21-48-15.599000,[R]: 1 
21-48-15.606000,[R]: 50 
21-48-15.607000,[R]: 2 
21-48-15.607000,[R]: 1 
21-48-15.607000,[R]: 50 
21-48-15.608000,[R]: 2 
21-48-15.608000,[R]: 1 
21-48-15.609000,[R]: 50 
21-48-15.614000,[R]: 2 
21-48-15.615000,[R]: 1 
21-48-15.616000,[R]: 50 
21-48-15.616000,[R]: 2 
21-48-15.617000,[R]: 1 
21-48-15.617000,[R]: 50 
21-48-15.618000,[R]: 2 
21-48-15.619000,[R]: 1 
21-48-15.619000,[R]: 50 
21-48-15.627000,[R]: 20 
21-48-15.628000,[R]: 1 
21-48-15.628000,[R]: 50 
21-48-15.629000,[R]: 2 
21-48-15.629000,[R]: 1 
21-48-15.630000,[R]: 50 
21-48-15.651000,[R]: 2 
21-48-15.652000,[R]: 1 
21-48-15.662000,[R]: 50 
21-48-15.663000,[R]: 2 
21-48-15.663000,[R]: 1 
21-48-15.664000,[R]: 50 
21-48-15.665000,[R]: 2 
21-48-15.669000,[R]: 1 
21-48-15.673000,[R]: 50 
21-48-15.674000,[R]: 2 
21-48-15.693000,[R]: 1 
21-48-15.710000,[R]: 50 
21-48-15.718000,[R]: 2 
21-48-15.719000,[R]: 20 
21-48-15.727000,[R]: 1 
21-48-15.731000,[R]: 50 
21-48-15.748000,[R]: 2 
21-48-15.750000,S 2 	RSSI: 44
21-48-15.750000,[R]: 1 
21-48-15.751000,[R]: 50 
21-48-15.772000,[R]: 2 
21-48-15.774000,S 2 	RSSI: 44
21-48-15.775000,[R]: 1 
21-48-15.788000,[R]: 50 
21-48-15.808000,[R]: 2 
21-48-15.817000,S 2 	RSSI: 44
21-48-15.818000,[R]: 1 
21-48-15.818000,[R]: 50 
21-48-15.823000,[R]: 2 
21-48-15.827000,[R]: 1 
21-48-15.827000,[R]: 50 
21-48-15.828000,[R]: 2 
21-48-15.836000,[R]: 1 
21-48-15.856000,[R]: 50 
21-48-15.860000,[R]: 2 
21-48-15.861000,S 2 	RSSI: 44
21-48-15.861000,[R]: 20 
21-48-15.862000,[R]: 1 
21-48-15.862000,[R]: 50 
21-48-15.862000,[R]: 2 
21-48-15.882000,S 2 	RSSI: 44
21-48-15.882000,[R]: 1 
21-48-15.898000,[R]: 50 
21-48-15.899000,[R]: 2 
21-48-15.900000,S 2 	RSSI: 44
21-48-15.901000,[R]: 1 
21-48-15.901000,[R]: 50 
21-48-15.902000,[R]: 2 
21-48-15.902000,[R]: 1 
21-48-15.903000,[R]: 50 
21-48-15.904000,[R]: 2 
21-48-15.904000,S 2 	RSSI: 44
21-48-15.912000,[R]: 1 
21-48-15.912000,[R]: 50 
21-48-15.940000,[R]: 2 
21-48-15.949000,S 2 	RSSI: 44
21-48-15.950000,[R]: 1 
21-48-15.951000,[R]: 50 
21-48-15.983000,[R]: 2 
21-48-16.025000,S 2 	RSSI: 44
21-48-16.026000,[R]: 20 
21-48-16.065000,[R]: 1 
21-48-16.067000,[R]: 50 
21-48-16.067000,[R]: 2 
21-48-16.068000,S 2 	RSSI: 44
21-48-16.099000,[R]: 1 
21-48-16.123000,[R]: 50 
21-48-16.124000,[R]: 2 
21-48-16.125000,S 2 	RSSI: 44
21-48-16.130000,[R]: 1 
21-48-16.137000,[R]: 50 
21-48-16.139000,[R]: 2 
21-48-16.140000,S 2 	RSSI: 44
21-48-16.160000,[R]: 1 
21-48-16.172000,[R]: 50 
21-48-16.173000,[R]: 2 
21-48-16.173000,S 2 	RSSI: 44
21-48-16.185000,[R]: 1 
21-48-16.188000,[R]: 50 
21-48-16.189000,[R]: 2 
21-48-16.193000,S 2 	RSSI: 44
21-48-16.198000,[R]: 1 
21-48-16.199000,[R]: 50 
21-48-16.200000,[R]: 2 
21-48-16.201000,[R]: 20 
21-48-16.210000,[R]: 1 
21-48-16.211000,[R]: 50 
21-48-16.212000,[R]: 2 
21-48-16.223000,S 2 	RSSI: 44
21-48-16.224000,[R]: 1 
21-48-16.226000,[R]: 50 
21-48-16.236000,[R]: 2 
21-48-16.252000,S 2 	RSSI: 44
21-48-16.252000,[R]: 1 
21-48-16.267000,[R]: 50 
21-48-16.267000,[R]: 2 
21-48-16.274000,S 2 	RSSI: 44
21-48-16.275000,[R]: 1 
21-48-16.277000,[R]: 50 
21-48-16.308000,[R]: 2 
21-48-16.309000,S 2 	RSSI: 44
21-48-16.310000,[R]: 1 
21-48-16.318000,[R]: 50 
21-48-16.323000,[R]: 2 
21-48-16.324000,S 2 	RSSI: 44
21-48-16.324000,[R]: 1 
21-48-16.325000,[R]: 50 
21-48-16.329000,[R]: 2 
21-48-16.329000,S 2 	RSSI: 44
21-48-16.330000,[R]: 20 
21-48-16.330000,[R]: 1 
21-48-16.339000,[R]: 50 
21-48-16.345000,[R]: 2 
21-48-16.370000,S 2 	RSSI: 44
21-48-16.371000,[R]: 1 
21-48-16.372000,[R]: 50 
21-48-16.372000,[R]: 2 
21-48-16.373000,S 2 	RSSI: 44
21-48-16.373000,[R]: 1 
21-48-16.374000,[R]: 50 
21-48-16.374000,[R]: 2 
21-48-16.402000,S 2 	RSSI: 44
21-48-16.421000,[R]: 1 
21-48-16.422000,[R]: 50 
21-48-16.428000,[R]: 2 
21-48-16.441000,[R]: 1 
21-48-16.451000,[R]: 50 
21-48-16.490000,[R]: 2 
21-48-16.492000,S 2 	RSSI: 44
21-48-16.497000,[R]: 1 
21-48-16.497000,[R]: 50 
21-48-16.498000,[R]: 2 
21-48-16.498000,S 2 	RSSI: 44
21-48-16.499000,[R]: 20 
21-48-16.507000,[R]: 1 
21-48-16.513000,[R]: 50 
