13-35.944,"S-0 48 0 0 0 0 0 60 0 0 0 0 0 -48 0 0 0 0 53 0 62 0 0 54 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 61 0 0 0 0 0 0 0 0 72 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -52 0 0 0 0 0 0 73 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 "
13-35.951,"C-1 53-1 63-0 0-0 0-0 0-0 0-0 0-1 67-0 0-0 0-1 67-0 0-0 0"
13-35.996,"S-0 48 0 0 0 0 0 60 0 0 0 0 0 -48 0 0 0 0 53 0 61 0 0 53 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 62 0 0 0 0 0 0 0 0 72 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -52 0 0 0 0 0 0 73 58 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 "
13-36.003,"C-1 53-1 62-0 0-0 0-0 0-0 0-0 0-1 67-0 0-0 0-1 67-0 0-0 0"
13-36.042,"S-0 48 0 0 0 0 0 60 0 0 0 0 0 -48 0 0 0 0 53 0 62 0 0 54 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 61 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -52 0 0 0 0 0 0 73 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 "
13-36.050,"C-1 53-1 62-0 0-0 0-0 0-0 0-0 0-1 66-0 0-0 0-1 66-0 0-0 0"
13-36.094,"S-0 48 0 0 0 0 0 60 0 0 0 0 0 -48 0 0 0 0 53 0 62 0 0 54 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 62 0 0 0 0 0 0 0 0 72 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -52 0 0 0 0 0 0 73 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 "
13-36.101,"C-1 52-1 62-0 0-0 0-0 0-0 0-0 0-1 65-0 0-0 0-1 67-0 0-0 0"
13-36.142,"S-0 48 0 0 0 0 0 60 0 0 0 0 0 -48 0 0 0 0 53 0 62 0 0 54 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 62 0 0 0 0 0 0 0 0 72 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -52 0 0 0 0 0 0 73 59 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 "
13-36.149,"C-1 52-1 62-0 0-0 0-0 0-0 0-0 0-1 65-0 0-0 0-1 67-0 0-0 0"
