23-03-06.055000,"""Scanner enabled\r\n"""
23-03-09.927000,"type 1, info: ---a_new_sensor_enters---"""
23-03-10.826000,"type 2, info: ---a_new_sensor_enters---"""
23-04-04.607000,"type 3, info: ---a_new_sensor_enters---"""
23-04-14.203000,"type 4, info: ---a_new_sensor_enters---"""
23-04-24.917000,"type 5, info: ---a_new_sensor_enters---"""
23-04-40.333000,"type 6, info: ---a_new_sensor_enters---"""
23-04-54.299000,"type 7, info: ---a_new_sensor_enters---"""
23-07-22.970000,"type 8, info: ---a_new_sensor_enters---"""
23-07-23.006000,C 0 0 0 0 0 0 0 0
23-07-23.096000, 0 0 0 0 0 0 0 0
23-07-23.098000, 0 0 0 0 0 0 0 0
23-07-23.100000, 0 0 0 0 0 0 0 0
23-07-23.104000, 0 0 0 0 0 0 0 0
23-07-23.107000, 0 0 0 0 0 0 0 0
23-07-23.117000, 0 0 0 0 0 0 0 0
23-07-23.132000," 0 0 0 0 0 0 0""C 0 0 0 0 0 0 0 0"
23-07-23.140000, 0 0 0 0 0 0 0 0
23-07-23.154000, 0 0 0 0 0 0 0 0
23-07-23.157000, 0 0 0 0 0 0 0 0
23-07-23.162000, 0 0 0 0 0 0 0 0
23-07-23.163000, 0 0 0 0 0 0 0 0
23-07-23.165000, 0 0 0 0 0 0 0 0
23-07-23.166000," 0 0 0 0 0 0 0""C 0 0 0 0 0 0 0 0"
23-07-23.167000, 0 0 0 0 0 0 0 0
23-07-23.167000, 0 0 0 0 0 0 0 0
23-07-23.168000, 0 0 0 0 0 0 0 0
23-07-23.169000, 0 0 0 0 0 0 0 0
23-07-23.170000, 0 0 0 0 0 0 0 0
23-07-23.170000, 0 0 0 0 0 0 0 0
23-07-23.173000," 0 0 0 0 0 0 0""C 0 0 0 0 0 0 0 0"
23-07-23.175000, 0 0 0 0 0 0 0 0
23-07-23.176000, 0 0 0 0 0 0 0 0
23-07-23.176000, 0 0 0 0 0 0 0 0
23-07-23.177000, 0 0 0 0 0 0 0 0
23-07-23.177000, 0 0 0 0 0 0 0 0
23-07-23.178000, 0 0 0 0 0 0 0 0
23-07-23.178000," 0 0 0 0 0 0 0""C 0 0 0 0 0 0 0 0"
23-07-23.179000, 0 0 0 0 0 0 0 0
23-07-23.179000, 0 0 0 0 0 0 0 0
23-07-23.179000, 0 0 0 0 0 0 0 0
23-07-23.181000, 0 0 0 0 0 0 0 0
23-07-23.181000, 0 0 0 0 0 0 0 0
23-07-23.184000, 0 0 0 0 0 0 0 0
23-07-23.208000," 0 0 0 0 0 0 0""C 0 0 0 0 0 0 0 0"
23-07-23.220000, 0 0 0 0 0 0 0 0
23-07-23.221000, 0 0 0 0 0 0 0 0
23-07-23.221000, 0 0 0 0 0 0 0 0
23-07-23.223000, 0 0 0 0 0 0 0 0
23-07-23.223000, 0 0 0 0 0 0 0 0
23-07-23.224000, 0 0 0 0 0 0 0 0
23-07-23.224000," 0 0 0 0 0 0 0""1 55"""
23-07-23.224000,"2 44"""
23-07-23.225000,"5 56"""
23-07-23.235000,"1 55"""
23-07-23.248000,C 2 1 0 0 1 0 0 0
23-07-23.249000, 0 0 0 0 0 0 0 53
23-07-23.250000, 0 0 0 0 0 0 0 0
23-07-23.251000, 0 0 0 0 0 0 0 0
23-07-23.252000, 0 0 0 0 0 0 0 0
23-07-23.253000, 64 44 0 0 0 0 0 0
23-07-23.254000, 0 0 0 0 0 0 0 0
23-07-23.256000," 0 0 0 0 0 ""5 56"""
23-07-23.263000,"8 53"""
23-07-23.272000,"1 55"""
23-07-23.324000,"2 44"""
23-07-23.324000,C 1 1 0 0 1 0 0 1
23-07-23.325000, 0 0 0 0 0 0 0 0
23-07-23.325000, 63 0 0 0 0 0 0 44
23-07-23.326000, 0 0 0 0 0 0 0 0
23-07-23.326000, 0 0 0 0 0 0 0 0
23-07-23.327000, 64 44 0 0 0 0 0 52
23-07-23.328000, 0 0 0 0 0 0 0 0
23-07-23.328000," 0 0 0 0 ""5 56"""
23-07-23.329000,"8 53"""
23-07-23.329000,"1 55"""
23-07-23.333000,"2 44"""
23-07-23.334000,"5 56"""
23-07-23.334000,C 1 1 0 0 2 0 0 1
23-07-23.335000, 0 0 0 0 0 0 0 0
23-07-23.336000, 63 0 0 0 0 0 0 44
23-07-23.337000, 0 0 0 0 0 0 0 0
23-07-23.338000, 0 0 0 0 0 0 0 0
23-07-23.338000, 63 44 0 0 0 0 0 51
23-07-23.339000, 0 0 0 0 0 0 0 0
23-07-23.339000," 0 0 0 0 ""8 52"""
23-07-23.340000,"1 55"""
23-07-23.340000,"2 44"""
23-07-23.347000,"5 56"""
23-07-23.369000,C 1 1 0 0 1 0 0 1
23-07-23.370000, 0 0 0 0 0 0 0 0
23-07-23.371000, 63 0 0 0 0 0 0 0
23-07-23.372000, 0 0 0 0 0 0 0 0
23-07-23.372000, 0 0 0 0 0 0 0 0
23-07-23.373000, 63 44 0 0 0 0 0 51
23-07-23.373000, 0 0 0 0 0 0 0 0
23-07-23.374000," 0 0 0 0 0""8 51"""
23-07-23.374000,"1 55"""
23-07-23.375000,"2 44"""
23-07-23.380000,"5 56"""
23-07-23.393000,"8 51"""
23-07-23.414000,C 1 1 0 0 1 0 0 2
23-07-23.418000, 0 0 0 0 0 0 0 0
23-07-23.419000, 0 0 0 0 0 0 0 0
23-07-23.419000, 0 0 0 0 0 0 0 0
23-07-23.420000, 0 0 0 0 0 0 0 0
23-07-23.421000, 0 44 0 0 0 0 0 48
23-07-23.421000, 0 0 0 0 0 0 0 0
23-07-23.422000," 0 0 0 0 0 0""2 44"""
23-07-23.423000,"3 48"""
23-07-23.423000,"5 56"""
23-07-23.430000,"8 51"""
23-07-23.448000,C 0 1 1 0 1 0 0 1
23-07-23.449000, 0 0 0 0 0 0 0 0
23-07-23.450000, 0 0 0 0 0 0 0 0
23-07-23.452000, 0 0 0 0 0 0 0 0
23-07-23.455000, 0 0 0 0 0 0 0 0
23-07-23.458000, 0 44 0 0 0 0 0 48
23-07-23.459000, 0 0 0 0 0 0 0 0
23-07-23.459000," 0 0 0 0 0 0""2 44"""
23-07-23.460000,"3 48"""
23-07-23.460000,"5 56"""
23-07-23.464000,"8 51"""
23-07-23.467000,"1 55"""
23-07-23.472000,"2 44"""
23-07-23.489000,C 1 2 1 0 1 0 0 1
23-07-23.490000, 0 0 62 0 64 0 0 53
23-07-23.494000, 0 0 0 0 0 0 0 0
23-07-23.496000, 0 0 0 0 0 0 0 0
23-07-23.496000, 0 0 0 0 0 0 0 0
23-07-23.497000, 0 0 0 0 0 0 0 48
23-07-23.498000, 0 0 0 0 0 0 0 0
23-07-23.498000," 0 0 0 0 0""3 48"""
23-07-23.500000,"5 56"""
23-07-23.501000,"4 44"""
23-07-23.506000,"8 51"""
23-07-23.507000,"1 55"""
23-07-23.508000,"6 50"""
23-07-23.510000,"2 44"""
23-07-23.510000,"7 48"""
23-07-23.516000,"3 48"""
23-07-23.533000,C 1 1 2 1 1 1 1 1
23-07-23.544000, 0 63 0 0 0 0 0 55
23-07-23.561000, 0 0 0 44 0 44 0 0
23-07-23.562000, 62 0 0 0 44 0 0 53
23-07-23.562000, 0 0 44 0 0 0 0 0
23-07-23.566000, 62 0 0 0 0 0 0 49
23-07-23.567000, 0 0 0 44 0 0 0 0
23-07-23.567000," 0 ""1 55"""
23-07-23.568000,"5 57"""
23-07-23.570000,"2 44"""
23-07-23.570000,"4 44"""
23-07-23.571000,"7 48"""
23-07-23.572000,"6 50"""
23-07-23.572000,"3 48"""
23-07-23.574000,"8 50"""
23-07-23.574000,"1 55"""
23-07-23.584000,C 2 1 1 1 1 1 1 1
23-07-23.586000, 0 0 0 52 0 47 45 0
23-07-23.587000, 62 0 0 44 0 44 44 0
23-07-23.588000, 0 0 0 0 44 0 0 0
23-07-23.589000, 0 0 0 0 0 0 0 0
23-07-23.589000, 0 0 0 0 0 0 0 0
23-07-23.591000, 0 0 0 44 0 0 54 0
23-07-23.595000," 0 0""2 44"""
23-07-23.596000,"4 44"""
23-07-23.597000,"7 48"""
23-07-23.597000,"6 50"""
23-07-23.598000,"5 56"""
23-07-23.598000,"3 48"""
23-07-23.599000,"1 55"""
23-07-23.599000,"8 51"""
23-07-23.600000,"2 44"""
23-07-23.615000,C 1 2 1 1 1 1 1 1
23-07-23.616000, 0 0 0 52 0 0 45 0
23-07-23.617000, 64 0 0 44 0 0 44 0
23-07-23.617000, 0 0 0 0 44 0 0 53
23-07-23.618000, 0 0 0 0 0 0 0 0
23-07-23.619000, 0 0 0 0 0 0 0 0
23-07-23.620000, 0 0 0 0 0 0 0 0
23-07-23.620000," 0 0 44""7 48"""
23-07-23.621000,"3 48"""
23-07-23.622000,"5 56"""
23-07-23.623000,"8 51"""
23-07-23.625000,"2 44"""
23-07-23.633000,"4 44"""
23-07-23.640000,"7 48"""
23-07-23.653000,C 0 1 1 1 1 0 2 1
23-07-23.654000, 0 0 0 0 0 0 0 0
23-07-23.655000, 63 0 0 44 0 0 44 0
23-07-23.656000, 0 0 0 0 0 0 0 0
23-07-23.657000, 0 44 44 0 0 0 44 0
23-07-23.658000, 0 0 0 0 0 0 0 49
23-07-23.658000, 49 44 0 44 0 0 53 0
23-07-23.659000," 46""6 50"""
23-07-23.659000,"5 56"""
23-07-23.660000,"4 44"""
23-07-23.660000,"8 51"""
23-07-23.666000,"7 48"""
23-07-23.673000,"6 50"""
23-07-23.679000,"3 48"""
23-07-23.692000,C 0 0 1 1 1 2 1 1
23-07-23.703000, 0 0 0 0 0 0 0 0
23-07-23.707000, 0 0 44 0 44 0 0 0
23-07-23.707000, 0 0 0 0 44 0 0 53
23-07-23.708000, 0 0 0 0 0 0 0 0
23-07-23.709000, 62 0 0 0 0 0 0 50
23-07-23.710000, 0 0 0 44 0 0 53 0
23-07-23.710000," 0 0 0""2 44"""
23-07-23.711000,"5 57"""
23-07-23.711000,"8 51"""
23-07-23.713000,"4 44"""
23-07-23.714000,"6 49"""
23-07-23.714000,"7 48"""
23-07-23.715000,"3 48"""
23-07-23.715000,"1 55"""
23-07-23.716000,"2 44"""
23-07-23.716000,"5 56"""
23-07-23.732000,C 1 2 1 1 2 1 1 1
23-07-23.732000, 0 0 0 0 0 0 0 53
23-07-23.733000, 63 0 0 0 44 0 0 44
23-07-23.734000, 0 0 0 0 44 0 0 53
23-07-23.735000, 0 0 0 0 0 0 0 0
23-07-23.735000, 62 44 0 0 0 0 0 50
23-07-23.736000, 0 0 0 44 0 0 0 0
23-07-23.736000," 0 0""1 55"""
23-07-23.739000,"4 44"""
23-07-23.740000,"7 48"""
23-07-23.740000,"3 48"""
23-07-23.744000,"2 44"""
23-07-23.748000,"5 56"""
23-07-23.749000,"8 50"""
23-07-23.754000,"1 55"""
23-07-23.774000,C 2 1 1 1 1 0 1 1
23-07-23.774000, 0 0 0 52 0 0 49 0
23-07-23.775000, 62 0 0 0 0 0 0 0
23-07-23.776000, 63 44 0 0 44 0 0 0
23-07-23.776000, 0 0 0 0 0 0 44 0
23-07-23.777000, 62 44 0 0 0 0 0 0
23-07-23.777000, 0 0 0 44 0 0 53 0
23-07-23.778000," 0 ""4 44"""
23-07-23.778000,"2 44"""
23-07-23.779000,"6 50"""
23-07-23.780000,"3 48"""
23-07-23.780000,"7 48"""
23-07-23.780000,"5 56"""
23-07-23.787000,"1 55"""
23-07-23.791000,"8 50"""
23-07-23.792000,"4 44"""
23-07-23.812000,C 1 1 1 2 1 1 1 1
23-07-23.824000, 0 0 0 54 0 0 45 0
23-07-23.861000, 0 0 0 0 0 0 0 0
23-07-23.870000, 0 0 0 0 0 0 0 0
23-07-23.880000, 0 0 0 0 0 0 44 0
23-07-23.880000, 0 44 44 0 0 0 0 50
23-07-23.881000, 48 0 0 44 0 0 53 0
23-07-23.881000," 0 0 ""6 50"""
23-07-23.882000,"7 48"""
23-07-23.882000,"3 48"""
23-07-23.883000,"5 56"""
23-07-23.883000,"1 55"""
23-07-23.883000,"8 50"""
23-07-23.886000,"4 44"""
23-07-23.886000,"2 44"""
23-07-23.887000,"6 50"""
23-07-23.887000,C 1 1 1 1 1 2 1 1
23-07-23.891000, 0 0 0 52 0 0 45 0
23-07-23.892000, 0 0 0 0 0 0 0 44
23-07-23.893000, 0 0 0 0 0 0 0 53
23-07-23.893000, 0 0 0 0 0 0 44 0
23-07-23.894000, 0 0 44 0 0 0 0 49
23-07-23.894000, 48 0 0 44 0 0 53 0
23-07-23.894000," 0 0""1 55"""
23-07-23.895000,"3 48"""
23-07-23.895000,"5 56"""
23-07-23.895000,"4 44"""
