43-44.489,"1 "
43-44.490,"2 "
43-44.491,"50 "
43-44.555,"1 "
43-44.576,"20 "
43-44.583,"1 "
43-44.584,"20 "
43-44.585,"1 "
43-44.587,"2 "
43-44.624,"50 "
43-44.625,"1 "
43-44.649,"2 "
43-44.650,"50 "
43-44.651,"1 "
43-44.653,"20 "
43-44.654,"1 "
43-44.655,"2 "
43-44.656,"50 "
43-44.707,"1 "
43-44.739,"2 "
43-44.740,"50 "
43-44.741,"1 "
43-44.742,"20 "
43-44.744,"1 "
43-44.777,"20 "
43-44.789,"1 "
43-44.837,"2 "
43-44.870,"50 "
43-44.870,"1 "
43-44.897,"S 1 49"
43-44.905,"2 "
43-44.908,"50 "
43-44.932,"1 "
43-44.934,"S 1 49"
43-44.936,"20 "
43-44.937,"1 "
43-44.947,"S 1 49"
43-44.949,"20 "
43-44.973,"1 "
43-44.975,"S 1 49"
43-44.991,"2 "
43-45.012,"50 "
43-45.022,"1 "
43-45.031,"S 1 49"
43-45.036,"2 "
43-45.056,"50 "
43-45.057,"1 "
43-45.059,"S 1 49"
43-45.068,"20 "
43-45.074,"1 "
43-45.082,"S 1 49"
43-45.097,"20 "
43-45.099,"1 "
43-45.109,"2 "
43-45.111,"50 "
43-45.181,"1 "
43-45.213,"2 "
43-45.256,"50 "
43-45.257,"1 "
43-45.261,"20 "
43-45.262,"1 "
43-45.326,"20 "
43-45.343,"1 "
43-45.345,"S 1 49"
43-45.346,"2 "
43-45.356,"50 "
43-45.357,"1 "
43-45.359,"S 1 49"
43-45.360,"2 "
43-45.380,"50 "
43-45.420,"1 "
43-45.434,"S 1 49"
43-45.435,"20 "
43-45.443,"1 "
43-45.444,"S 1 49"
43-45.452,"20 "
43-45.468,"1 "
43-45.471,"S 1 49"
43-45.473,"2 "
43-45.482,"50 "
43-45.502,"1 "
43-45.503,"S 1 49"
43-45.514,"2 "
43-45.548,"50 "
43-45.563,"1 "
43-45.565,"S 1 49"
43-45.588,"20 "
43-45.589,"1 "
43-45.590,"S 1 49"
43-45.591,"20 "
43-45.621,"1 "
43-45.623,"S 1 49"
43-45.624,"2 "
43-45.626,"50 "
43-45.627,"1 "
43-45.636,"S 1 49"
43-45.637,"2 "
43-45.638,"50 "
43-45.639,"1 "
43-45.642,"S 1 49"
43-45.670,"20 "
