21-23-59.371000,----------------------------
21-24-07.089000,[R]: 20 
21-24-07.093000,[R]: 1 
21-24-07.099000,[R]: 2 
21-24-07.100000,[R]: 50 
21-24-07.102000,[R]: 1 
21-24-07.105000,[R]: 2 
21-24-07.106000,[R]: 50 
21-24-07.122000,[R]: 1 
21-24-07.122000,[R]: 20 
21-24-07.123000,[R]: 1 
21-24-07.123000,[R]: 2 
21-24-07.124000,[R]: 50 
21-24-07.124000,[R]: 1 
21-24-07.125000,[R]: 2 
21-24-07.125000,[R]: 50 
21-24-07.126000,[R]: 1 
21-24-07.129000,[R]: 2 
21-24-07.137000,[R]: 50 
21-24-07.138000,[R]: 1 
21-24-07.139000,[R]: 20 
21-24-07.139000,[R]: 1 
21-24-07.142000,[R]: 2 
21-24-07.143000,[R]: 50 
21-24-07.145000,[R]: 1 
21-24-07.155000,[R]: 2 
21-24-07.158000,[R]: 50 
21-24-07.158000,[R]: 1 
21-24-07.159000,[R]: 20 
21-24-07.160000,[R]: 1 
21-24-07.167000,[R]: 2 
21-24-07.168000,[R]: 50 
21-24-07.169000,[R]: 1 
21-24-07.170000,[R]: 2 
21-24-07.171000,[R]: 50 
21-24-07.174000,[R]: 1 
21-24-07.180000,[R]: 2 
21-24-07.181000,[R]: 50 
21-24-07.182000,[R]: 1 
21-24-07.186000,[R]: 2 
21-24-07.187000,[R]: 50 
21-24-07.189000,[R]: 1 
21-24-07.194000,[R]: 2 
21-24-07.205000,[R]: 50 
21-24-07.210000,[R]: 1 
21-24-07.222000,[R]: 2 
21-24-07.223000,[R]: 50 
21-24-07.225000,[R]: 20 
21-24-07.227000,[R]: 1 
21-24-07.231000,[R]: 2 
21-24-07.232000,[R]: 50 
21-24-07.233000,[R]: 1 
21-24-07.233000,[R]: 2 
21-24-07.233000,[R]: 50 
21-24-07.237000,[R]: 1 
21-24-07.238000,S 1 	RSSI: 51
21-24-07.238000,[R]: 2 
21-24-07.239000,[R]: 50 
21-24-07.239000,[R]: 1 
21-24-07.241000,S 1 	RSSI: 51
21-24-07.242000,[R]: 2 
21-24-07.242000,[R]: 50 
21-24-07.243000,[R]: 1 
21-24-07.243000,S 1 	RSSI: 51
21-24-07.244000,[R]: 2 
21-24-07.245000,[R]: 50 
21-24-07.247000,[R]: 1 
21-24-07.253000,[R]: 2 
21-24-07.260000,[R]: 50 
21-24-07.261000,[R]: 20 
21-24-07.262000,[R]: 1 
21-24-07.263000,[R]: 2 
21-24-07.264000,[R]: 50 
21-24-07.266000,[R]: 1 
21-24-07.266000,S 1 	RSSI: 51
21-24-07.272000,[R]: 2 
21-24-07.272000,[R]: 50 
21-24-07.274000,[R]: 1 
