20-01-50.037000,--------------------------------
20-01-54.589000,S 1 	RSSI: 46
20-01-54.590000,[R]: 2 
20-01-54.592000,[R]: 50 
20-01-54.592000,[R]: 1 
20-01-54.599000,[R]: 20 
20-01-54.600000,[R]: 1 
20-01-54.602000,[R]: 2 
20-01-54.602000,[R]: 50 
20-01-54.603000,S 1 	RSSI: 46
20-01-54.605000,[R]: 1 
20-01-54.608000,[R]: 2 
20-01-54.614000,[R]: 50 
20-01-54.615000,S 1 	RSSI: 46
20-01-54.616000,[R]: 1 
20-01-54.616000,[R]: 20 
20-01-54.616000,[R]: 1 
20-01-54.618000,S 1 	RSSI: 46
20-01-54.619000,[R]: 2 
20-01-54.620000,[R]: 50 
20-01-54.620000,[R]: 1 
20-01-54.622000,S 1 	RSSI: 46
20-01-54.622000,[R]: 2 
20-01-54.623000,[R]: 50 
20-01-54.623000,[R]: 1 
20-01-54.624000,S 1 	RSSI: 46
20-01-54.625000,[R]: 2 
20-01-54.625000,[R]: 50 
20-01-54.626000,[R]: 1 
20-01-54.626000,S 1 	RSSI: 46
20-01-54.629000,[R]: 2 
20-01-54.635000,[R]: 50 
20-01-54.635000,[R]: 1 
20-01-54.636000,S 1 	RSSI: 46
20-01-54.636000,[R]: 2 
20-01-54.637000,[R]: 50 
20-01-54.639000,[R]: 1 
20-01-54.640000,S 1 	RSSI: 46
20-01-54.641000,[R]: 2 
20-01-54.642000,[R]: 50 
20-01-54.647000,[R]: 20 
20-01-54.650000,[R]: 1 
20-01-54.651000,S 1 	RSSI: 45
20-01-54.652000,[R]: 2 
20-01-54.652000,[R]: 50 
20-01-54.653000,[R]: 1 
20-01-54.653000,S 1 	RSSI: 45
20-01-54.654000,[R]: 2 
20-01-54.654000,[R]: 50 
20-01-54.655000,[R]: 1 
20-01-54.655000,S 1 	RSSI: 46
20-01-54.660000,[R]: 2 
20-01-54.660000,[R]: 50 
20-01-54.661000,[R]: 1 
20-01-54.662000,S 1 	RSSI: 45
20-01-54.662000,[R]: 2 
20-01-54.670000,[R]: 50 
20-01-54.670000,[R]: 1 
20-01-54.671000,S 1 	RSSI: 45
20-01-54.675000,[R]: 2 
