20-01-50.037000,-------------------------------- 
20-01-59.365000,[R]: 50 
20-01-59.367000,[R]: 1 
20-01-59.369000,S 1 	RSSI: 46
20-01-59.371000,[R]: 2 
20-01-59.372000,[R]: 50 
20-01-59.374000,[R]: 1 
20-01-59.377000,S 1 	RSSI: 46
20-01-59.379000,[R]: 2 
20-01-59.381000,[R]: 50 
20-01-59.383000,[R]: 1 
20-01-59.385000,S 1 	RSSI: 46
20-01-59.388000,[R]: 2 
20-01-59.389000,[R]: 50 
20-01-59.391000,[R]: 1 
20-01-59.393000,S 1 	RSSI: 46
20-01-59.397000,[R]: 2 
20-01-59.399000,[R]: 50 
20-01-59.400000,[R]: 20 
20-01-59.406000,[R]: 1 
20-01-59.407000,S 1 	RSSI: 46
20-01-59.407000,[R]: 2 
20-01-59.408000,[R]: 50 
20-01-59.408000,[R]: 1 
20-01-59.410000,S 1 	RSSI: 46
20-01-59.414000,[R]: 2 
20-01-59.416000,[R]: 50 
20-01-59.417000,[R]: 1 
20-01-59.419000,S 1 	RSSI: 46
20-01-59.421000,[R]: 2 
20-01-59.422000,[R]: 50 
20-01-59.425000,[R]: 1 
20-01-59.427000,S 1 	RSSI: 46
20-01-59.430000,[R]: 2 
20-01-59.430000,[R]: 50 
20-01-59.433000,[R]: 1 
20-01-59.439000,S 1 	RSSI: 46
20-01-59.440000,[R]: 2 
20-01-59.440000,[R]: 50 
20-01-59.443000,[R]: 1 
20-01-59.444000,S 1 	RSSI: 46
20-01-59.447000,[R]: 2 
20-01-59.450000,[R]: 50 
20-01-59.451000,[R]: 20 
20-01-59.451000,[R]: 1 
20-01-59.452000,S 1 	RSSI: 46
20-01-59.454000,[R]: 2 
20-01-59.455000,[R]: 50 
20-01-59.458000,[R]: 1 
20-01-59.461000,S 1 	RSSI: 46
20-01-59.463000,[R]: 2 
20-01-59.466000,[R]: 50 
20-01-59.466000,[R]: 1 
20-01-59.469000,S 1 	RSSI: 46
20-01-59.477000,[R]: 2 
20-01-59.478000,[R]: 50 
20-01-59.480000,[R]: 1 
20-01-59.481000,S 1 	RSSI: 46
20-01-59.481000,[R]: 2 
20-01-59.482000,[R]: 50 
20-01-59.483000,[R]: 1 
20-01-59.485000,S 1 	RSSI: 46
20-01-59.489000,[R]: 2 
20-01-59.489000,[R]: 50 
20-01-59.491000,[R]: 1 
20-01-59.493000,S 1 	RSSI: 46
20-01-59.497000,[R]: 2 
20-01-59.498000,[R]: 50 
20-01-59.499000,[R]: 20 
20-01-59.500000,[R]: 1 
20-01-59.504000,S 1 	RSSI: 46
20-01-59.505000,[R]: 2 
20-01-59.505000,[R]: 50 
20-01-59.508000,[R]: 1 
20-01-59.511000,S 1 	RSSI: 46
20-01-59.513000,[R]: 2 
20-01-59.515000,[R]: 50 
20-01-59.516000,[R]: 1 
20-01-59.518000,S 1 	RSSI: 46
20-01-59.521000,[R]: 2 
20-01-59.522000,[R]: 50 
20-01-59.526000,[R]: 1 
20-01-59.527000,S 1 	RSSI: 46
20-01-59.530000,[R]: 2 
20-01-59.530000,[R]: 50 
20-01-59.533000,[R]: 1 
20-01-59.536000,S 1 	RSSI: 46
20-01-59.537000,[R]: 2 
20-01-59.538000,[R]: 50 
20-01-59.541000,[R]: 1 
20-01-59.543000,S 1 	RSSI: 46
20-01-59.546000,[R]: 2 
20-01-59.547000,[R]: 50 
20-01-59.548000,[R]: 20 
20-01-59.550000,[R]: 1 
20-01-59.553000,S 1 	RSSI: 46
20-01-59.555000,[R]: 2 
20-01-59.555000,[R]: 50 
20-01-59.558000,[R]: 1 
20-01-59.560000,S 1 	RSSI: 46
20-01-59.563000,[R]: 2 
20-01-59.564000,[R]: 50 
20-01-59.566000,[R]: 1 
20-01-59.571000,[R]: 2 
20-01-59.574000,[R]: 50 
20-01-59.574000,[R]: 1 
20-01-59.576000,S 1 	RSSI: 46
20-01-59.579000,[R]: 2 
20-01-59.581000,[R]: 50 
20-01-59.586000,S 1 	RSSI: 46
20-01-59.587000,[R]: 1 
20-01-59.589000,[R]: 2 
20-01-59.590000,[R]: 50 
20-01-59.590000,S 1 	RSSI: 46
20-01-59.591000,[R]: 1 
20-01-59.597000,[R]: 2 
20-01-59.598000,[R]: 50 
20-01-59.598000,S 1 	RSSI: 46
20-01-59.600000,[R]: 1 
20-01-59.605000,[R]: 2 
20-01-59.607000,[R]: 50 
20-01-59.607000,S 1 	RSSI: 46
20-01-59.608000,[R]: 1 
20-01-59.614000,[R]: 2 
20-01-59.615000,[R]: 50 
20-01-59.615000,S 1 	RSSI: 46
20-01-59.616000,[R]: 1 
20-01-59.617000,[R]: 20 
20-01-59.620000,[R]: 1 
20-01-59.626000,S 1 	RSSI: 46
20-01-59.627000,[R]: 2 
20-01-59.627000,[R]: 50 
20-01-59.628000,[R]: 1 
20-01-59.631000,S 1 	RSSI: 46
20-01-59.634000,[R]: 2 
20-01-59.638000,[R]: 50 
20-01-59.638000,[R]: 1 
20-01-59.639000,S 1 	RSSI: 46
20-01-59.642000,[R]: 2 
20-01-59.642000,[R]: 50 
20-01-59.646000,[R]: 1 
20-01-59.649000,S 1 	RSSI: 46
20-01-59.650000,[R]: 2 
20-01-59.651000,[R]: 50 
20-01-59.654000,[R]: 1 
20-01-59.656000,S 1 	RSSI: 46
20-01-59.659000,[R]: 2 
20-01-59.659000,[R]: 50 
20-01-59.662000,[R]: 1 
20-01-59.664000,S 1 	RSSI: 46
20-01-59.668000,[R]: 2 
20-01-59.669000,[R]: 50 
20-01-59.669000,[R]: 20 
20-01-59.670000,[R]: 1 
20-01-59.672000,S 1 	RSSI: 46
20-01-59.676000,[R]: 2 
20-01-59.677000,[R]: 50 
20-01-59.678000,[R]: 1 
20-01-59.681000,S 1 	RSSI: 46
20-01-59.684000,[R]: 2 
20-01-59.685000,[R]: 50 
20-01-59.687000,[R]: 1 
20-01-59.689000,S 1 	RSSI: 46
20-01-59.692000,[R]: 2 
20-01-59.693000,[R]: 50 
20-01-59.695000,[R]: 1 
20-01-59.699000,S 1 	RSSI: 46
20-01-59.700000,[R]: 2 
20-01-59.701000,[R]: 50 
20-01-59.704000,[R]: 1 
20-01-59.706000,S 1 	RSSI: 46
20-01-59.709000,[R]: 2 
20-01-59.710000,[R]: 50 
20-01-59.712000,[R]: 1 
20-01-59.718000,[R]: 2 
20-01-59.724000,[R]: 50 
20-01-59.724000,[R]: 20 
20-01-59.725000,[R]: 1 
20-01-59.725000,S 1 	RSSI: 46
20-01-59.726000,[R]: 2 
20-01-59.727000,[R]: 50 
20-01-59.728000,[R]: 1 
20-01-59.731000,S 1 	RSSI: 46
20-01-59.735000,[R]: 2 
20-01-59.735000,[R]: 50 
20-01-59.737000,[R]: 1 
20-01-59.740000,S 1 	RSSI: 46
20-01-59.742000,[R]: 2 
20-01-59.744000,[R]: 50 
20-01-59.744000,[R]: 1 
20-01-59.747000,S 1 	RSSI: 46
20-01-59.749000,[R]: 2 
20-01-59.750000,[R]: 50 
20-01-59.753000,[R]: 1 
20-01-59.755000,S 1 	RSSI: 46
20-01-59.757000,[R]: 2 
20-01-59.763000,[R]: 50 
20-01-59.763000,[R]: 1 
20-01-59.764000,S 1 	RSSI: 46
20-01-59.767000,[R]: 2 
20-01-59.768000,[R]: 50 
20-01-59.771000,[R]: 20 
20-01-59.773000,[R]: 1 
20-01-59.774000,S 1 	RSSI: 46
20-01-59.774000,[R]: 2 
20-01-59.775000,[R]: 50 
20-01-59.777000,[R]: 1 
20-01-59.779000,S 1 	RSSI: 47
20-01-59.782000,[R]: 2 
20-01-59.789000,[R]: 50 
20-01-59.790000,[R]: 1 
20-01-59.790000,S 1 	RSSI: 47
20-01-59.794000,[R]: 2 
20-01-59.794000,[R]: 50 
20-01-59.795000,[R]: 1 
20-01-59.796000,S 1 	RSSI: 47
20-01-59.800000,[R]: 2 
20-01-59.802000,[R]: 50 
20-01-59.803000,S 1 	RSSI: 47
20-01-59.803000,[R]: 1 
20-01-59.808000,[R]: 2 
20-01-59.811000,[R]: 50 
20-01-59.812000,S 1 	RSSI: 47
20-01-59.813000,[R]: 1 
20-01-59.816000,[R]: 2 
20-01-59.817000,[R]: 50 
20-01-59.820000,S 1 	RSSI: 47
20-01-59.824000,[R]: 1 
20-01-59.825000,[R]: 2 
20-01-59.825000,[R]: 50 
20-01-59.826000,S 1 	RSSI: 47
20-01-59.827000,[R]: 1 
20-01-59.833000,[R]: 2 
20-01-59.834000,[R]: 50 
20-01-59.835000,S 1 	RSSI: 47
20-01-59.835000,[R]: 1 
20-01-59.841000,[R]: 2 
20-01-59.843000,[R]: 50 
20-01-59.843000,S 1 	RSSI: 47
20-01-59.844000,[R]: 1 
20-01-59.848000,[R]: 2 
20-01-59.853000,[R]: 50 
20-01-59.854000,S 1 	RSSI: 47
20-01-59.854000,[R]: 1 
20-01-59.858000,[R]: 2 
20-01-59.859000,[R]: 50 
20-01-59.860000,S 1 	RSSI: 47
20-01-59.861000,[R]: 1 
20-01-59.866000,[R]: 2 
20-01-59.869000,[R]: 50 
20-01-59.869000,S 1 	RSSI: 47
20-01-59.870000,[R]: 1 
20-01-59.875000,[R]: 2 
20-01-59.875000,[R]: 50 
20-01-59.876000,S 1 	RSSI: 47
20-01-59.878000,[R]: 1 
20-01-59.883000,[R]: 2 
20-01-59.887000,[R]: 50 
20-01-59.887000,S 1 	RSSI: 47
20-01-59.889000,[R]: 1 
20-01-59.889000,[R]: 20 
20-01-59.890000,[R]: 1 
20-01-59.892000,S 1 	RSSI: 47
20-01-59.895000,[R]: 2 
20-01-59.900000,[R]: 50 
20-01-59.900000,[R]: 1 
20-01-59.901000,S 1 	RSSI: 47
20-01-59.903000,[R]: 2 
20-01-59.904000,[R]: 50 
20-01-59.907000,[R]: 1 
20-01-59.913000,S 1 	RSSI: 47
20-01-59.914000,[R]: 2 
20-01-59.915000,[R]: 50 
20-01-59.915000,[R]: 1 
20-01-59.918000,S 1 	RSSI: 47
20-01-59.920000,[R]: 2 
20-01-59.920000,[R]: 50 
20-01-59.924000,[R]: 1 
20-01-59.925000,S 1 	RSSI: 47
20-01-59.928000,[R]: 2 
20-01-59.928000,[R]: 50 
20-01-59.932000,[R]: 1 
20-01-59.934000,S 1 	RSSI: 47
20-01-59.938000,[R]: 2 
20-01-59.938000,[R]: 50 
20-01-59.939000,[R]: 20 
20-01-59.940000,[R]: 1 
20-01-59.942000,S 1 	RSSI: 48
20-01-59.947000,[R]: 2 
20-01-59.947000,[R]: 50 
20-01-59.948000,[R]: 1 
20-01-59.951000,S 1 	RSSI: 47
20-01-59.954000,[R]: 2 
20-01-59.956000,[R]: 50 
20-01-59.957000,[R]: 1 
20-01-59.959000,S 1 	RSSI: 47
20-01-59.962000,[R]: 2 
20-01-59.963000,[R]: 50 
20-01-59.965000,[R]: 1 
20-01-59.967000,S 1 	RSSI: 48
20-01-59.970000,[R]: 2 
20-01-59.971000,[R]: 50 
20-01-59.974000,[R]: 1 
20-01-59.976000,S 1 	RSSI: 47
20-01-59.979000,[R]: 2 
20-01-59.982000,[R]: 50 
20-01-59.983000,[R]: 1 
20-01-59.984000,S 1 	RSSI: 47
20-01-59.988000,[R]: 2 
20-01-59.990000,[R]: 50 
20-01-59.993000,[R]: 20 
20-01-59.993000,[R]: 1 
20-01-59.994000,S 1 	RSSI: 47
20-01-59.995000,[R]: 2 
20-01-59.995000,[R]: 50 
20-01-59.998000,[R]: 1 
20-02-00.001000,S 1 	RSSI: 47
20-02-00.019000,[R]: 2 
20-02-00.024000,[R]: 50 
20-02-00.034000,[R]: 1 
20-02-00.035000,S 1 	RSSI: 47
20-02-00.036000,[R]: 2 
20-02-00.036000,[R]: 50 
20-02-00.038000,[R]: 1 
20-02-00.039000,S 1 	RSSI: 47
20-02-00.039000,[R]: 2 
20-02-00.040000,[R]: 50 
20-02-00.041000,[R]: 1 
20-02-00.041000,S 1 	RSSI: 47
20-02-00.042000,[R]: 2 
20-02-00.042000,[R]: 50 
20-02-00.043000,[R]: 1 
20-02-00.043000,S 1 	RSSI: 47
20-02-00.044000,[R]: 2 
20-02-00.052000,[R]: 50 
20-02-00.053000,[R]: 20 
20-02-00.053000,[R]: 1 
20-02-00.054000,S 1 	RSSI: 47
20-02-00.054000,[R]: 2 
20-02-00.055000,[R]: 50 
20-02-00.055000,[R]: 1 
20-02-00.056000,S 1 	RSSI: 47
20-02-00.056000,[R]: 2 
20-02-00.057000,[R]: 50 
20-02-00.057000,[R]: 1 
20-02-00.059000,S 1 	RSSI: 47
20-02-00.061000,[R]: 2 
20-02-00.064000,[R]: 50 
20-02-00.065000,[R]: 1 
20-02-00.067000,S 1 	RSSI: 47
20-02-00.071000,[R]: 2 
20-02-00.073000,[R]: 50 
20-02-00.073000,S 1 	RSSI: 47
20-02-00.074000,[R]: 1 
20-02-00.079000,[R]: 2 
20-02-00.084000,[R]: 50 
20-02-00.085000,S 1 	RSSI: 47
20-02-00.085000,[R]: 1 
20-02-00.087000,[R]: 2 
20-02-00.088000,[R]: 50 
20-02-00.088000,S 1 	RSSI: 47
20-02-00.090000,[R]: 1 
20-02-00.095000,[R]: 2 
20-02-00.096000,[R]: 50 
20-02-00.098000,S 1 	RSSI: 47
20-02-00.099000,[R]: 1 
20-02-00.104000,[R]: 2 
20-02-00.105000,[R]: 50 
20-02-00.105000,S 1 	RSSI: 47
20-02-00.106000,[R]: 1 
20-02-00.107000,[R]: 20 
20-02-00.110000,[R]: 1 
20-02-00.114000,S 1 	RSSI: 47
20-02-00.115000,[R]: 2 
20-02-00.116000,[R]: 50 
20-02-00.117000,[R]: 1 
20-02-00.120000,S 1 	RSSI: 47
20-02-00.123000,[R]: 2 
20-02-00.124000,[R]: 50 
20-02-00.126000,[R]: 1 
20-02-00.129000,S 1 	RSSI: 47
20-02-00.134000,[R]: 2 
20-02-00.135000,[R]: 50 
20-02-00.135000,[R]: 1 
20-02-00.137000,S 1 	RSSI: 47
20-02-00.139000,[R]: 2 
20-02-00.140000,[R]: 50 
20-02-00.143000,[R]: 1 
20-02-00.146000,S 1 	RSSI: 48
20-02-00.148000,[R]: 2 
20-02-00.150000,[R]: 50 
20-02-00.151000,[R]: 1 
20-02-00.153000,S 1 	RSSI: 47
20-02-00.157000,[R]: 2 
20-02-00.168000,[R]: 50 
20-02-00.168000,[R]: 20 
20-02-00.169000,[R]: 1 
20-02-00.169000,S 1 	RSSI: 47
20-02-00.170000,[R]: 2 
20-02-00.171000,[R]: 50 
20-02-00.171000,[R]: 1 
20-02-00.174000,S 1 	RSSI: 47
20-02-00.175000,[R]: 2 
20-02-00.175000,[R]: 50 
20-02-00.178000,[R]: 1 
20-02-00.180000,S 1 	RSSI: 47
20-02-00.181000,[R]: 2 
20-02-00.182000,[R]: 50 
20-02-00.184000,[R]: 1 
20-02-00.186000,S 1 	RSSI: 47
20-02-00.190000,[R]: 2 
20-02-00.191000,[R]: 50 
20-02-00.192000,S 1 	RSSI: 47
20-02-00.193000,[R]: 1 
20-02-00.198000,[R]: 2 
20-02-00.199000,[R]: 50 
20-02-00.200000,S 1 	RSSI: 47
20-02-00.201000,[R]: 1 
20-02-00.206000,[R]: 2 
20-02-00.208000,[R]: 50 
20-02-00.208000,S 1 	RSSI: 47
20-02-00.209000,[R]: 1 
20-02-00.215000,[R]: 2 
20-02-00.215000,[R]: 50 
20-02-00.222000,S 1 	RSSI: 47
20-02-00.223000,[R]: 1 
20-02-00.223000,[R]: 2 
20-02-00.224000,[R]: 50 
20-02-00.224000,S 1 	RSSI: 47
20-02-00.225000,[R]: 1 
20-02-00.226000,[R]: 20 
20-02-00.230000,[R]: 1 
20-02-00.232000,S 1 	RSSI: 47
20-02-00.234000,[R]: 2 
20-02-00.239000,[R]: 50 
20-02-00.240000,[R]: 1 
20-02-00.240000,S 1 	RSSI: 47
20-02-00.243000,[R]: 2 
20-02-00.244000,[R]: 50 
20-02-00.246000,[R]: 1 
20-02-00.249000,S 1 	RSSI: 47
20-02-00.251000,[R]: 2 
20-02-00.254000,[R]: 50 
20-02-00.255000,[R]: 1 
20-02-00.257000,S 1 	RSSI: 47
20-02-00.260000,[R]: 2 
20-02-00.260000,[R]: 50 
20-02-00.264000,[R]: 1 
20-02-00.268000,S 1 	RSSI: 47
20-02-00.269000,[R]: 2 
20-02-00.270000,[R]: 50 
20-02-00.271000,[R]: 1 
20-02-00.278000,[R]: 2 
20-02-00.279000,[R]: 50 
20-02-00.280000,[R]: 20 
20-02-00.281000,[R]: 1 
20-02-00.281000,S 1 	RSSI: 47
20-02-00.285000,[R]: 2 
20-02-00.286000,[R]: 50 
20-02-00.288000,[R]: 1 
20-02-00.290000,S 1 	RSSI: 47
20-02-00.293000,[R]: 2 
20-02-00.293000,[R]: 50 
20-02-00.296000,[R]: 1 
20-02-00.298000,S 1 	RSSI: 47
20-02-00.301000,[R]: 2 
20-02-00.302000,[R]: 50 
20-02-00.304000,[R]: 1 
20-02-00.307000,S 1 	RSSI: 47
20-02-00.311000,[R]: 2 
20-02-00.311000,[R]: 50 
20-02-00.313000,S 1 	RSSI: 47
20-02-00.315000,[R]: 1 
20-02-00.319000,[R]: 2 
20-02-00.320000,[R]: 50 
20-02-00.320000,S 1 	RSSI: 47
20-02-00.321000,[R]: 1 
20-02-00.327000,[R]: 2 
20-02-00.327000,[R]: 50 
20-02-00.328000,S 1 	RSSI: 47
20-02-00.330000,[R]: 1 
20-02-00.335000,[R]: 2 
20-02-00.336000,[R]: 50 
20-02-00.337000,S 1 	RSSI: 47
20-02-00.338000,[R]: 1 
20-02-00.344000,[R]: 2 
20-02-00.350000,[R]: 50 
20-02-00.350000,S 1 	RSSI: 47
20-02-00.351000,[R]: 1 
20-02-00.352000,[R]: 2 
20-02-00.353000,[R]: 50 
20-02-00.353000,S 1 	RSSI: 48
20-02-00.354000,[R]: 1 
20-02-00.359000,[R]: 2 
20-02-00.361000,[R]: 50 
20-02-00.362000,S 1 	RSSI: 47
20-02-00.365000,[R]: 1 
20-02-00.369000,[R]: 2 
20-02-00.371000,[R]: 50 
20-02-00.372000,S 1 	RSSI: 47
20-02-00.372000,[R]: 1 
20-02-00.377000,[R]: 2 
20-02-00.381000,[R]: 50 
20-02-00.382000,S 1 	RSSI: 48
20-02-00.382000,[R]: 1 
20-02-00.385000,[R]: 2 
20-02-00.385000,[R]: 50 
20-02-00.386000,S 1 	RSSI: 47
20-02-00.388000,[R]: 1 
20-02-00.394000,[R]: 2 
20-02-00.397000,[R]: 50 
20-02-00.397000,S 1 	RSSI: 47
20-02-00.398000,[R]: 1 
20-02-00.398000,[R]: 20 
20-02-00.400000,[R]: 1 
20-02-00.402000,S 1 	RSSI: 47
20-02-00.405000,[R]: 2 
20-02-00.406000,[R]: 50 
20-02-00.408000,[R]: 1 
20-02-00.410000,S 1 	RSSI: 47
20-02-00.413000,[R]: 2 
20-02-00.414000,[R]: 50 
20-02-00.416000,[R]: 1 
20-02-00.420000,S 1 	RSSI: 47
20-02-00.421000,[R]: 2 
20-02-00.422000,[R]: 50 
20-02-00.425000,[R]: 1 
20-02-00.427000,S 1 	RSSI: 47
20-02-00.431000,[R]: 2 
20-02-00.438000,[R]: 50 
20-02-00.438000,S 1 	RSSI: 47
20-02-00.439000,[R]: 1 
20-02-00.440000,[R]: 2 
20-02-00.440000,[R]: 50 
20-02-00.441000,S 1 	RSSI: 47
20-02-00.442000,[R]: 1 
20-02-00.446000,[R]: 2 
20-02-00.449000,[R]: 50 
20-02-00.450000,[R]: 20 
20-02-00.451000,[R]: 1 
20-02-00.455000,[R]: 2 
20-02-00.457000,[R]: 50 
20-02-00.458000,S 1 	RSSI: 48
20-02-00.458000,[R]: 1 
20-02-00.464000,[R]: 2 
20-02-00.473000,[R]: 50 
20-02-00.473000,S 1 	RSSI: 47
20-02-00.474000,[R]: 1 
20-02-00.474000,[R]: 20 
20-02-00.475000,[R]: 1 
20-02-00.476000,S 1 	RSSI: 47
20-02-00.480000,[R]: 2 
20-02-00.481000,[R]: 50 
20-02-00.481000,[R]: 1 
20-02-00.485000,S 1 	RSSI: 47
20-02-00.485000,[R]: 2 
20-02-00.488000,[R]: 50 
20-02-00.488000,[R]: 1 
20-02-00.489000,S 1 	RSSI: 47
20-02-00.491000,[R]: 2 
20-02-00.492000,[R]: 50 
20-02-00.495000,[R]: 1 
20-02-00.496000,S 1 	RSSI: 48
20-02-00.499000,[R]: 2 
20-02-00.500000,[R]: 50 
20-02-00.503000,[R]: 1 
20-02-00.505000,S 1 	RSSI: 47
20-02-00.509000,[R]: 2 
20-02-00.544000,[R]: 50 
20-02-00.551000,[R]: 1 
20-02-00.551000,S 1 	RSSI: 47
20-02-00.553000,[R]: 2 
20-02-00.553000,[R]: 50 
20-02-00.555000,[R]: 20 
20-02-00.555000,[R]: 1 
20-02-00.556000,S 1 	RSSI: 47
20-02-00.556000,[R]: 2 
20-02-00.557000,[R]: 50 
20-02-00.557000,[R]: 1 
20-02-00.558000,S 1 	RSSI: 47
20-02-00.559000,[R]: 2 
20-02-00.559000,[R]: 50 
20-02-00.560000,[R]: 1 
20-02-00.561000,S 1 	RSSI: 47
20-02-00.564000,[R]: 2 
20-02-00.564000,[R]: 50 
20-02-00.565000,[R]: 1 
20-02-00.565000,S 1 	RSSI: 47
20-02-00.566000,[R]: 2 
20-02-00.569000,[R]: 50 
20-02-00.571000,S 1 	RSSI: 47
20-02-00.572000,[R]: 1 
20-02-00.572000,[R]: 2 
20-02-00.574000,[R]: 50 
20-02-00.575000,S 1 	RSSI: 47
20-02-00.575000,[R]: 1 
20-02-00.576000,[R]: 2 
20-02-00.576000,[R]: 50 
20-02-00.577000,S 1 	RSSI: 47
20-02-00.577000,[R]: 1 
20-02-00.578000,[R]: 2 
20-02-00.580000,[R]: 50 
20-02-00.581000,S 1 	RSSI: 47
20-02-00.582000,[R]: 1 
20-02-00.583000,[R]: 2 
20-02-00.587000,[R]: 50 
20-02-00.587000,S 1 	RSSI: 47
20-02-00.590000,[R]: 1 
20-02-00.591000,[R]: 2 
20-02-00.592000,[R]: 50 
20-02-00.593000,S 1 	RSSI: 47
20-02-00.593000,[R]: 1 
20-02-00.598000,[R]: 2 
20-02-00.600000,[R]: 50 
20-02-00.601000,S 1 	RSSI: 47
20-02-00.602000,[R]: 1 
20-02-00.608000,[R]: 2 
20-02-00.609000,[R]: 50 
20-02-00.610000,S 1 	RSSI: 47
20-02-00.616000,[R]: 1 
20-02-00.617000,[R]: 2 
20-02-00.617000,[R]: 50 
20-02-00.618000,S 1 	RSSI: 47
20-02-00.619000,[R]: 1 
20-02-00.624000,[R]: 2 
20-02-00.626000,[R]: 50 
20-02-00.630000,S 1 	RSSI: 47
20-02-00.631000,[R]: 1 
20-02-00.633000,[R]: 2 
20-02-00.634000,[R]: 50 
20-02-00.634000,S 1 	RSSI: 47
20-02-00.637000,[R]: 1 
20-02-00.637000,[R]: 20 
20-02-00.639000,[R]: 1 
20-02-00.641000,S 1 	RSSI: 47
20-02-00.645000,[R]: 2 
20-02-00.647000,[R]: 50 
20-02-00.648000,[R]: 1 
20-02-00.650000,S 1 	RSSI: 47
20-02-00.653000,[R]: 2 
20-02-00.653000,[R]: 50 
20-02-00.656000,[R]: 1 
20-02-00.659000,S 1 	RSSI: 48
20-02-00.661000,[R]: 2 
20-02-00.661000,[R]: 50 
20-02-00.665000,[R]: 1 
20-02-00.667000,S 1 	RSSI: 47
20-02-00.671000,[R]: 2 
20-02-00.671000,[R]: 50 
20-02-00.672000,S 1 	RSSI: 47
20-02-00.673000,[R]: 1 
20-02-00.679000,[R]: 2 
20-02-00.680000,[R]: 50 
20-02-00.681000,S 1 	RSSI: 47
20-02-00.681000,[R]: 1 
20-02-00.687000,[R]: 2 
20-02-00.688000,[R]: 50 
20-02-00.688000,S 1 	RSSI: 47
20-02-00.690000,[R]: 1 
20-02-00.695000,[R]: 2 
20-02-00.697000,[R]: 50 
20-02-00.698000,S 1 	RSSI: 47
20-02-00.699000,[R]: 1 
20-02-00.704000,[R]: 2 
20-02-00.706000,[R]: 50 
20-02-00.707000,S 1 	RSSI: 47
20-02-00.709000,[R]: 1 
20-02-00.710000,[R]: 20 
20-02-00.710000,[R]: 1 
20-02-00.712000,S 1 	RSSI: 47
20-02-00.715000,[R]: 2 
20-02-00.716000,[R]: 50 
20-02-00.718000,[R]: 1 
20-02-00.721000,S 1 	RSSI: 47
20-02-00.724000,[R]: 2 
20-02-00.725000,[R]: 50 
20-02-00.727000,[R]: 1 
20-02-00.729000,S 1 	RSSI: 47
20-02-00.732000,[R]: 2 
20-02-00.732000,[R]: 50 
20-02-00.735000,[R]: 1 
20-02-00.737000,S 1 	RSSI: 47
20-02-00.740000,[R]: 2 
20-02-00.740000,[R]: 50 
20-02-00.743000,[R]: 1 
20-02-00.745000,S 1 	RSSI: 47
20-02-00.748000,[R]: 2 
20-02-00.749000,[R]: 50 
20-02-00.752000,[R]: 1 
20-02-00.755000,S 1 	RSSI: 47
20-02-00.757000,[R]: 2 
20-02-00.757000,[R]: 50 
20-02-00.760000,[R]: 1 
20-02-00.762000,S 1 	RSSI: 48
20-02-00.765000,[R]: 2 
20-02-00.766000,[R]: 50 
20-02-00.768000,[R]: 1 
20-02-00.770000,S 1 	RSSI: 47
20-02-00.773000,[R]: 2 
20-02-00.777000,[R]: 50 
20-02-00.777000,[R]: 1 
20-02-00.779000,S 1 	RSSI: 47
20-02-00.781000,[R]: 2 
20-02-00.782000,[R]: 50 
20-02-00.789000,[R]: 1 
20-02-00.790000,S 1 	RSSI: 48
20-02-00.791000,[R]: 2 
20-02-00.791000,[R]: 50 
20-02-00.793000,[R]: 1 
20-02-00.795000,S 1 	RSSI: 47
20-02-00.798000,[R]: 2 
20-02-00.801000,[R]: 50 
20-02-00.802000,[R]: 1 
20-02-00.803000,S 1 	RSSI: 47
20-02-00.807000,[R]: 2 
20-02-00.808000,[R]: 50 
20-02-00.808000,[R]: 20 
20-02-00.810000,[R]: 1 
20-02-00.812000,S 1 	RSSI: 47
20-02-00.817000,[R]: 2 
20-02-00.817000,[R]: 50 
20-02-00.818000,[R]: 1 
20-02-00.820000,S 1 	RSSI: 47
20-02-00.823000,[R]: 2 
20-02-00.823000,[R]: 50 
20-02-00.826000,[R]: 1 
20-02-00.831000,[R]: 2 
20-02-00.832000,[R]: 50 
20-02-00.834000,[R]: 1 
20-02-00.839000,[R]: 2 
20-02-00.841000,[R]: 50 
20-02-00.841000,S 1 	RSSI: 47
20-02-00.843000,[R]: 1 
20-02-00.849000,[R]: 2 
20-02-00.856000,[R]: 50 
20-02-00.857000,S 1 	RSSI: 47
20-02-00.858000,[R]: 1 
20-02-00.858000,[R]: 2 
20-02-00.859000,[R]: 50 
20-02-00.859000,S 1 	RSSI: 47
20-02-00.860000,[R]: 1 
20-02-00.864000,[R]: 2 
20-02-00.867000,[R]: 50 
20-02-00.868000,S 1 	RSSI: 47
20-02-00.868000,[R]: 1 
20-02-00.872000,[R]: 2 
20-02-00.873000,[R]: 50 
20-02-00.874000,S 1 	RSSI: 47
20-02-00.875000,[R]: 1 
20-02-00.879000,[R]: 20 
20-02-00.880000,[R]: 1 
20-02-00.881000,S 1 	RSSI: 47
20-02-00.884000,[R]: 2 
20-02-00.885000,[R]: 50 
20-02-00.887000,[R]: 1 
20-02-00.889000,S 1 	RSSI: 47
20-02-00.892000,[R]: 2 
20-02-00.893000,[R]: 50 
20-02-00.895000,[R]: 1 
20-02-00.898000,S 1 	RSSI: 47
20-02-00.901000,[R]: 2 
20-02-00.901000,[R]: 50 
20-02-00.904000,[R]: 1 
20-02-00.906000,S 1 	RSSI: 47
20-02-00.910000,[R]: 2 
20-02-00.911000,[R]: 50 
20-02-00.913000,S 1 	RSSI: 47
20-02-00.914000,[R]: 1 
