22-41-23.478000,----------
22-43-45.097000,[R]: 20 
22-43-45.100000,[R]: 1 
22-43-45.101000,[R]: 50 
22-43-45.102000,[R]: 2 
22-43-45.106000,[R]: 3 
22-43-45.112000,[R]: 4 
22-43-45.114000,[R]: 5 
22-43-45.118000,[R]: 6 
22-43-45.122000,[R]: 7 
22-43-45.127000,[R]: 8 
22-43-45.129000,S 3 	RSSI: 69
22-43-45.132000,[R]: 1 
22-43-45.135000,[R]: 50 
22-43-45.135000,[R]: 2 
22-43-45.139000,[R]: 3 
22-43-45.145000,[R]: 4 
22-43-45.148000,[R]: 5 
22-43-45.152000,[R]: 6 
22-43-45.156000,[R]: 7 
22-43-45.160000,[R]: 8 
22-43-45.165000,[R]: 1 
22-43-45.167000,[R]: 50 
22-43-45.168000,[R]: 2 
22-43-45.172000,[R]: 3 
22-43-45.180000,[R]: 4 
22-43-45.180000,[R]: 5 
22-43-45.185000,[R]: 6 
22-43-45.189000,[R]: 7 
22-43-45.194000,[R]: 8 
22-43-45.198000,[R]: 1 
22-43-45.198000,[R]: 50 
22-43-45.202000,[R]: 2 
22-43-45.206000,[R]: 3 
22-43-45.210000,[R]: 4 
22-43-45.214000,[R]: 5 
22-43-45.216000,[R]: 20 
22-43-45.219000,[R]: 1 
22-43-45.220000,[R]: 50 
22-43-45.224000,[R]: 2 
22-43-45.225000,S 2 	RSSI: 55
22-43-45.227000,[R]: 3 
22-43-45.231000,[R]: 4 
22-43-45.237000,[R]: 5 
22-43-45.239000,S 5 	RSSI: 57
22-43-45.240000,[R]: 6 
22-43-45.243000,[R]: 7 
22-43-45.247000,[R]: 8 
22-43-45.264000,[R]: 1 
22-43-45.267000,[R]: 50 
22-43-45.267000,[R]: 2 
22-43-45.268000,S 2 	RSSI: 55
22-43-45.271000,[R]: 3 
22-43-45.271000,[R]: 4 
22-43-45.272000,[R]: 5 
22-43-45.273000,[R]: 6 
22-43-45.276000,[R]: 7 
22-43-45.280000,[R]: 8 
22-43-45.287000,[R]: 1 
22-43-45.290000,[R]: 50 
22-43-45.291000,[R]: 2 
22-43-45.294000,[R]: 3 
22-43-45.297000,[R]: 4 
22-43-45.301000,[R]: 5 
22-43-45.305000,[R]: 6 
22-43-45.309000,[R]: 7 
22-43-45.313000,[R]: 8 
22-43-45.324000,[R]: 1 
22-43-45.324000,[R]: 50 
22-43-45.325000,[R]: 2 
22-43-45.326000,[R]: 3 
22-43-45.331000,[R]: 4 
22-43-45.334000,[R]: 5 
22-43-45.338000,[R]: 6 
22-43-45.342000,[R]: 7 
22-43-45.346000,[R]: 8 
22-43-45.351000,[R]: 1 
22-43-45.363000,[R]: 50 
22-43-45.363000,[R]: 2 
22-43-45.364000,[R]: 3 
22-43-45.364000,[R]: 4 
22-43-45.385000,[R]: 5 
22-43-45.386000,[R]: 6 
22-43-45.386000,[R]: 7 
