23-03-14.446000,----------------------------
23-07-23.199000,[R]: 20 
23-07-23.218000,[R]: 1 
23-07-23.219000,S 1 	RSSI: 65
23-07-23.219000,[R]: 2 
23-07-23.220000,[R]: 50 
23-07-23.220000,[R]: 3 
23-07-23.221000,[R]: 4 
23-07-23.221000,[R]: 5 
23-07-23.222000,[R]: 6 
23-07-23.226000,[R]: 7 
23-07-23.231000,[R]: 8 
23-07-23.235000,[R]: 1 
23-07-23.236000,S 1 	RSSI: 64
23-07-23.239000,[R]: 2 
23-07-23.242000,[R]: 50 
23-07-23.243000,[R]: 3 
23-07-23.246000,[R]: 4 
23-07-23.250000,[R]: 5 
23-07-23.254000,[R]: 6 
23-07-23.258000,[R]: 7 
23-07-23.264000,[R]: 8 
23-07-23.264000,S 8 	RSSI: 44
23-07-23.268000,[R]: 1 
23-07-23.269000,S 1 	RSSI: 63
23-07-23.272000,[R]: 2 
23-07-23.272000,[R]: 50 
23-07-23.274000,[R]: 3 
23-07-23.278000,[R]: 4 
23-07-23.282000,[R]: 5 
23-07-23.286000,[R]: 6 
23-07-23.290000,[R]: 7 
23-07-23.295000,[R]: 8 
23-07-23.296000,S 8 	RSSI: 44
23-07-23.298000,[R]: 1 
23-07-23.301000,S 1 	RSSI: 63
23-07-23.305000,[R]: 2 
23-07-23.305000,[R]: 50 
23-07-23.307000,[R]: 3 
23-07-23.311000,[R]: 4 
23-07-23.315000,[R]: 5 
23-07-23.320000,[R]: 6 
23-07-23.323000,[R]: 7 
23-07-23.327000,[R]: 8 
23-07-23.333000,[R]: 1 
23-07-23.333000,S 1 	RSSI: 63
23-07-23.336000,[R]: 2 
23-07-23.338000,[R]: 50 
23-07-23.339000,[R]: 3 
23-07-23.344000,[R]: 4 
23-07-23.348000,[R]: 5 
23-07-23.352000,[R]: 6 
23-07-23.356000,[R]: 7 
23-07-23.369000,[R]: 8 
23-07-23.369000,[R]: 1 
23-07-23.370000,S 1 	RSSI: 63
23-07-23.380000,[R]: 2 
23-07-23.383000,[R]: 50 
23-07-23.384000,[R]: 3 
23-07-23.385000,[R]: 4 
23-07-23.386000,[R]: 5 
23-07-23.386000,[R]: 6 
23-07-23.389000,[R]: 7 
23-07-23.393000,[R]: 8 
23-07-23.398000,[R]: 1 
23-07-23.399000,[R]: 20 
23-07-23.401000,[R]: 1 
23-07-23.406000,[R]: 2 
23-07-23.418000,[R]: 50 
23-07-23.418000,[R]: 3 
23-07-23.419000,[R]: 4 
23-07-23.419000,[R]: 5 
23-07-23.422000,[R]: 6 
23-07-23.427000,[R]: 7 
23-07-23.430000,[R]: 8 
23-07-23.434000,[R]: 1 
23-07-23.439000,[R]: 2 
23-07-23.440000,[R]: 50 
23-07-23.442000,[R]: 3 
23-07-23.446000,[R]: 4 
23-07-23.450000,[R]: 5 
23-07-23.455000,[R]: 6 
23-07-23.459000,[R]: 7 
23-07-23.463000,[R]: 8 
23-07-23.467000,[R]: 1 
23-07-23.472000,[R]: 2 
23-07-23.473000,[R]: 50 
23-07-23.475000,[R]: 3 
23-07-23.479000,[R]: 4 
23-07-23.483000,[R]: 5 
23-07-23.487000,[R]: 6 
23-07-23.494000,[R]: 7 
23-07-23.495000,S 4 	RSSI: 44
23-07-23.496000,[R]: 8 
23-07-23.500000,[R]: 1 
23-07-23.507000,S 6 	RSSI: 44
23-07-23.508000,[R]: 2 
23-07-23.510000,[R]: 50 
23-07-23.511000,S 7 	RSSI: 44
23-07-23.511000,[R]: 3 
23-07-23.513000,[R]: 4 
23-07-23.517000,[R]: 5 
23-07-23.519000,[R]: 20 
23-07-23.522000,[R]: 1 
23-07-23.523000,S 1 	RSSI: 63
23-07-23.526000,[R]: 2 
23-07-23.526000,[R]: 50 
23-07-23.529000,[R]: 3 
23-07-23.534000,[R]: 4 
23-07-23.544000,S 4 	RSSI: 44
23-07-23.544000,[R]: 5 
23-07-23.544000,S 7 	RSSI: 44
23-07-23.545000,[R]: 6 
23-07-23.545000,S 6 	RSSI: 44
23-07-23.546000,[R]: 7 
23-07-23.550000,[R]: 8 
23-07-23.555000,[R]: 1 
23-07-23.559000,S 1 	RSSI: 62
23-07-23.560000,[R]: 2 
23-07-23.560000,[R]: 50 
23-07-23.562000,[R]: 3 
23-07-23.568000,[R]: 4 
23-07-23.569000,S 4 	RSSI: 44
23-07-23.571000,[R]: 5 
23-07-23.573000,S 7 	RSSI: 44
23-07-23.575000,[R]: 6 
23-07-23.584000,[R]: 7 
23-07-23.586000,[R]: 8 
23-07-23.588000,[R]: 1 
23-07-23.589000,S 1 	RSSI: 64
23-07-23.592000,[R]: 2 
23-07-23.595000,[R]: 50 
23-07-23.596000,[R]: 3 
23-07-23.605000,[R]: 4 
23-07-23.606000,S 4 	RSSI: 44
23-07-23.606000,[R]: 5 
