09-46-31.936000,-------------------
09-46-32.622000,[R]: 1 
09-46-32.623000,[R]: 50 
09-46-32.624000,[R]: 20 
09-46-32.637000,[R]: 10 
09-46-32.637000,[R]: 1 
09-46-32.653000,[R]: 50 
09-46-32.653000,[R]: 10 
09-46-32.662000,[R]: 2 
09-46-32.662000,S 2 	RSSI: 45
09-46-32.674000,[R]: 10 
09-46-32.685000,[R]: 1 
09-46-32.685000,[R]: 50 
09-46-32.686000,[R]: 20 
09-46-32.687000,[R]: 10 
09-46-32.691000,[R]: 1 
09-46-32.691000,[R]: 50 
09-46-32.692000,[R]: 10 
09-46-32.715000,[R]: 2 
09-46-32.716000,[R]: 10 
09-46-32.746000,[R]: 1 
09-46-32.746000,[R]: 50 
09-46-32.747000,S 2 	RSSI: 45
09-46-32.747000,[R]: 10 
09-46-32.749000,[R]: 2 
09-46-32.766000,[R]: 20 
09-46-32.786000,[R]: 10 
09-46-32.786000,[R]: 1 
09-46-32.787000,[R]: 50 
09-46-32.787000,[R]: 10 
09-46-32.801000,[R]: 2 
09-46-32.801000,[R]: 10 
09-46-32.802000,[R]: 1 
09-46-32.811000,[R]: 50 
09-46-32.811000,[R]: 20 
09-46-32.812000,[R]: 10 
09-46-32.813000,[R]: 1 
09-46-32.824000,[R]: 50 
09-46-32.824000,[R]: 20 
09-46-32.825000,[R]: 10 
09-46-32.830000,[R]: 1 
09-46-32.831000,[R]: 50 
09-46-32.832000,[R]: 10 
09-46-32.839000,[R]: 2 
09-46-32.840000,S 2 	RSSI: 45
09-46-32.840000,[R]: 10 
09-46-32.845000,[R]: 1 
09-46-32.847000,[R]: 50 
09-46-32.848000,[R]: 20 
09-46-32.848000,[R]: 10 
09-46-32.849000,[R]: 1 
09-46-32.850000,[R]: 50 
09-46-32.865000,[R]: 10 
09-46-32.869000,[R]: 2 
09-46-32.869000,[R]: 10 
09-46-32.888000,[R]: 1 
09-46-32.889000,[R]: 50 
09-46-32.889000,S 2 	RSSI: 45
09-46-32.902000,[R]: 10 
09-46-32.904000,[R]: 2 
09-46-32.912000,[R]: 20 
09-46-32.915000,[R]: 10 
09-46-32.922000,[R]: 1 
09-46-32.940000,[R]: 50 
09-46-32.941000,[R]: 10 
09-46-32.942000,[R]: 2 
09-46-32.978000,[R]: 10 
09-46-32.979000,[R]: 1 
09-46-32.982000,[R]: 50 
09-46-32.983000,[R]: 20 
09-46-33.002000,[R]: 10 
09-46-33.013000,[R]: 1 
09-46-33.017000,[R]: 50 
09-46-33.018000,[R]: 20 
09-46-33.018000,[R]: 10 
09-46-33.038000,[R]: 1 
09-46-33.045000,[R]: 50 
09-46-33.046000,[R]: 10 
09-46-33.047000,[R]: 2 
09-46-33.049000,S 2 	RSSI: 45
09-46-33.051000,[R]: 10 
09-46-33.051000,[R]: 1 
09-46-33.052000,[R]: 50 
09-46-33.052000,[R]: 20 
09-46-33.053000,[R]: 10 
09-46-33.053000,[R]: 1 
09-46-33.054000,[R]: 50 
09-46-33.054000,[R]: 10 
09-46-33.055000,[R]: 2 
09-46-33.055000,[R]: 10 
09-46-33.056000,[R]: 1 
09-46-33.061000,[R]: 50 
09-46-33.062000,S 2 	RSSI: 45
09-46-33.062000,[R]: 10 
09-46-33.063000,[R]: 2 
09-46-33.063000,[R]: 20 
09-46-33.064000,[R]: 10 
09-46-33.064000,[R]: 1 
09-46-33.065000,[R]: 50 
09-46-33.065000,[R]: 10 
09-46-33.066000,[R]: 2 
09-46-33.066000,[R]: 10 
09-46-33.067000,[R]: 1 
09-46-33.067000,[R]: 50 
09-46-33.072000,[R]: 20 
09-46-33.073000,[R]: 10 
09-46-33.090000,[R]: 1 
09-46-33.091000,[R]: 50 
09-46-33.096000,[R]: 20 
09-46-33.099000,[R]: 10 
09-46-33.107000,[R]: 1 
09-46-33.107000,[R]: 50 
09-46-33.108000,[R]: 10 
09-46-33.124000,[R]: 2 
09-46-33.124000,S 2 	RSSI: 45
09-46-33.127000,[R]: 10 
09-46-33.127000,[R]: 1 
09-46-33.128000,[R]: 50 
09-46-33.137000,[R]: 20 
09-46-33.138000,[R]: 10 
09-46-33.138000,[R]: 1 
09-46-33.158000,[R]: 50 
09-46-33.160000,[R]: 10 
09-46-33.179000,[R]: 2 
09-46-33.180000,[R]: 10 
09-46-33.180000,[R]: 1 
09-46-33.186000,[R]: 50 
09-46-33.187000,S 2 	RSSI: 45
09-46-33.199000,[R]: 10 
09-46-33.199000,[R]: 2 
09-46-33.201000,[R]: 20 
09-46-33.202000,[R]: 10 
09-46-33.208000,[R]: 1 
09-46-33.220000,[R]: 50 
09-46-33.231000,[R]: 10 
09-46-33.232000,[R]: 2 
09-46-33.236000,[R]: 10 
09-46-33.236000,[R]: 1 
09-46-33.237000,[R]: 50 
09-46-33.238000,[R]: 20 
09-46-33.238000,[R]: 10 
09-46-33.239000,[R]: 1 
09-46-33.239000,[R]: 50 
09-46-33.242000,[R]: 20 
09-46-33.245000,[R]: 10 
