22-04-56.525000,"""Program init"""
22-07-55.965000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-55.968000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-55.971000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-55.973000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-55.976000,"""COUNT 1 1 1 2"
22-07-55.976000,[0] 58 60 69
22-07-55.978000,[1] 44 59
22-07-55.979000,[2] 75
22-07-55.979000,""""
22-07-55.982000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-55.985000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-55.989000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-55.991000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-55.993000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-55.996000,"""COUNT 2 1 1 1"
22-07-55.998000,[0] 58 59 0
22-07-55.999000,[1] 44 59
22-07-56.000000,[2] 75
22-07-56.001000,""""
22-07-56.002000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.005000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.008000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.011000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-56.016000,"""COUNT 1 1 1 1"
22-07-56.017000,[0] 58 59 69
22-07-56.017000,[1] 44 59
22-07-56.019000,[2] 75
22-07-56.019000,""""
22-07-56.022000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.025000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.027000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.033000,"""COUNT 1 1 1 0"
22-07-56.035000,[0] 58 0 0
22-07-56.035000,[1] 44 59
22-07-56.037000,[2] 75
22-07-56.038000,""""
22-07-56.040000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.043000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.049000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.053000,"""COUNT 1 1 1 0"
22-07-56.054000,[0] 0 0 0
22-07-56.055000,[1] 44 0
22-07-56.056000,[2] 0
22-07-56.056000,""""
22-07-56.059000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.062000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.071000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-56.071000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.072000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.076000,"""COUNT 1 2 1 1"
22-07-56.076000,[0] 58 59 69
22-07-56.078000,[1] 44 59
22-07-56.079000,[2] 76
22-07-56.081000,""""
22-07-56.082000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.085000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-56.087000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.091000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.093000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.097000,"""COUNT 1 1 2 1"
22-07-56.097000,[0] 58 59 0
22-07-56.098000,[1] 44 58
22-07-56.101000,[2] 77
22-07-56.101000,""""
22-07-56.103000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-56.105000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.108000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.110000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.113000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-56.116000,"""COUNT 1 1 1 2"
22-07-56.117000,[0] 58 59 0
22-07-56.117000,[1] 44 58
22-07-56.119000,[2] 78
22-07-56.120000,""""
22-07-56.121000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.125000,"""[RSP] Sensor: 2. RSSI: 68"""
22-07-56.126000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.130000,"""[RSP] Sensor: 4. RSSI: 76"""
22-07-56.132000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.136000,"""COUNT 2 1 1 1"
22-07-56.136000,[0] 58 60 0
22-07-56.137000,[1] 44 58
22-07-56.138000,[2] 77
22-07-56.139000,""""
22-07-56.142000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.144000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.147000,"""[RSP] Sensor: 4. RSSI: 76"""
22-07-56.153000,"""COUNT 1 0 1 1"
22-07-56.155000,[0] 0 60 69
22-07-56.155000,[1] 45 0
22-07-56.156000,[2] 77
22-07-56.157000,""""
22-07-56.159000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.163000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.166000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.168000,"""[RSP] Sensor: 4. RSSI: 76"""
