22-04-56.525000,"""Program init""" 
22-08-17.268000,"""[RSP] Sensor: 2. RSSI: 68"""
22-08-17.270000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-17.272000,"""COUNT 1 1 2 1"
22-08-17.273000,[0] 0 0 0
22-08-17.275000,[1] 45 55
22-08-17.275000,[2] 67
22-08-17.276000,""""
22-08-17.279000,"""[RSP] Sensor: 4. RSSI: 76"""
22-08-17.281000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-17.283000,"""[RSP] Sensor: 2. RSSI: 68"""
22-08-17.287000,"""[RSP] Sensor: 3. RSSI: 59"""
22-08-17.289000,"""[RSP] Sensor: 4. RSSI: 76"""
22-08-17.292000,"""COUNT 1 1 1 2"
22-08-17.293000,[0] 58 0 0
22-08-17.294000,[1] 45 55
22-08-17.295000,[2] 65
22-08-17.295000,""""
22-08-17.298000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-17.301000,"""[RSP] Sensor: 2. RSSI: 69"""
22-08-17.304000,"""[RSP] Sensor: 3. RSSI: 59"""
22-08-17.307000,"""[RSP] Sensor: 4. RSSI: 76"""
22-08-17.310000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-17.313000,"""COUNT 2 1 1 1"
22-08-17.314000,[0] 57 59 0
22-08-17.315000,[1] 45 55
22-08-17.316000,[2] 64
22-08-17.317000,""""
22-08-17.319000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-17.322000,"""[RSP] Sensor: 2. RSSI: 67"""
22-08-17.326000,"""[RSP] Sensor: 3. RSSI: 59"""
22-08-17.329000,"""[RSP] Sensor: 4. RSSI: 76"""
22-08-17.332000,"""COUNT 1 1 1 1"
22-08-17.335000,[0] 57 59 61
22-08-17.335000,[1] 46 55
22-08-17.337000,[2] 64
22-08-17.338000,""""
22-08-17.340000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-17.342000,"""[RSP] Sensor: 2. RSSI: 67"""
22-08-17.345000,"""[RSP] Sensor: 3. RSSI: 59"""
22-08-17.348000,"""[RSP] Sensor: 4. RSSI: 77"""
22-08-17.353000,"""COUNT 1 1 1 1"
22-08-17.354000,[0] 58 59 60
22-08-17.355000,[1] 46 55
22-08-17.356000,[2] 64
22-08-17.357000,""""
22-08-17.359000,"""[RSP] Sensor: 2. RSSI: 67"""
22-08-17.362000,"""[RSP] Sensor: 3. RSSI: 59"""
22-08-17.365000,"""[RSP] Sensor: 4. RSSI: 76"""
22-08-17.368000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-17.372000,"""COUNT 1 1 1 1"
22-08-17.373000,[0] 0 59 60
22-08-17.374000,[1] 45 0
22-08-17.375000,[2] 63
22-08-17.376000,""""
22-08-17.378000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-17.381000,"""[RSP] Sensor: 4. RSSI: 77"""
22-08-17.383000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-17.387000,"""[RSP] Sensor: 2. RSSI: 68"""
22-08-17.392000,"""COUNT 1 1 1 1"
22-08-17.394000,[0] 55 59 60
22-08-17.395000,[1] 45 56
22-08-17.396000,[2] 63
22-08-17.396000,""""
22-08-17.399000,"""[RSP] Sensor: 4. RSSI: 77"""
22-08-17.401000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-17.404000,"""[RSP] Sensor: 2. RSSI: 67"""
22-08-17.407000,"""[RSP] Sensor: 3. RSSI: 61"""
22-08-17.412000,"""COUNT 1 1 1 1"
22-08-17.415000,[0] 54 60 0
22-08-17.416000,[1] 45 55
22-08-17.416000,[2] 62
22-08-17.416000,""""
22-08-17.418000,"""[RSP] Sensor: 4. RSSI: 77"""
22-08-17.421000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-17.425000,"""[RSP] Sensor: 2. RSSI: 65"""
22-08-17.427000,"""[RSP] Sensor: 3. RSSI: 61"""
22-08-17.433000,"""COUNT 1 1 1 1"
22-08-17.433000,[0] 54 59 0
22-08-17.435000,[1] 46 0
22-08-17.435000,[2] 62
22-08-17.436000,""""
22-08-17.439000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-17.441000,"""[RSP] Sensor: 2. RSSI: 65"""
22-08-17.444000,"""[RSP] Sensor: 3. RSSI: 61"""
22-08-17.448000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-17.450000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-17.453000,"""COUNT 2 1 1 1"
22-08-17.455000,[0] 54 58 58
22-08-17.456000,[1] 46 0
22-08-17.458000,[2] 61
22-08-17.458000,""""
22-08-17.460000,"""[RSP] Sensor: 3. RSSI: 61"""
22-08-17.462000,"""[RSP] Sensor: 4. RSSI: 80"""
22-08-17.472000,"""COUNT 0 0 1 1"
22-08-17.473000,[0] 0 58 58
22-08-17.474000,[1] 0 0
22-08-17.475000,[2] 61
22-08-17.475000,""""
22-08-17.478000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-17.480000,"""[RSP] Sensor: 2. RSSI: 64"""
22-08-17.482000,"""[RSP] Sensor: 3. RSSI: 62"""
22-08-17.485000,"""[RSP] Sensor: 4. RSSI: 81"""
22-08-17.492000,"""COUNT 1 1 1 1"
22-08-17.498000,[0] 54 58 58
22-08-17.499000,[1] 46 0
22-08-17.499000,[2] 61
22-08-17.500000,""""
22-08-17.501000,"""[RSP] Sensor: 2. RSSI: 64"""
22-08-17.502000,"""[RSP] Sensor: 3. RSSI: 61"""
22-08-17.503000,"""[RSP] Sensor: 4. RSSI: 81"""
22-08-17.507000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-17.511000,"""COUNT 1 1 1 1"
22-08-17.512000,[0] 0 58 58
22-08-17.513000,[1] 0 0
22-08-17.514000,[2] 68
22-08-17.515000,""""
22-08-17.517000,"""[RSP] Sensor: 3. RSSI: 62"""
22-08-17.520000,"""[RSP] Sensor: 4. RSSI: 82"""
22-08-17.523000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-17.527000,"""[RSP] Sensor: 2. RSSI: 65"""
22-08-17.532000,"""COUNT 1 1 1 1"
22-08-17.533000,[0] 54 58 58
22-08-17.534000,[1] 46 0
22-08-17.535000,[2] 61
22-08-17.535000,""""
22-08-17.538000,"""[RSP] Sensor: 3. RSSI: 61"""
22-08-17.541000,"""[RSP] Sensor: 4. RSSI: 82"""
22-08-17.544000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-17.547000,"""[RSP] Sensor: 2. RSSI: 65"""
22-08-17.550000,"""[RSP] Sensor: 3. RSSI: 61"""
22-08-17.553000,"""COUNT 1 1 2 1"
22-08-17.554000,[0] 54 59 58
22-08-17.555000,[1] 46 53
22-08-17.556000,[2] 62
22-08-17.557000,""""
22-08-17.560000,"""[RSP] Sensor: 4. RSSI: 82"""
22-08-17.563000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-17.565000,"""[RSP] Sensor: 2. RSSI: 65"""
22-08-17.569000,"""[RSP] Sensor: 3. RSSI: 62"""
22-08-17.571000,"""[RSP] Sensor: 4. RSSI: 82"""
22-08-17.572000,"""COUNT 1 1 1 2"
22-08-17.573000,[0] 54 0 0
22-08-17.575000,[1] 46 53
22-08-17.582000,[2] 62
22-08-17.583000,""""
22-08-17.584000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-17.584000,"""[RSP] Sensor: 2. RSSI: 65"""
22-08-17.585000,"""[RSP] Sensor: 3. RSSI: 61"""
22-08-17.590000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-17.593000,"""COUNT 2 1 1 0"
22-08-17.593000,[0] 55 60 0
22-08-17.594000,[1] 46 0
22-08-17.596000,[2] 62
22-08-17.596000,""""
22-08-17.599000,"""[RSP] Sensor: 3. RSSI: 61"""
22-08-17.601000,"""[RSP] Sensor: 4. RSSI: 83"""
22-08-17.611000,"""COUNT 0 0 1 1"
22-08-17.613000,[0] 0 60 58
22-08-17.614000,[1] 0 0
22-08-17.614000,[2] 63
22-08-17.615000,""""
22-08-17.618000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-17.619000,"""[RSP] Sensor: 2. RSSI: 66"""
22-08-17.623000,"""[RSP] Sensor: 3. RSSI: 61"""
22-08-17.626000,"""[RSP] Sensor: 4. RSSI: 84"""
22-08-17.633000,"""COUNT 1 1 1 1"
22-08-17.633000,[0] 55 60 58
22-08-17.634000,[1] 47 0
22-08-17.635000,[2] 63
22-08-17.636000,""""
22-08-17.638000,"""[RSP] Sensor: 2. RSSI: 65"""
22-08-17.641000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-17.644000,"""[RSP] Sensor: 4. RSSI: 85"""
22-08-17.648000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-17.652000,"""COUNT 1 1 1 1"
22-08-17.652000,[0] 0 60 58
22-08-17.653000,[1] 0 0
22-08-17.654000,[2] 64
22-08-17.655000,""""
22-08-17.658000,"""[RSP] Sensor: 3. RSSI: 61"""
22-08-17.660000,"""[RSP] Sensor: 4. RSSI: 84"""
22-08-17.666000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-17.668000,"""[RSP] Sensor: 2. RSSI: 66"""
22-08-17.671000,"""COUNT 1 1 1 1"
22-08-17.674000,[0] 55 0 0
22-08-17.676000,[1] 47 53
22-08-17.677000,[2] 64
22-08-17.678000,""""
22-08-17.679000,"""[RSP] Sensor: 3. RSSI: 61"""
22-08-17.681000,"""[RSP] Sensor: 4. RSSI: 84"""
22-08-17.684000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-17.687000,"""[RSP] Sensor: 2. RSSI: 67"""
22-08-17.690000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-17.693000,"""COUNT 1 1 2 1"
22-08-17.695000,[0] 0 0 58
22-08-17.696000,[1] 47 53
22-08-17.697000,[2] 66
22-08-17.698000,""""
22-08-17.698000,"""[RSP] Sensor: 4. RSSI: 84"""
22-08-17.702000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-17.704000,"""[RSP] Sensor: 2. RSSI: 66"""
22-08-17.708000,"""[RSP] Sensor: 3. RSSI: 61"""
22-08-17.711000,"""[RSP] Sensor: 4. RSSI: 84"""
22-08-17.712000,"""COUNT 1 1 1 2"
22-08-17.714000,[0] 55 0 0
22-08-17.715000,[1] 47 53
22-08-17.716000,[2] 66
22-08-17.717000,""""
22-08-17.719000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-17.721000,"""[RSP] Sensor: 2. RSSI: 67"""
22-08-17.724000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-17.728000,"""[RSP] Sensor: 4. RSSI: 82"""
22-08-17.731000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-17.734000,"""COUNT 2 1 1 1"
22-08-17.735000,[0] 55 61 58
22-08-17.736000,[1] 47 53
22-08-17.737000,[2] 67
22-08-17.738000,""""
22-08-17.740000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-17.743000,"""[RSP] Sensor: 4. RSSI: 82"""
22-08-17.752000,"""COUNT 0 0 1 1"
22-08-17.753000,[0] 0 60 58
22-08-17.753000,[1] 0 0
22-08-17.755000,[2] 69
22-08-17.756000,""""
22-08-17.758000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-17.760000,"""[RSP] Sensor: 2. RSSI: 67"""
22-08-17.763000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-17.766000,"""[RSP] Sensor: 4. RSSI: 81"""
22-08-17.773000,"""COUNT 1 1 1 1"
22-08-17.774000,[0] 55 61 59
22-08-17.775000,[1] 0 55
22-08-17.776000,[2] 70
22-08-17.776000,""""
22-08-17.779000,"""[RSP] Sensor: 2. RSSI: 67"""
22-08-17.782000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-17.783000,"""[RSP] Sensor: 4. RSSI: 81"""
22-08-17.788000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-17.792000,"""COUNT 1 1 1 1"
22-08-17.794000,[0] 0 60 59
22-08-17.795000,[1] 0 0
22-08-17.796000,[2] 71
22-08-17.797000,""""
22-08-17.798000,"""[RSP] Sensor: 3. RSSI: 61"""
22-08-17.802000,"""[RSP] Sensor: 4. RSSI: 80"""
22-08-17.803000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-17.808000,"""[RSP] Sensor: 2. RSSI: 67"""
22-08-17.813000,"""COUNT 1 1 1 1"
22-08-17.815000,[0] 55 60 59
22-08-17.816000,[1] 46 52
22-08-17.817000,[2] 72
22-08-17.817000,""""
22-08-17.820000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-17.822000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-17.825000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-17.829000,"""[RSP] Sensor: 2. RSSI: 67"""
22-08-17.831000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-17.833000,"""COUNT 1 1 2 1"
22-08-17.835000,[0] 55 60 0
22-08-17.836000,[1] 46 52
22-08-17.837000,[2] 75
22-08-17.839000,""""
22-08-17.840000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-17.842000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-17.845000,"""[RSP] Sensor: 2. RSSI: 67"""
22-08-17.848000,"""[RSP] Sensor: 3. RSSI: 61"""
22-08-17.853000,"""COUNT 1 1 1 1"
22-08-17.854000,[0] 55 0 0
22-08-17.855000,[1] 46 52
22-08-17.856000,[2] 76
22-08-17.857000,""""
22-08-17.859000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-17.861000,"""[RSP] Sensor: 2. RSSI: 67"""
22-08-17.864000,"""[RSP] Sensor: 3. RSSI: 61"""
22-08-17.868000,"""[RSP] Sensor: 4. RSSI: 78"""
22-08-17.870000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-17.873000,"""COUNT 2 1 1 1"
22-08-17.874000,[0] 0 0 0
22-08-17.875000,[1] 45 51
22-08-17.876000,[2] 76
22-08-17.877000,""""
22-08-17.879000,"""[RSP] Sensor: 2. RSSI: 66"""
22-08-17.881000,"""[RSP] Sensor: 3. RSSI: 61"""
22-08-17.884000,"""[RSP] Sensor: 4. RSSI: 78"""
22-08-17.887000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-17.889000,"""[RSP] Sensor: 2. RSSI: 66"""
22-08-17.893000,"""COUNT 1 2 1 1"
22-08-17.894000,[0] 55 60 0
22-08-17.895000,[1] 45 51
22-08-17.896000,[2] 76
22-08-17.897000,""""
22-08-17.899000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-17.903000,"""[RSP] Sensor: 2. RSSI: 66"""
22-08-17.905000,"""[RSP] Sensor: 3. RSSI: 61"""
22-08-17.908000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-17.912000,"""COUNT 1 1 1 1"
22-08-17.913000,[0] 55 60 60
22-08-17.914000,[1] 0 0
22-08-17.915000,[2] 75
22-08-17.916000,""""
22-08-17.918000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-17.921000,"""[RSP] Sensor: 2. RSSI: 64"""
22-08-17.924000,"""[RSP] Sensor: 3. RSSI: 61"""
22-08-17.928000,"""[RSP] Sensor: 4. RSSI: 78"""
22-08-17.933000,"""COUNT 1 1 1 1"
22-08-17.934000,[0] 55 60 62
22-08-17.935000,[1] 45 51
22-08-17.935000,[2] 74
22-08-17.936000,""""
22-08-17.938000,"""[RSP] Sensor: 2. RSSI: 65"""
22-08-17.943000,"""[RSP] Sensor: 3. RSSI: 61"""
22-08-17.945000,"""[RSP] Sensor: 4. RSSI: 80"""
22-08-17.947000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-17.953000,"""COUNT 1 1 1 1"
22-08-17.953000,[0] 0 0 62
22-08-17.954000,[1] 44 51
22-08-17.955000,[1] 44
22-08-17.955000,1
22-08-17.956000,[2] 73
22-08-17.957000,""""
22-08-17.958000,"""[RSP] Sensor: 2. RSSI: 65"""
22-08-17.962000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-17.964000,"""[RSP] Sensor: 4. RSSI: 80"""
22-08-17.967000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-17.970000,"""[RSP] Sensor: 2. RSSI: 65"""
22-08-17.972000,"""COUNT 1 2 1 1"
22-08-17.975000,[0] 57 60 0
22-08-17.976000,[1] 44 51
22-08-17.976000,[2] 72
22-08-17.977000,""""
22-08-17.980000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-17.982000,"""[RSP] Sensor: 4. RSSI: 81"""
22-08-17.984000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-17.987000,"""[RSP] Sensor: 2. RSSI: 65"""
22-08-17.990000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-17.994000,"""COUNT 1 1 2 1"
22-08-17.994000,[0] 56 60 62
22-08-17.995000,[1] 45 50
22-08-17.996000,[2] 70
22-08-17.997000,""""
22-08-17.999000,"""[RSP] Sensor: 4. RSSI: 82"""
22-08-18.002000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-18.005000,"""[RSP] Sensor: 2. RSSI: 66"""
22-08-18.008000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-18.011000,"""[RSP] Sensor: 4. RSSI: 84"""
22-08-18.013000,"""COUNT 1 1 1 2"
22-08-18.014000,[0] 56 60 0
22-08-18.015000,[1] 46 49
22-08-18.016000,[2] 70
22-08-18.016000,""""
22-08-18.019000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-18.021000,"""[RSP] Sensor: 2. RSSI: 66"""
22-08-18.024000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-18.028000,"""[RSP] Sensor: 4. RSSI: 84"""
22-08-18.030000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-18.033000,"""COUNT 2 1 1 1"
22-08-18.034000,[0] 58 60 0
22-08-18.035000,[1] 48 54
22-08-18.036000,[2] 69
22-08-18.037000,""""
22-08-18.039000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-18.045000,"""[RSP] Sensor: 2. RSSI: 67"""
22-08-18.046000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-18.052000,"""COUNT 1 1 1 0"
22-08-18.053000,[0] 60 61 0
22-08-18.054000,[1] 50 49
22-08-18.055000,[2] 69
22-08-18.056000,""""
22-08-18.058000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-18.060000,"""[RSP] Sensor: 2. RSSI: 69"""
22-08-18.063000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-18.067000,"""[RSP] Sensor: 4. RSSI: 91"""
22-08-18.072000,"""COUNT 1 1 1 1"
22-08-18.073000,[0] 62 61 64
22-08-18.074000,[1] 0 48
22-08-18.075000,[2] 67
22-08-18.076000,""""
22-08-18.078000,"""[RSP] Sensor: 2. RSSI: 68"""
22-08-18.081000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-18.083000,"""[RSP] Sensor: 4. RSSI: 91"""
22-08-18.087000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-18.092000,"""COUNT 1 1 1 1"
22-08-18.093000,[0] 0 0 64
22-08-18.094000,[1] 53 49
22-08-18.095000,[2] 68
22-08-18.095000,""""
22-08-18.098000,"""[RSP] Sensor: 2. RSSI: 70"""
22-08-18.100000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-18.103000,"""[RSP] Sensor: 4. RSSI: 92"""
22-08-18.107000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-18.109000,"""[RSP] Sensor: 2. RSSI: 70"""
22-08-18.113000,"""COUNT 1 2 1 1"
22-08-18.114000,[0] 61 62 63
22-08-18.115000,[1] 53 48
22-08-18.116000,[2] 67
22-08-18.117000,""""
22-08-18.119000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-18.123000,"""[RSP] Sensor: 4. RSSI: 92"""
22-08-18.126000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-18.129000,"""[RSP] Sensor: 2. RSSI: 71"""
22-08-18.131000,"""[RSP] Sensor: 3. RSSI: 59"""
22-08-18.134000,"""COUNT 1 1 2 1"
22-08-18.134000,[0] 61 61 0
22-08-18.136000,[1] 54 49
22-08-18.136000,[2] 67
22-08-18.137000,""""
22-08-18.140000,"""[RSP] Sensor: 4. RSSI: 91"""
22-08-18.143000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-18.146000,"""[RSP] Sensor: 2. RSSI: 71"""
22-08-18.149000,"""[RSP] Sensor: 3. RSSI: 59"""
22-08-18.151000,"""[RSP] Sensor: 4. RSSI: 91"""
22-08-18.154000,"""COUNT 1 1 1 2"
22-08-18.154000,[0] 61 60 0
22-08-18.155000,[1] 55 48
22-08-18.156000,[2] 67
22-08-18.157000,""""
22-08-18.159000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-18.163000,"""[RSP] Sensor: 2. RSSI: 71"""
22-08-18.165000,"""[RSP] Sensor: 3. RSSI: 59"""
22-08-18.168000,"""[RSP] Sensor: 4. RSSI: 92"""
22-08-18.171000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-18.173000,"""COUNT 2 1 1 1"
22-08-18.174000,[0] 61 60 0
22-08-18.175000,[1] 56 50
22-08-18.176000,[2] 66
22-08-18.177000,""""
22-08-18.179000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-18.182000,"""[RSP] Sensor: 2. RSSI: 68"""
22-08-18.185000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-18.188000,"""[RSP] Sensor: 4. RSSI: 91"""
22-08-18.192000,"""COUNT 1 1 1 1"
22-08-18.194000,[0] 61 60 62
22-08-18.195000,[1] 56 50
22-08-18.196000,[2] 66
22-08-18.197000,""""
22-08-18.200000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-18.201000,"""[RSP] Sensor: 2. RSSI: 68"""
22-08-18.204000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-18.212000,"""COUNT 1 1 1 0"
22-08-18.213000,[0] 62 60 0
22-08-18.215000,[1] 55 50
22-08-18.215000,[2] 66
22-08-18.216000,""""
22-08-18.218000,"""[RSP] Sensor: 2. RSSI: 67"""
22-08-18.220000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-18.226000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-18.230000,"""COUNT 1 1 1 0"
22-08-18.232000,[0] 0 0 0
22-08-18.232000,[1] 0 0
22-08-18.233000,[2] 0
22-08-18.233000,""""
22-08-18.236000,"""[RSP] Sensor: 2. RSSI: 67"""
22-08-18.239000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-18.243000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-18.248000,"""[RSP] Sensor: 2. RSSI: 66"""
22-08-18.253000,"""COUNT 1 2 1 0"
22-08-18.253000,[0] 60 60 0
22-08-18.254000,[1] 51 0
22-08-18.254000,[2] 0
22-08-18.255000,""""
22-08-18.258000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-18.263000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-18.267000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-18.270000,"""COUNT 1 0 2 0"
22-08-18.271000,[0] 0 61 0
22-08-18.273000,[1] 48 0
22-08-18.273000,[2] 0
22-08-18.273000,""""
22-08-18.276000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-18.279000,"""[RSP] Sensor: 2. RSSI: 64"""
22-08-18.283000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-18.292000,"""COUNT 1 1 1 0"
22-08-18.292000,[0] 58 61 0
22-08-18.293000,[1] 46 0
22-08-18.294000,[2] 0
22-08-18.294000,""""
22-08-18.297000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-18.299000,"""[RSP] Sensor: 2. RSSI: 65"""
22-08-18.303000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-18.309000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-18.312000,"""COUNT 2 1 1 0"
22-08-18.313000,[0] 57 62 0
22-08-18.314000,[1] 45 0
22-08-18.315000,[2] 0
22-08-18.315000,""""
22-08-18.318000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-18.320000,"""[RSP] Sensor: 2. RSSI: 65"""
22-08-18.323000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-18.326000,"""[RSP] Sensor: 4. RSSI: 85"""
22-08-18.332000,"""COUNT 1 1 1 1"
22-08-18.333000,[0] 55 62 63
22-08-18.334000,[1] 46 0
22-08-18.335000,[2] 69
22-08-18.335000,""""
22-08-18.338000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-18.345000,"""[RSP] Sensor: 2. RSSI: 65"""
22-08-18.346000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-18.348000,"""[RSP] Sensor: 4. RSSI: 85"""
22-08-18.352000,"""COUNT 1 1 1 1"
22-08-18.354000,[0] 55 61 63
22-08-18.355000,[1] 44 53
22-08-18.355000,[2] 69
22-08-18.356000,""""
22-08-18.359000,"""[RSP] Sensor: 2. RSSI: 65"""
22-08-18.362000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-18.365000,"""[RSP] Sensor: 4. RSSI: 85"""
22-08-18.368000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-18.371000,"""COUNT 1 1 1 1"
22-08-18.372000,[0] 0 0 63
22-08-18.373000,[1] 0 54
22-08-18.374000,[2] 70
22-08-18.375000,""""
22-08-18.378000,"""[RSP] Sensor: 2. RSSI: 65"""
22-08-18.381000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-18.384000,"""[RSP] Sensor: 4. RSSI: 85"""
22-08-18.387000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-18.390000,"""[RSP] Sensor: 2. RSSI: 66"""
22-08-18.392000,"""COUNT 1 2 1 1"
22-08-18.394000,[0] 53 61 0
22-08-18.396000,[1] 44 53
22-08-18.396000,[2] 71
22-08-18.397000,""""
22-08-18.398000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-18.401000,"""[RSP] Sensor: 4. RSSI: 85"""
22-08-18.404000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-18.407000,"""[RSP] Sensor: 2. RSSI: 67"""
22-08-18.410000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-18.412000,"""COUNT 1 1 2 1"
22-08-18.414000,[0] 53 61 0
22-08-18.415000,[1] 44 54
22-08-18.415000,[2] 71
22-08-18.416000,""""
22-08-18.419000,"""[RSP] Sensor: 4. RSSI: 84"""
22-08-18.421000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-18.425000,"""[RSP] Sensor: 2. RSSI: 68"""
22-08-18.428000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-18.433000,"""COUNT 1 1 1 1"
22-08-18.433000,[0] 53 61 0
22-08-18.434000,[1] 44 54
22-08-18.436000,[2] 70
22-08-18.437000,""""
22-08-18.438000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-18.442000,"""[RSP] Sensor: 2. RSSI: 71"""
22-08-18.444000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-18.448000,"""[RSP] Sensor: 4. RSSI: 87"""
22-08-18.450000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-18.453000,"""COUNT 2 1 1 1"
22-08-18.454000,[0] 53 62 0
22-08-18.455000,[1] 44 0
22-08-18.456000,[2] 68
22-08-18.457000,""""
22-08-18.459000,"""[RSP] Sensor: 1. RSSI: 60"""
22-08-18.462000,"""[RSP] Sensor: 2. RSSI: 77"""
22-08-18.465000,"""[RSP] Sensor: 3. RSSI: 60"""
22-08-18.468000,"""[RSP] Sensor: 4. RSSI: 87"""
22-08-18.472000,"""COUNT 1 1 1 1"
22-08-18.474000,[0] 53 63 61
22-08-18.475000,[1] 44 55
