23-20-43.161000,S 6 	RSSI: 51
23-20-43.162000,[R]: 5 
23-20-43.162000,[R]: 6 
23-20-43.169000,[R]: 7 
23-20-43.169000,[R]: 8 
23-20-43.172000,S 2 	RSSI: 45
23-20-43.173000,[R]: 1 
23-20-43.174000,[R]: 50 
23-20-43.178000,[R]: 2 
23-20-43.178000,[R]: 3 
23-20-43.189000,[R]: 4 
23-20-43.190000,[R]: 5 
23-20-43.193000,[R]: 6 
23-20-43.193000,[R]: 7 
23-20-43.196000,[R]: 8 
23-20-43.198000,S 2 	RSSI: 46
23-20-43.200000,[R]: 1 
23-20-43.200000,[R]: 50 
23-20-43.203000,[R]: 2 
23-20-43.207000,[R]: 3 
23-20-43.212000,[R]: 4 
23-20-43.219000,[R]: 5 
23-20-43.219000,[R]: 20 
23-20-43.220000,[R]: 1 
23-20-43.221000,[R]: 50 
23-20-43.224000,[R]: 2 
23-20-43.234000,S 4 	RSSI: 60
23-20-43.237000,[R]: 3 
23-20-43.238000,[R]: 4 
23-20-43.238000,S 8 	RSSI: 44
23-20-43.239000,[R]: 5 
23-20-43.243000,[R]: 6 
23-20-43.246000,[R]: 7 
23-20-43.250000,[R]: 8 
23-20-43.255000,[R]: 1 
23-20-43.258000,[R]: 50 
23-20-43.259000,[R]: 2 
23-20-43.262000,[R]: 3 
23-20-43.268000,[R]: 4 
23-20-43.270000,[R]: 5 
23-20-43.287000,[R]: 6 
23-20-43.288000,[R]: 7 
23-20-43.288000,[R]: 8 
23-20-43.289000,[R]: 1 
23-20-43.289000,[R]: 50 
23-20-43.290000,[R]: 2 
23-20-43.294000,[R]: 3 
23-20-43.297000,[R]: 20 
23-20-43.300000,[R]: 1 
23-20-43.300000,[R]: 50 
23-20-43.303000,[R]: 2 
23-20-43.309000,[R]: 3 
23-20-43.322000,[R]: 4 
23-20-43.323000,[R]: 5 
23-20-43.325000,[R]: 6 
23-20-43.327000,[R]: 7 
23-20-43.327000,[R]: 8 
23-20-43.334000,[R]: 1 
23-20-43.339000,[R]: 50 
23-20-43.340000,[R]: 2 
23-20-43.341000,[R]: 3 
23-20-43.344000,[R]: 4 
23-20-43.353000,[R]: 5 
23-20-43.354000,[R]: 6 
23-20-43.367000,[R]: 7 
23-20-43.376000,[R]: 8 
23-20-43.376000,[R]: 1 
23-20-43.377000,[R]: 50 
23-20-43.378000,[R]: 2 
23-20-43.378000,[R]: 3 
23-20-43.400000,[R]: 4 
23-20-43.401000,[R]: 5 
23-20-43.402000,[R]: 6 
23-20-43.412000,[R]: 7 
23-20-43.413000,[R]: 8 
23-20-43.413000,[R]: 1 
23-20-43.414000,[R]: 50 
23-20-43.415000,[R]: 2 
23-20-43.420000,[R]: 3 
23-20-43.421000,[R]: 4 
23-20-43.421000,[R]: 5 
23-20-43.422000,[R]: 20 
23-20-43.423000,[R]: 1 
23-20-43.435000,[R]: 50 
23-20-43.438000,[R]: 2 
23-20-43.439000,[R]: 3 
23-20-43.439000,S 3 	RSSI: 51
23-20-43.440000,[R]: 4 
23-20-43.440000,[R]: 5 
23-20-43.441000,[R]: 6 
23-20-43.451000,S 6 	RSSI: 51
23-20-43.452000,S 4 	RSSI: 62
23-20-43.452000,[R]: 7 
23-20-43.453000,[R]: 8 
23-20-43.465000,[R]: 1 
23-20-43.470000,[R]: 50 
23-20-43.476000,S 7 	RSSI: 44
23-20-43.478000,[R]: 2 
23-20-43.481000,S 8 	RSSI: 44
23-20-43.482000,[R]: 3 
23-20-43.489000,[R]: 4 
23-20-43.489000,[R]: 5 
23-20-43.490000,[R]: 6 
23-20-43.490000,[R]: 7 
23-20-43.491000,[R]: 8 
23-20-43.491000,[R]: 1 
23-20-43.492000,[R]: 50 
23-20-43.493000,[R]: 2 
23-20-43.494000,S 8 	RSSI: 44
23-20-43.502000,[R]: 3 
23-20-43.503000,[R]: 20 
23-20-43.503000,[R]: 1 
23-20-43.504000,[R]: 50 
23-20-43.513000,[R]: 2 
23-20-43.513000,[R]: 3 
23-20-43.523000,[R]: 4 
23-20-43.524000,[R]: 5 
23-20-43.526000,[R]: 6 
23-20-43.526000,[R]: 7 
23-20-43.529000,[R]: 8 
23-20-43.545000,S 8 	RSSI: 44
23-20-43.545000,[R]: 1 
23-20-43.546000,[R]: 50 
23-20-43.546000,[R]: 2 
23-20-43.547000,[R]: 3 
23-20-43.548000,[R]: 4 
23-20-43.550000,[R]: 5 
23-20-43.558000,[R]: 6 
23-20-43.559000,[R]: 7 
23-20-43.562000,[R]: 8 
23-20-43.579000,S 8 	RSSI: 45
23-20-43.579000,[R]: 1 
23-20-43.580000,[R]: 50 
23-20-43.580000,[R]: 2 
23-20-43.586000,[R]: 3 
23-20-43.586000,[R]: 4 
23-20-43.588000,[R]: 5 
23-20-43.588000,[R]: 6 
23-20-43.590000,[R]: 7 
23-20-43.601000,[R]: 8 
23-20-43.602000,[R]: 1 
23-20-43.602000,[R]: 50 
23-20-43.609000,[R]: 2 
23-20-43.610000,[R]: 3 
23-20-43.613000,[R]: 4 
23-20-43.615000,[R]: 5 
23-20-43.618000,[R]: 20 
