22-16-50.266000,"ÿ""Scanner enabled\r\n"""
22-17-02.518000,[0] 0 0
22-17-02.519000,""""
22-17-02.520000,"""Sensor: 1. RSSI: 59"""
22-17-02.524000,"""Sensor: 2. RSSI: 67"""
22-17-02.527000,"""COUNT 1 1"
22-17-02.529000,[0] 0 0
22-17-02.530000,""""
22-17-02.531000,"""Sensor: 1. RSSI: 59"""
22-17-02.533000,"""Sensor: 2. RSSI: 66"""
22-17-02.536000,"""COUNT 1 1"
22-17-02.539000,[0] 0 0
22-17-02.540000,""""
22-17-02.541000,"""Sensor: 1. RSSI: 59"""
22-17-02.546000,"""COUNT 1 0"
22-17-02.547000,[0] 0 0
22-17-02.549000,""""
22-17-02.550000,"""Sensor: 1. RSSI: 59"""
22-17-02.552000,"""Sensor: 2. RSSI: 67"""
22-17-02.555000,"""COUNT 1 1"
22-17-02.556000,[0] 0 0
22-17-02.557000,""""
22-17-02.560000,"""Sensor: 2. RSSI: 67"""
22-17-02.565000,"""Sensor: 1. RSSI: 59"""
22-17-02.566000,"""COUNT 1 1"
22-17-02.567000,[0] 0 0
22-17-02.568000,""""
22-17-02.569000,"""Sensor: 2. RSSI: 67"""
22-17-02.573000,"""Sensor: 1. RSSI: 59"""
22-17-02.576000,"""COUNT 1 1"
22-17-02.578000,[0] 0 0
22-17-02.578000,""""
22-17-02.581000,"""Sensor: 2. RSSI: 67"""
22-17-02.583000,"""Sensor: 1. RSSI: 59"""
22-17-02.586000,"""Sensor: 2. RSSI: 67"""
22-17-02.587000,"""COUNT 1 2"
22-17-02.588000,[0] 0 0
22-17-02.589000,""""
22-17-02.592000,"""Sensor: 1. RSSI: 59"""
22-17-02.594000,"""Sensor: 2. RSSI: 66"""
22-17-02.596000,"""COUNT 1 1"
22-17-02.597000,[0] 0 0
22-17-02.598000,""""
22-17-02.598000,"""Sensor: 1. RSSI: 59"""
22-17-02.601000,"""Sensor: 2. RSSI: 67"""
22-17-02.605000,"""COUNT 1 1"
22-17-02.606000,[0] 0 0
22-17-02.607000,""""
22-17-02.610000,"""Sensor: 1. RSSI: 59"""
22-17-02.614000,"""Sensor: 2. RSSI: 67"""
22-17-02.615000,"""COUNT 1 1"
22-17-02.617000,[0] 0 0
22-17-02.618000,""""
22-17-02.619000,"""Sensor: 1. RSSI: 60"""
22-17-02.622000,"""Sensor: 2. RSSI: 67"""
22-17-02.628000,"""COUNT 1 1"
22-17-02.629000,[0] 0 63
22-17-02.631000,""""
22-17-02.692000,"""Sensor: 2. RSSI: 67"""
22-17-02.693000,"""Sensor: 1. RSSI: 60"""
22-17-02.694000,"""COUNT 1 1"
22-17-02.694000,[0] 0 0
22-17-02.695000,""""
22-17-02.696000,"""Sensor: 2. RSSI: 67"""
