20-53-53.707000,S 4 	RSSI: 44
20-53-54.184000,[R]: 51 
20-53-54.185000,S 4 	RSSI: 44
20-53-54.663000,[R]: 51 
20-53-54.923000,[R]: 51 
20-53-54.933000,S 4 	RSSI: 44
20-53-55.402000,[R]: 51 
20-53-55.411000,S 4 	RSSI: 44
20-53-55.421000,S 1 	RSSI: 55
20-53-55.881000,[R]: 51 
20-53-55.903000,S 1 	RSSI: 55
20-53-56.360000,[R]: 51 
20-53-56.385000,S 1 	RSSI: 55
20-53-56.839000,[R]: 51 
20-53-56.868000,S 1 	RSSI: 55
20-53-57.317000,[R]: 51 
20-53-57.351000,S 1 	RSSI: 58
20-53-57.796000,[R]: 51 
20-53-57.835000,S 1 	RSSI: 58
20-53-58.275000,[R]: 51 
20-53-58.754000,[R]: 51 
20-53-59.232000,[R]: 51 
20-53-59.710000,[R]: 51 
20-53-59.761000,S 1 	RSSI: 57
20-54-00.190000,[R]: 51 
20-54-00.244000,S 1 	RSSI: 57
20-54-00.667000,[R]: 51 
20-54-00.726000,S 1 	RSSI: 57
20-54-01.146000,[R]: 51 
20-54-01.209000,S 1 	RSSI: 57
20-54-01.309000,S 4 	RSSI: 44
20-54-01.313000,S 5 	RSSI: 44
20-54-01.626000,[R]: 51 
20-54-01.692000,S 1 	RSSI: 57
20-54-02.105000,[R]: 51 
20-54-02.175000,S 1 	RSSI: 57
20-54-02.253000,S 4 	RSSI: 44
20-54-02.583000,[R]: 51 
20-54-02.658000,S 1 	RSSI: 57
20-54-03.061000,[R]: 51 
20-54-03.141000,S 1 	RSSI: 58
20-54-03.540000,[R]: 51 
20-54-03.623000,S 1 	RSSI: 56
20-54-04.020000,[R]: 51 
20-54-04.498000,[R]: 51 
20-54-04.896000,S 1 	RSSI: 57
20-54-04.977000,[R]: 51 
20-54-05.456000,[R]: 51 
20-54-05.934000,[R]: 51 
20-54-06.413000,[R]: 51 
20-54-06.891000,[R]: 51 
20-54-06.980000,S 5 	RSSI: 44
20-54-07.371000,[R]: 51 
20-54-07.849000,[R]: 51 
