20-01-43.630000,"ÿ""Scanner enabled\r\n"""
20-01-45.846000,"""type 2, info: ---a_new_sensor_enters---"""
20-01-53.623000,"""type 1, info: ---a_new_sensor_enters---"""
20-01-53.640000,"""COUNT 0 0"
20-01-53.641000,[0] 0 0
20-01-53.645000,[1] 0 0
20-01-53.649000,""""
20-01-53.652000,"""type 4, info: sync"""
20-01-53.658000,"""COUNT 0 0"
20-01-53.661000,[0] 0 0
20-01-53.668000,[1] 0 0
20-01-53.673000,""""
20-01-53.674000,"""type 4, info: sync"""
20-01-53.678000,"""COUNT 0 0"
20-01-53.682000,[0] 0 0
20-01-53.684000,[1] 0 0
20-01-53.686000,""""
20-01-53.686000,"""type 4, info: sync"""
20-01-53.689000,"""Sensor: 1. RSSI: 67"""
20-01-53.692000,"""COUNT 1 0"
20-01-53.706000,[0] 0 0
20-01-53.706000,[1] 0 0
20-01-53.713000,""""
20-01-53.714000,"""type 4, info: sync"""
20-01-53.714000,"""COUNT 0 0"
20-01-53.715000,[0] 0 0
20-01-53.715000,[1] 0 0
20-01-53.716000,""""
20-01-53.716000,"""type 4, info: sync"""
20-01-53.717000,"""Sensor: 1. RSSI: 67"""
20-01-53.721000,"""COUNT 1 0"
20-01-53.721000,[0] 0 0
20-01-53.721000,[1] 0 0
20-01-53.722000,""""
20-01-53.722000,"""type 4, info: sync"""
20-01-53.723000,"""Sensor: 1. RSSI: 67"""
20-01-53.724000,"""COUNT 1 0"
20-01-53.725000,[0] 0 0
20-01-53.726000,[1] 0 0
20-01-53.727000,""""
20-01-53.727000,"""type 4, info: sync"""
20-01-53.732000,"""Sensor: 1. RSSI: 67"""
20-01-53.732000,"""Sensor: 2. RSSI: 61"""
20-01-53.733000,"""COUNT 1 1"
20-01-53.733000,[0] 0 0
20-01-53.734000,[1] 46 0
20-01-53.735000,""""
20-01-53.739000,"""type 4, info: sync"""
20-01-53.741000,"""Sensor: 1. RSSI: 67"""
20-01-53.742000,"""Sensor: 2. RSSI: 61"""
20-01-53.742000,"""COUNT 1 1"
20-01-53.744000,[0] 0 0
20-01-53.748000,[1] 46 0
20-01-53.760000,""""
20-01-53.762000,"""type 4, info: sync"""
20-01-53.764000,"""Sensor: 1. RSSI: 67"""
20-01-53.764000,"""Sensor: 2. RSSI: 61"""
20-01-53.766000,"""COUNT 1 1"
20-01-53.770000,[0] 0 0
20-01-53.770000,[1] 46 0
20-01-53.771000,""""
20-01-53.772000,"""type 4, info: sync"""
20-01-53.772000,"""Sensor: 2. RSSI: 61"""
20-01-53.773000,"""Sensor: 1. RSSI: 66"""
20-01-53.773000,"""COUNT 1 1"
20-01-53.774000,[0] 0 0
20-01-53.777000,[1] 46 0
20-01-53.777000,""""
20-01-53.778000,"""type 4, info: sync"""
20-01-53.779000,"""Sensor: 2. RSSI: 62"""
20-01-53.780000,"""Sensor: 1. RSSI: 67"""
20-01-53.781000,"""COUNT 1 1"
20-01-53.782000,[0] 0 0
20-01-53.783000,[1] 0 0
20-01-53.783000,""""
20-01-53.784000,"""type 4, info: sync"""
20-01-53.787000,"""Sensor: 1. RSSI: 66"""
20-01-53.788000,"""COUNT 1 0"
20-01-53.788000,[0] 0 0
20-01-53.791000,[1] 0 0
20-01-53.792000,""""
20-01-53.793000,"""type 4, info: sync"""
20-01-53.793000,"""Sensor: 1. RSSI: 67"""
20-01-53.794000,"""Sensor: 2. RSSI: 61"""
20-01-53.794000,"""COUNT 1 1"
20-01-53.795000,[0] 0 0
20-01-53.795000,[1] 46 0
20-01-53.803000,""""
20-01-53.803000,"""type 4, info: sync"""
20-01-53.804000,"""Sensor: 1. RSSI: 67"""
20-01-53.804000,"""Sensor: 2. RSSI: 62"""
20-01-53.805000,"""COUNT 1 1"
20-01-53.805000,[0] 0 0
20-01-53.806000,[1] 46 0
20-01-53.806000,""""
20-01-53.806000,"""type 4, info: sync"""
20-01-53.807000,"""Sensor: 2. RSSI: 62"""
20-01-53.807000,"""Sensor: 1. RSSI: 67"""
20-01-53.808000,"""COUNT 1 1"
20-01-53.808000,[0] 0 0
20-01-53.810000,[1] 46 0
20-01-53.811000,""""
20-01-53.814000,"""type 4, info: sync"""
20-01-53.815000,"""Sensor: 2. RSSI: 61"""
20-01-53.815000,"""Sensor: 1. RSSI: 67"""
20-01-53.816000,"""COUNT 1 1"
20-01-53.816000,[0] 0 0
20-01-53.817000,[1] 0 0
20-01-53.818000,""""
20-01-53.821000,"""type 4, info: sync"""
20-01-53.821000,"""Sensor: 1. RSSI: 67"""
20-01-53.822000,"""Sensor: 2. RSSI: 61"""
20-01-53.822000,"""COUNT 1 1"
20-01-53.822000,[0] 0 0
20-01-53.825000,[1] 46 0
20-01-53.825000,""""
20-01-53.826000,"""type 4, info: sync"""
20-01-53.827000,"""Sensor: 1. RSSI: 66"""
20-01-53.827000,"""Sensor: 2. RSSI: 62"""
20-01-53.828000,"""COUNT 1 1"
20-01-53.832000,[0] 0 0
20-01-53.833000,[1] 46 0
20-01-53.833000,""""
20-01-53.837000,"""type 4, info: sync"""
20-01-53.837000,"""Sensor: 1. RSSI: 67"""
20-01-53.838000,"""Sensor: 2. RSSI: 61"""
20-01-53.840000,"""COUNT 1 1"
20-01-53.841000,[0] 0 0
20-01-53.841000,[1] 46 0
20-01-53.842000,""""
20-01-53.842000,"""type 4, info: sync"""
20-01-53.843000,"""Sensor: 2. RSSI: 62"""
20-01-53.850000,"""Sensor: 1. RSSI: 67"""
20-01-53.850000,"""COUNT 1 1"
20-01-53.854000,[0] 0 0
20-01-53.854000,[1] 46 0
20-01-53.855000,""""
20-01-53.856000,"""type 4, info: sync"""
20-01-53.856000,"""Sensor: 2. RSSI: 62"""
20-01-53.866000,"""Sensor: 1. RSSI: 67"""
20-01-53.867000,"""COUNT 1 1"
20-01-53.868000,[0] 0 0
20-01-53.869000,[1] 0 0
20-01-53.870000,""""
20-01-53.871000,"""type 4, info: sync"""
20-01-53.873000,"""Sensor: 1. RSSI: 66"""
20-01-53.873000,"""Sensor: 2. RSSI: 62"""
20-01-53.878000,"""COUNT 1 1"
20-01-53.878000,[0] 0 0
20-01-53.879000,[1] 46 0
20-01-53.881000,""""
20-01-53.884000,"""type 4, info: sync"""
20-01-53.884000,"""Sensor: 1. RSSI: 67"""
20-01-53.885000,"""Sensor: 2. RSSI: 62"""
20-01-53.890000,"""COUNT 1 1"
20-01-53.891000,[0] 0 0
20-01-53.891000,[1] 46 0
20-01-53.896000,""""
20-01-53.900000,"""type 4, info: sync"""
20-01-53.901000,"""Sensor: 1. RSSI: 67"""
20-01-53.902000,"""Sensor: 2. RSSI: 62"""
20-01-53.903000,"""COUNT 1 1"
20-01-53.904000,[0] 0 0
20-01-53.904000,[1] 46 0
20-01-53.905000,""""
20-01-53.905000,"""type 4, info: sync"""
20-01-53.905000,"""Sensor: 2. RSSI: 61"""
20-01-53.906000,"""Sensor: 1. RSSI: 66"""
20-01-53.906000,"""COUNT 1 1"
20-01-53.907000,[0] 0 0
20-01-53.907000,[1] 46 0
20-01-53.911000,""""
20-01-53.911000,"""type 4, info: sync"""
20-01-53.912000,"""Sensor: 2. RSSI: 61"""
20-01-53.913000,"""Sensor: 1. RSSI: 66"""
20-01-53.916000,"""COUNT 1 1"
20-01-53.917000,[0] 0 0
20-01-53.917000,[1] 0 0
20-01-53.925000,""""
20-01-53.926000,"""type 4, info: sync"""
20-01-53.927000,"""Sensor: 1. RSSI: 66"""
20-01-53.932000,"""Sensor: 2. RSSI: 62"""
20-01-53.933000,"""COUNT 1 1"
20-01-53.934000,[0] 0 0
20-01-53.935000,[1] 46 0
20-01-53.936000,""""
20-01-53.938000,"""type 4, info: sync"""
20-01-53.938000,"""Sensor: 1. RSSI: 66"""
20-01-53.939000,"""Sensor: 2. RSSI: 61"""
20-01-53.950000,"""COUNT 1 1"
20-01-53.952000,[0] 0 0
20-01-53.952000,[1] 46 0
20-01-53.953000,""""
20-01-53.954000,"""type 4, info: sync"""
20-01-53.956000,"""Sensor: 1. RSSI: 67"""
20-01-53.956000,"""Sensor: 2. RSSI: 61"""
