09-47-52.325000,----------
09-47-52.325000,[R]: 51 
09-47-52.895000,[R]: 51 
09-47-53.754000,[R]: 51 
09-47-54.334000,[R]: 51 
09-47-54.347000,S 1 	RSSI: 58
09-47-54.347000,[R]: 51 
09-47-54.350000,S 1 	RSSI: 58
09-47-54.352000,S 1 	RSSI: 58
09-47-54.355000,[R]: 51 
09-47-54.360000,S 1 	RSSI: 58
09-47-54.366000,[R]: 51 
09-47-54.369000,S 1 	RSSI: 58
09-47-54.381000,[R]: 51 
09-47-54.391000,S 1 	RSSI: 58
09-47-54.407000,[R]: 51 
09-47-54.409000,S 1 	RSSI: 58
09-47-54.417000,[R]: 51 
09-47-54.419000,S 1 	RSSI: 58
09-47-54.426000,[R]: 51 
09-47-54.426000,S 1 	RSSI: 59
09-47-54.427000,[R]: 51 
09-47-54.427000,S 1 	RSSI: 59
09-47-54.428000,[R]: 51 
09-47-54.428000,S 1 	RSSI: 59
09-47-54.429000,[R]: 51 
09-47-54.430000,S 1 	RSSI: 59
09-47-54.434000,[R]: 51 
09-47-54.442000,[R]: 51 
09-47-54.446000,S 1 	RSSI: 60
09-47-54.449000,[R]: 51 
09-47-54.455000,S 1 	RSSI: 60
09-47-54.458000,[R]: 51 
09-47-54.484000,S 1 	RSSI: 59
09-47-54.484000,[R]: 51 
09-47-54.485000,S 1 	RSSI: 60
09-47-54.485000,[R]: 51 
09-47-54.486000,S 1 	RSSI: 60
09-47-54.486000,[R]: 51 
09-47-54.487000,S 1 	RSSI: 60
09-47-54.496000,S 1 	RSSI: 60
09-47-54.499000,[R]: 51 
09-47-54.500000,S 1 	RSSI: 60
09-47-54.503000,[R]: 51 
09-47-54.508000,S 1 	RSSI: 60
09-47-54.511000,[R]: 51 
09-47-54.517000,S 1 	RSSI: 60
09-47-54.519000,[R]: 51 
09-47-54.524000,S 1 	RSSI: 60
09-47-54.528000,[R]: 51 
09-47-54.532000,S 1 	RSSI: 60
09-47-54.590000,[R]: 51 
09-47-54.591000,S 1 	RSSI: 59
09-47-54.617000,[R]: 51 
09-47-54.617000,S 1 	RSSI: 59
09-47-54.618000,[R]: 51 
09-47-54.618000,S 1 	RSSI: 59
09-47-54.618000,S 1 	RSSI: 59
09-47-54.619000,[R]: 51 
09-47-54.619000,S 1 	RSSI: 59
09-47-54.620000,[R]: 51 
09-47-54.620000,S 1 	RSSI: 59
09-47-54.621000,[R]: 51 
09-47-54.621000,S 1 	RSSI: 59
09-47-54.621000,[R]: 51 
09-47-54.632000,S 1 	RSSI: 59
09-47-54.632000,[R]: 51 
09-47-54.632000,S 1 	RSSI: 59
09-47-54.635000,[R]: 51 
09-47-54.636000,S 1 	RSSI: 59
09-47-54.636000,[R]: 51 
09-47-54.637000,S 1 	RSSI: 59
09-47-54.637000,[R]: 51 
09-47-54.638000,S 1 	RSSI: 59
09-47-54.638000,[R]: 51 
09-47-54.639000,S 1 	RSSI: 59
09-47-54.640000,[R]: 51 
09-47-54.640000,S 1 	RSSI: 59
09-47-54.648000,[R]: 51 
09-47-54.648000,S 1 	RSSI: 59
09-47-54.656000,[R]: 51 
09-47-54.656000,S 1 	RSSI: 59
09-47-54.664000,[R]: 51 
09-47-54.664000,S 1 	RSSI: 59
